date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-31,0.6497,50.0,0.5292,16.0,1.1216,,,,,,1.0311,85.0,0.7113,27.0,1.8338,,,,,
2025-07-30,0.6552,51.0,0.5255,15.0,0.9106,,,,,,1.0315,85.0,0.7109,27.0,1.5921,,,,,
2025-07-29,0.6792,53.0,0.5933,23.0,,,,,,,1.0311,85.0,0.7115,27.0,,,,,,
2025-07-28,0.6588,51.0,0.6231,27.0,,,,,,,1.0311,85.0,0.7126,28.0,,,,,,
2025-07-25,0.6684,52.0,0.624,27.0,5.7378,,,,,,1.0312,85.0,0.7125,28.0,1.6315,,,,,
2025-07-24,0.6798,53.0,0.6281,27.0,1.3296,,,,,,1.031,85.0,0.7124,28.0,1.3296,,,,,
2025-07-22,0.508,31.0,0.6407,28.0,1.2285,,,,,,1.0305,85.0,0.715,28.0,1.7209,,,,,
2025-07-21,0.6072,45.0,0.7004,37.0,1.1672,,,,,,1.0298,85.0,0.7159,28.0,1.7336,,,,,
2025-07-18,3.4133,100.0,0.9559,75.0,1.1716,,,,,,1.0312,85.0,0.7142,28.0,1.5463,,,,,
2025-07-17,3.4591,100.0,0.9641,76.0,0.9634,,,,,,1.0313,85.0,0.713,28.0,1.8752,,,,,
2025-07-16,3.4222,100.0,0.9769,77.0,2.0092,,,,,,1.0325,85.0,0.7143,28.0,2.3296,,,,,
2025-07-15,3.4154,100.0,0.9787,77.0,1.7342,,1.365,,0.9958,,1.0317,85.0,0.715,28.0,1.7342,,1.365,,0.9958,
2025-07-14,3.4205,100.0,0.9557,75.0,1.071,,,,,,1.0385,85.0,0.7243,28.0,1.529,,,,,
2025-07-11,3.3779,100.0,0.9426,74.0,1.3371,,,,,,1.0364,85.0,0.7246,28.0,2.8425,,,,,
2025-07-09,0.384,12.0,0.6086,25.0,7.1844,,4.5729,,1.9614,,0.6762,35.0,0.7055,27.0,2.4003,,2.1124,,1.8244,
2025-07-08,0.4592,22.0,0.5872,22.0,3.1719,,2.595,,2.0182,,0.6722,35.0,0.7024,27.0,1.5858,,1.8448,,2.1039,
2025-07-07,0.4515,21.0,0.5797,21.0,4.2621,,3.0975,,1.9329,,0.6726,35.0,0.702,27.0,4.3532,,3.2028,,2.0523,
2025-07-03,0.4693,24.0,0.5806,22.0,2.7005,,5.1965,,7.6924,,0.6846,36.0,0.7041,27.0,1.9296,,2.4138,,2.8979,
2025-07-02,0.4693,24.0,0.6331,28.0,2.5165,,2.45,,2.3835,,0.6846,36.0,0.7067,27.0,1.5692,,1.7848,,2.0005,
2025-07-01,0.4774,26.0,0.6,24.0,1.2845,,1.5055,,1.7265,,0.6821,35.0,0.7044,27.0,1.2845,,1.902,,2.5195,
2025-06-30,0.4498,20.0,0.5829,22.0,3.2847,,3.4173,,3.5499,,0.6861,36.0,0.7045,27.0,3.4388,,2.5537,,1.6686,
2025-06-27,0.4662,23.0,0.5778,21.0,4.7034,,3.65,,2.5965,,0.6855,36.0,0.7044,27.0,2.5049,,2.4974,,2.4898,
2025-06-26,0.3607,9.0,0.5352,16.0,4.1569,,3.8262,,3.4956,,0.6821,35.0,0.7035,27.0,4.9467,,3.2708,,1.5949,
2025-06-25,0.3607,9.0,0.5267,15.0,4.3746,,5.5115,,6.6484,,0.7029,37.0,0.7086,27.0,4.3746,,3.0335,,1.6924,
2025-06-24,0.321,6.0,0.492,10.0,5.2865,,4.9639,,4.6413,,0.7021,37.0,0.7081,27.0,5.2356,,4.1417,,3.0478,
2025-06-23,0.4396,18.0,0.5144,14.0,1.9514,,2.2033,,2.4552,,0.7026,37.0,0.7088,27.0,2.5984,,2.1334,,1.6684,
2025-06-20,0.3211,6.0,0.4851,10.0,2.2472,,,,,,0.7005,37.0,0.708,27.0,3.6546,,,,,
