date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-22,0.9406,,0.8751,,,,,,,,0.0,,0.0,,,,,,,
2025-10-21,0.9321,,1.0541,,,,,,,,0.0,,0.0,,,,,,,
2025-10-20,0.9761,,1.0727,,,,,,,,0.0,,0.0,,,,,,,
2025-10-15,0.5719,,1.1126,,,,,,,,0.0,,0.0,,,,,,,
2025-10-14,0.5421,,1.174,,,,,,,,0.0,,0.0,,,,,,,
2025-10-13,0.6652,,1.1562,,,,,,,,0.0,,0.0,,,,,,,
2025-10-10,0.6544,,0.9952,,,,,,,,0.0,,0.0,,,,,,,
2025-10-09,0.7888,,0.9775,,,,,,,,0.0,,0.0,,,,,,,
2025-10-08,0.8972,,0.9813,,,,,,,,0.0,,0.0,,,,,,,
2025-10-07,0.901,,0.9684,,1.3283,,1.2942,,1.2602,,0.0,,0.0,,1.2732,,1.2998,,1.3264,
2025-10-06,1.0005,,0.9192,,1.4547,,1.3544,,1.2541,,0.0,,0.0,,1.3435,,1.3397,,1.3359,
2025-10-02,1.0817,,1.0396,,1.4692,,1.4345,,1.3998,,0.0,,0.0,,1.5311,,1.4715,,1.4119,
2025-10-01,1.1135,,1.0271,,1.3435,,1.4133,,1.483,,0.0,,0.0,,1.4435,,1.4412,,1.4389,
2025-09-30,0.9753,,1.0344,,1.3728,,1.2757,,1.1786,,0.0,,0.0,,1.6085,,1.5328,,1.4571,
2025-09-29,0.9283,,1.0796,,1.4465,,1.4493,,1.4521,,0.0,,0.0,,1.6981,,1.5797,,1.4613,
2025-09-24,5.0531,,1.5707,,1.643,,1.5204,,1.3978,,0.0,,0.0,,1.5851,,1.5223,,1.4595,
2025-09-23,5.0662,,1.5297,,1.6179,,1.614,,1.61,,0.0,,0.0,,1.632,,1.5431,,1.4542,
2025-09-22,5.2335,,1.7743,,1.4683,,1.5964,,1.7244,,0.0,,0.0,,1.5219,,1.559,,1.5961,
2025-09-19,5.1845,,1.8398,,1.7152,,1.7075,,1.6998,,0.0,,0.0,,1.6138,,1.5454,,1.4771,
2025-09-18,5.4833,,2.0257,,1.7594,,1.8227,,1.886,,0.0,,0.0,,1.4491,,1.504,,1.5588,
2025-09-16,7.4368,,3.2613,,1.8107,,1.9092,,2.0078,,0.0,,0.0,,1.7996,,1.8018,,1.8041,
2025-09-15,7.491,,3.2793,,2.065,,1.921,,1.777,,0.0,,0.0,,2.1289,,1.9242,,1.7194,
2025-09-12,6.0032,,3.3039,,1.3627,,4.0094,,6.6561,,0.0,,0.0,,0.9916,,2.0396,,3.0877,
2025-09-10,0.2981,,0.993,,2.1358,,4.0456,,5.9555,,2.0285,,2.0284,,0.7359,,1.74,,2.744,
