date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-08,1.3445,97.0,0.6031,80.0,0.6622,71.0,0.6378,67.0,0.6133,64.0,0.9178,95.0,0.7131,94.0,0.5863,67.0,0.5942,67.0,0.602,70.0
2025-09-05,1.3519,98.0,0.6432,85.0,0.6237,65.0,0.756,81.0,0.8884,91.0,0.9541,96.0,0.7322,95.0,0.5898,68.0,0.6033,70.0,0.6168,73.0
2025-09-04,1.3302,97.0,0.6492,85.0,0.5824,57.0,0.5966,57.0,0.6107,63.0,0.9656,97.0,0.7357,95.0,0.576,65.0,0.5854,65.0,0.5947,68.0
2025-08-26,0.545,71.0,0.3927,40.0,0.5687,55.0,0.572,54.0,0.5754,56.0,0.927,95.0,0.7352,95.0,0.5647,62.0,0.5748,62.0,0.585,66.0
2025-08-25,0.5061,66.0,0.3673,32.0,0.5717,56.0,0.5826,55.0,0.5936,60.0,0.9282,95.0,0.7378,95.0,0.5019,46.0,0.5462,56.0,0.5906,67.0
2025-08-22,0.4793,63.0,0.3691,32.0,0.5343,48.0,0.6424,68.0,0.7505,81.0,0.9298,95.0,0.7413,95.0,0.5012,45.0,0.5369,54.0,0.5725,62.0
2025-08-21,0.3001,30.0,0.3488,26.0,0.5661,55.0,0.5682,53.0,0.5704,55.0,0.9247,95.0,0.7413,95.0,0.5664,62.0,0.5619,59.0,0.5574,60.0
2025-08-20,0.3892,48.0,0.4014,42.0,0.5634,54.0,0.5747,54.0,0.586,57.0,0.9245,95.0,0.7419,95.0,0.5526,59.0,0.5764,62.0,0.6002,70.0
2025-08-19,0.2729,24.0,0.3899,39.0,0.5732,56.0,0.5649,52.0,0.5566,53.0,0.9277,95.0,0.7456,96.0,0.5683,63.0,0.5729,61.0,0.5774,63.0
2025-08-18,0.2747,24.0,0.4021,43.0,0.6099,62.0,0.576,54.0,0.542,50.0,0.932,96.0,0.7476,96.0,0.5706,63.0,0.5766,62.0,0.5826,65.0
2025-08-15,0.3444,40.0,0.4324,50.0,0.5802,57.0,0.523,43.0,0.4657,33.0,0.933,96.0,0.7528,96.0,0.5764,65.0,0.5872,66.0,0.5979,69.0
2025-08-13,0.4232,55.0,0.4978,66.0,0.5747,57.0,0.558,52.0,0.5414,51.0,0.9574,98.0,0.7764,100.0,0.5738,66.0,0.5731,63.0,0.5724,64.0
2025-08-12,0.6461,81.0,0.6189,82.0,0.5672,56.0,0.5714,55.0,0.5756,57.0,0.9566,98.0,0.7758,99.0,0.5898,69.0,0.5851,66.0,0.5803,66.0
2025-08-08,0.8283,91.0,0.711,91.0,0.5729,57.0,0.5898,57.0,0.6068,63.0,0.9546,98.0,0.7747,99.0,0.5707,65.0,0.579,64.0,0.5873,67.0
2025-08-07,0.8758,92.0,0.8222,96.0,0.5585,55.0,0.5856,57.0,0.6127,65.0,0.9546,98.0,0.7753,99.0,0.5971,70.0,0.6049,71.0,0.6127,73.0
