date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-13,0.2171,62.0,0.21,64.0,0.2132,35.0,0.2248,37.0,0.2365,42.0,0.1999,34.0,0.179,24.0,0.2247,54.0,0.239,56.0,0.2532,52.0
2025-11-12,0.195,53.0,0.2516,80.0,0.3507,89.0,0.2754,67.0,0.2002,19.0,0.198,32.0,0.1782,23.0,0.2458,66.0,0.2478,61.0,0.2498,49.0
2025-11-10,0.1986,54.0,0.251,79.0,0.2583,61.0,0.2307,42.0,0.2031,20.0,0.2,34.0,0.1787,24.0,0.2089,43.0,0.2304,49.0,0.2519,51.0
2025-11-07,0.2,55.0,0.2588,82.0,0.2247,42.0,0.2448,50.0,0.2649,60.0,0.2001,34.0,0.1791,24.0,0.1883,26.0,0.2282,47.0,0.268,63.0
2025-11-06,0.1813,46.0,0.2483,79.0,0.3603,90.0,0.2802,69.0,0.2,18.0,0.199,34.0,0.1782,23.0,0.2079,42.0,0.2197,38.0,0.2315,36.0
2025-11-05,0.169,40.0,0.2189,68.0,0.3498,89.0,0.3009,78.0,0.252,52.0,0.1994,34.0,0.1764,22.0,0.2177,50.0,0.2451,60.0,0.2725,66.0
2025-11-04,0.1611,36.0,0.2147,66.0,0.3347,87.0,0.3254,85.0,0.3161,80.0,0.199,34.0,0.1763,21.0,0.2118,45.0,0.2292,48.0,0.2466,47.0
2025-11-03,0.1529,32.0,0.2035,60.0,0.2054,30.0,0.2327,43.0,0.2599,56.0,0.1997,34.0,0.1761,21.0,0.2092,43.0,0.2508,63.0,0.2925,76.0
2025-10-31,0.1061,11.0,0.1695,37.0,0.3295,86.0,0.2794,69.0,0.2294,38.0,0.1991,34.0,0.1736,19.0,0.223,53.0,0.2319,51.0,0.2408,42.0
2025-10-30,0.1087,12.0,0.1747,40.0,0.31,81.0,0.3256,85.0,0.3413,86.0,0.199,34.0,0.1736,19.0,0.2619,72.0,0.2654,70.0,0.269,64.0
2025-10-29,0.2559,73.0,0.2544,80.0,0.293,76.0,0.2948,75.0,0.2967,73.0,0.1989,34.0,0.1742,20.0,0.2198,51.0,0.2312,50.0,0.2425,44.0
2025-10-28,0.2857,80.0,0.251,79.0,0.2499,57.0,0.2493,53.0,0.2487,50.0,0.2059,40.0,0.1787,24.0,0.2179,50.0,0.238,55.0,0.258,56.0
2025-10-27,0.2965,83.0,0.2474,78.0,0.2864,74.0,0.2634,61.0,0.2404,45.0,0.2095,44.0,0.1826,27.0,0.2154,48.0,0.234,52.0,0.2527,52.0
2025-10-24,0.297,83.0,0.2563,81.0,0.3363,87.0,0.2924,74.0,0.2484,50.0,0.2101,45.0,0.1838,28.0,0.2205,51.0,0.2256,44.0,0.2307,36.0
2025-10-23,0.3406,89.0,0.2621,82.0,0.313,82.0,0.2698,64.0,0.2265,36.0,0.2104,45.0,0.1833,28.0,0.2146,48.0,0.2282,47.0,0.2417,43.0
2025-10-22,0.3405,89.0,0.2565,81.0,0.3412,88.0,0.3043,79.0,0.2674,61.0,0.2105,45.0,0.1829,27.0,0.2108,45.0,0.2259,44.0,0.241,42.0
2025-10-21,0.3415,89.0,0.2571,81.0,0.2687,66.0,0.2575,57.0,0.2463,48.0,0.2104,45.0,0.1827,27.0,0.2128,46.0,0.2228,41.0,0.2328,37.0
2025-10-20,0.182,46.0,0.1786,43.0,0.2051,30.0,0.2179,32.0,0.2307,38.0,0.1989,34.0,0.177,22.0,0.2094,43.0,0.2186,37.0,0.2279,33.0
2025-10-15,0.2726,77.0,0.2129,65.0,0.2535,57.0,0.255,56.0,0.2565,55.0,0.2009,35.0,0.1785,24.0,0.2048,40.0,0.2254,44.0,0.2459,46.0
2025-10-14,0.2204,63.0,0.2057,61.0,0.2721,68.0,0.2531,55.0,0.2341,41.0,0.1991,34.0,0.1777,23.0,0.2388,62.0,0.2434,59.0,0.248,48.0
2025-10-13,0.2746,78.0,0.2419,76.0,0.3065,80.0,0.2852,72.0,0.264,59.0,0.1997,34.0,0.1778,23.0,0.2196,51.0,0.2366,54.0,0.2536,52.0
2025-10-10,0.2635,75.0,0.2378,75.0,0.2872,74.0,0.2522,55.0,0.2172,28.0,0.1998,34.0,0.1778,23.0,0.2101,44.0,0.2196,38.0,0.229,34.0
2025-10-09,0.276,78.0,0.2319,73.0,0.2326,47.0,0.2366,45.0,0.2407,45.0,0.1998,34.0,0.1772,22.0,0.2003,36.0,0.2154,34.0,0.2306,36.0
2025-10-08,0.2222,63.0,0.195,55.0,0.2015,27.0,0.2004,20.0,0.1992,18.0,0.1988,33.0,0.1772,22.0,0.1921,28.0,0.2192,37.0,0.2464,46.0
2025-10-07,0.2218,63.0,0.1902,52.0,0.2289,45.0,0.2354,44.0,0.2419,45.0,0.1992,34.0,0.1781,23.0,0.1954,32.0,0.2196,38.0,0.2438,44.0
2025-10-06,0.2271,65.0,0.192,53.0,0.232,47.0,0.2207,35.0,0.2094,24.0,0.2008,35.0,0.1852,31.0,0.1983,34.0,0.2162,35.0,0.234,38.0
2025-10-02,0.2203,63.0,0.1886,50.0,0.1848,16.0,0.1987,19.0,0.2126,26.0,0.1939,28.0,0.1935,41.0,0.1892,27.0,0.2054,24.0,0.2215,28.0
2025-10-01,0.2301,65.0,0.2057,61.0,0.211,34.0,0.1754,7.0,0.1398,1.0,0.223,57.0,0.2045,53.0,0.1775,18.0,0.1958,17.0,0.2141,22.0
2025-09-30,0.225,64.0,0.2017,59.0,0.2143,36.0,0.1971,18.0,0.1799,8.0,0.2242,57.0,0.2047,53.0,0.2115,45.0,0.2062,25.0,0.201,13.0
2025-09-29,0.2358,67.0,0.2072,62.0,0.2039,28.0,0.2569,57.0,0.3099,78.0,0.2239,57.0,0.2048,53.0,0.2079,42.0,0.203,22.0,0.1981,11.0
2025-09-24,0.36,91.0,0.1732,39.0,0.2237,41.0,0.203,22.0,0.1822,9.0,0.2299,62.0,0.2033,51.0,0.2166,49.0,0.2156,34.0,0.2145,23.0
2025-09-23,0.2108,59.0,0.1549,26.0,0.2048,30.0,0.1965,17.0,0.1881,12.0,0.2198,55.0,0.2024,50.0,0.1896,27.0,0.1969,18.0,0.2042,15.0
2025-09-22,0.1524,31.0,0.1278,9.0,0.1676,9.0,0.1689,5.0,0.1702,5.0,0.2177,52.0,0.2017,49.0,0.2118,45.0,0.1998,19.0,0.1879,6.0
2025-09-19,0.1503,30.0,0.131,10.0,0.1794,13.0,0.2041,22.0,0.2288,37.0,0.2173,52.0,0.2017,49.0,0.2101,44.0,0.1976,18.0,0.185,4.0
2025-09-18,0.1551,33.0,0.1284,9.0,0.1671,9.0,0.1892,13.0,0.2113,25.0,0.2167,51.0,0.2015,49.0,0.2267,56.0,0.2034,22.0,0.18,3.0
2025-09-16,0.1653,38.0,0.1344,12.0,0.2497,57.0,0.22,34.0,0.1902,13.0,0.2165,51.0,0.2017,49.0,0.2222,53.0,0.209,27.0,0.1959,10.0
2025-09-15,0.1543,33.0,0.1386,15.0,0.2053,30.0,0.2119,28.0,0.2185,30.0,0.2167,51.0,0.2021,50.0,0.2168,49.0,0.201,20.0,0.1851,4.0
2025-09-12,0.1488,30.0,0.1431,18.0,0.2196,39.0,0.191,14.0,0.1625,3.0,0.2166,51.0,0.2025,50.0,0.2213,52.0,0.2052,24.0,0.1892,6.0
2025-09-10,0.1669,39.0,0.1599,30.0,0.1589,6.0,0.2052,23.0,0.2515,52.0,0.2188,53.0,0.2038,52.0,0.1702,13.0,0.196,17.0,0.2219,28.0
2025-09-09,0.1543,33.0,0.1544,26.0,0.1502,4.0,0.176,7.0,0.2018,19.0,0.2191,54.0,0.2038,52.0,0.1707,14.0,0.1975,18.0,0.2243,30.0
2025-09-08,0.1285,19.0,0.1523,24.0,0.1887,18.0,0.1928,15.0,0.1969,17.0,0.219,54.0,0.2043,53.0,0.1659,11.0,0.1926,15.0,0.2194,26.0
2025-09-05,0.1096,12.0,0.1441,19.0,0.1878,18.0,0.1862,12.0,0.1846,10.0,0.218,53.0,0.2042,53.0,0.1899,27.0,0.2092,28.0,0.2284,34.0
2025-09-04,0.1089,12.0,0.1338,12.0,0.174,11.0,0.1911,14.0,0.2082,23.0,0.2179,53.0,0.2041,52.0,0.186,24.0,0.2044,23.0,0.2227,28.0
2025-08-26,0.1724,42.0,0.1385,15.0,0.1772,12.0,0.1996,19.0,0.2219,32.0,0.2206,55.0,0.2063,55.0,0.1849,23.0,0.2077,26.0,0.2305,36.0
2025-08-25,0.1724,42.0,0.1468,20.0,0.1641,8.0,0.1834,10.0,0.2028,20.0,0.2207,55.0,0.2063,55.0,0.1866,25.0,0.2062,25.0,0.2258,32.0
2025-08-22,0.1711,41.0,0.1445,19.0,0.1535,5.0,0.1784,8.0,0.2032,20.0,0.2206,55.0,0.2064,55.0,0.1796,20.0,0.2026,22.0,0.2256,31.0
2025-08-21,0.1732,42.0,0.1359,13.0,0.1423,3.0,0.1709,5.0,0.1995,18.0,0.221,56.0,0.2067,56.0,0.178,18.0,0.1995,19.0,0.2209,28.0
2025-08-20,0.1703,41.0,0.1465,20.0,0.1616,7.0,0.1871,12.0,0.2127,26.0,0.2212,56.0,0.2068,56.0,0.1722,15.0,0.1968,18.0,0.2214,28.0
2025-08-19,0.1495,30.0,0.144,18.0,0.1371,2.0,0.1689,5.0,0.2007,19.0,0.2208,56.0,0.2067,56.0,0.1898,27.0,0.206,24.0,0.2222,28.0
2025-08-18,0.1461,28.0,0.1412,16.0,0.1838,15.0,0.1765,7.0,0.1692,4.0,0.2211,56.0,0.2067,56.0,0.186,24.0,0.2026,22.0,0.2193,26.0
2025-08-15,0.0654,2.0,0.128,9.0,0.2234,41.0,0.2014,21.0,0.1795,8.0,0.2186,53.0,0.2063,55.0,0.1721,15.0,0.1965,18.0,0.2209,28.0
2025-08-13,0.0667,2.0,0.1282,9.0,0.1658,8.0,0.1905,14.0,0.2152,27.0,0.2189,54.0,0.2072,57.0,0.1681,12.0,0.1926,15.0,0.2171,25.0
2025-08-12,0.0762,4.0,0.1313,10.0,0.1596,7.0,0.1906,14.0,0.2217,32.0,0.2189,54.0,0.2077,57.0,0.1731,15.0,0.1968,18.0,0.2204,27.0
2025-08-08,0.1395,24.0,0.1765,42.0,0.2125,34.0,0.1929,15.0,0.1733,5.0,0.2196,55.0,0.2074,57.0,0.1787,19.0,0.1928,15.0,0.207,17.0
2025-08-07,0.1373,23.0,0.1773,42.0,0.1798,13.0,0.1858,11.0,0.1918,14.0,0.2195,55.0,0.2073,57.0,0.1771,18.0,0.1998,19.0,0.2226,28.0
2025-08-05,0.1964,53.0,0.1912,52.0,0.1787,13.0,0.1821,9.0,0.1856,10.0,0.2198,55.0,0.2078,57.0,0.181,21.0,0.2018,21.0,0.2227,28.0
2025-08-04,0.1985,54.0,0.1901,51.0,0.1925,21.0,0.212,28.0,0.2315,38.0,0.2195,55.0,0.2076,57.0,0.1681,12.0,0.2044,23.0,0.2406,42.0
2025-08-01,0.1931,52.0,0.1892,50.0,0.2471,55.0,0.2418,48.0,0.2366,42.0,0.2196,55.0,0.2087,57.0,0.1921,28.0,0.2044,23.0,0.2168,24.0
2025-07-31,0.2005,55.0,0.1839,47.0,0.199,25.0,0.2012,20.0,0.2035,20.0,0.2223,57.0,0.2094,59.0,0.1793,19.0,0.1871,12.0,0.195,10.0
2025-07-30,0.1723,42.0,0.148,21.0,0.2572,60.0,0.2552,56.0,0.2532,52.0,0.2208,56.0,0.2086,57.0,0.1912,28.0,0.21,28.0,0.2288,34.0
