date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-16,0.1345,60.0,0.1048,57.0,0.1281,49.0,0.1264,42.0,0.1248,33.0,0.1908,81.0,0.1532,75.0,0.1241,49.0,0.1396,39.0,0.1551,31.0
2025-07-15,0.1328,59.0,0.1051,57.0,0.1411,57.0,0.1346,49.0,0.1282,37.0,0.1906,81.0,0.1532,75.0,0.1299,54.0,0.1406,40.0,0.1514,25.0
2025-07-14,0.1051,39.0,0.0919,46.0,0.1243,46.0,0.1242,39.0,0.1242,32.0,0.1905,81.0,0.1528,74.0,0.1209,45.0,0.1356,34.0,0.1502,23.0
2025-07-11,0.105,39.0,0.0924,47.0,0.1271,48.0,0.1238,39.0,0.1204,27.0,0.1912,81.0,0.1531,75.0,0.1268,51.0,0.1394,39.0,0.152,26.0
2025-07-09,0.121,50.0,0.1163,66.0,0.095,17.0,0.1086,22.0,0.1221,30.0,0.1919,81.0,0.1531,75.0,0.113,35.0,0.1347,33.0,0.1564,32.0
2025-07-08,0.1055,39.0,0.1103,62.0,0.1113,34.0,0.122,37.0,0.1326,43.0,0.1917,81.0,0.1534,75.0,0.1244,49.0,0.1361,35.0,0.1478,20.0
2025-07-07,0.1204,50.0,0.1122,63.0,0.128,49.0,0.133,47.0,0.1379,48.0,0.192,81.0,0.1535,75.0,0.131,55.0,0.141,41.0,0.1511,25.0
2025-07-03,0.1529,69.0,0.1108,63.0,0.1167,40.0,0.129,44.0,0.1412,50.0,0.1921,81.0,0.1539,75.0,0.1197,43.0,0.1286,24.0,0.1374,10.0
2025-07-02,0.1532,69.0,0.1133,64.0,0.1099,33.0,0.1089,23.0,0.1079,15.0,0.192,81.0,0.154,75.0,0.127,51.0,0.1395,39.0,0.152,26.0
2025-07-01,0.1592,71.0,0.1207,69.0,0.1157,39.0,0.1198,34.0,0.1239,32.0,0.192,81.0,0.154,75.0,0.1286,53.0,0.142,42.0,0.1553,31.0
2025-06-30,0.1377,62.0,0.0893,43.0,0.1205,43.0,0.1244,40.0,0.1284,38.0,0.1911,81.0,0.1528,74.0,0.1371,61.0,0.145,47.0,0.1528,28.0
2025-06-27,0.1379,62.0,0.0867,39.0,0.1097,33.0,0.118,32.0,0.1262,34.0,0.1912,81.0,0.153,75.0,0.1267,51.0,0.137,35.0,0.1474,20.0
2025-06-26,0.1551,70.0,0.0873,40.0,0.1143,38.0,0.1238,39.0,0.1334,44.0,0.1911,81.0,0.1529,74.0,0.1211,45.0,0.1359,34.0,0.1508,24.0
2025-06-25,0.1512,68.0,0.0866,38.0,0.1207,43.0,0.1393,52.0,0.1579,61.0,0.191,81.0,0.1529,74.0,0.1435,65.0,0.1555,57.0,0.1675,46.0
2025-06-24,0.1424,65.0,0.093,47.0,0.0993,22.0,0.1227,38.0,0.1461,54.0,0.1898,81.0,0.153,75.0,0.1171,40.0,0.1372,35.0,0.1574,33.0
