date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-23,0.4786,70.0,0.3372,53.0,0.4364,61.0,0.4366,60.0,0.4368,61.0,0.6678,95.0,0.5148,95.0,0.5135,93.0,0.5118,93.0,0.5102,92.0
2025-06-20,0.5394,77.0,0.3876,69.0,0.4629,68.0,0.4636,69.0,0.4643,70.0,0.6677,95.0,0.5148,95.0,0.5153,94.0,0.5126,93.0,0.5098,91.0
2025-06-18,0.5641,80.0,0.3993,71.0,0.4581,67.0,0.4571,67.0,0.4561,67.0,0.6699,95.0,0.5176,95.0,0.4989,89.0,0.5069,92.0,0.5149,93.0
2025-06-17,0.6099,84.0,0.4066,72.0,0.4668,69.0,0.4747,71.0,0.4826,73.0,0.6705,95.0,0.5187,95.0,0.5141,94.0,0.5158,94.0,0.5175,93.0
2025-06-16,0.5837,82.0,0.3848,68.0,0.4592,67.0,0.4514,65.0,0.4435,63.0,0.6702,95.0,0.5182,95.0,0.5117,93.0,0.5129,93.0,0.5141,92.0
2025-06-13,0.5157,75.0,0.396,70.0,0.4568,67.0,0.4514,65.0,0.4461,64.0,0.6657,95.0,0.5182,95.0,0.5096,92.0,0.5118,93.0,0.5141,92.0
2025-06-12,0.5308,76.0,0.4584,84.0,0.448,64.0,0.4502,64.0,0.4524,66.0,0.6639,95.0,0.518,95.0,0.5052,91.0,0.5082,92.0,0.5112,92.0
2025-06-11,0.7653,94.0,0.6305,98.0,0.4603,68.0,0.4651,69.0,0.47,71.0,0.6639,95.0,0.5175,95.0,0.5137,94.0,0.5144,94.0,0.5151,93.0
2025-06-10,0.6317,86.0,0.5995,97.0,0.4453,63.0,0.4504,64.0,0.4556,67.0,0.6625,95.0,0.5153,95.0,0.5076,92.0,0.5128,93.0,0.5181,93.0
2025-06-09,0.7198,92.0,0.5911,97.0,0.4695,70.0,0.4621,68.0,0.4548,67.0,0.6618,95.0,0.5151,95.0,0.516,94.0,0.5174,94.0,0.5187,93.0
2025-06-06,0.7265,92.0,0.584,97.0,0.4507,65.0,0.452,65.0,0.4532,66.0,0.6589,95.0,0.514,95.0,0.5149,94.0,0.5182,94.0,0.5214,94.0
2025-06-05,0.7566,93.0,0.5848,97.0,0.502,77.0,0.4983,77.0,0.4946,76.0,0.6586,95.0,0.514,95.0,0.5093,92.0,0.511,93.0,0.5127,92.0
2025-06-04,0.7353,92.0,0.5919,97.0,0.5108,78.0,0.513,79.0,0.5152,80.0,0.6629,95.0,0.5169,95.0,0.5181,94.0,0.519,95.0,0.5199,93.0
2025-06-03,0.7571,93.0,0.544,95.0,0.5262,81.0,0.5419,84.0,0.5576,86.0,0.6614,95.0,0.5152,95.0,0.506,91.0,0.5125,93.0,0.5189,93.0
2025-06-02,0.4508,66.0,0.3613,62.0,0.5153,79.0,0.5114,79.0,0.5074,78.0,0.6448,95.0,0.5055,93.0,0.502,90.0,0.5068,91.0,0.5116,92.0
