date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-11,0.3432,,0.2791,,,,,,0.3929,,0.4462,,0.37,,,,,,0.3929,
2025-07-09,0.4263,,0.3594,,,,,,0.389,,0.4488,,0.3722,,,,,,0.389,
2025-07-08,0.3662,,0.3666,,0.2839,,0.4145,,0.5451,,0.4457,,0.3713,,0.2839,,0.4145,,0.5451,
2025-07-07,0.4554,,0.3944,,,,,,0.4295,,0.4482,,0.3729,,,,,,0.4196,
2025-07-03,0.3416,,0.3807,,,,,,0.3848,,0.4488,,0.3726,,,,,,0.3848,
2025-07-02,0.3354,,0.3627,,,,,,0.3558,,0.4468,,0.3715,,,,,,0.3558,
2025-07-01,0.3411,,0.3677,,,,,,0.3663,,0.4464,,0.3719,,,,,,0.3663,
2025-06-30,0.2997,,0.3021,,,,,,0.3766,,0.4407,,0.3689,,,,,,0.336,
2025-06-27,0.3037,,0.2904,,,,,,0.2829,,0.4406,,0.3678,,,,,,0.3341,
2025-06-26,0.271,,0.2574,,0.2515,,,,,,0.4376,,0.3668,,0.2515,,,,,
2025-06-25,0.2631,,0.277,,0.3301,,,,,,0.4349,,0.3664,,0.277,,,,,
2025-06-24,0.4033,,0.33,,0.255,,,,,,0.4347,,0.3677,,0.255,,,,,
2025-06-23,0.3364,,0.323,,,,,,0.4139,,0.4324,,0.3682,,,,,,0.4139,
2025-06-20,0.3219,,0.3087,,0.3086,,0.3493,,0.39,,0.4321,,0.3696,,0.3086,,0.3493,,0.39,
2025-06-18,0.3801,,0.3098,,0.3071,,,,,,0.4429,,0.3783,,0.3071,,,,,
2025-06-17,0.3731,,0.3007,,0.3431,,0.3754,,0.4077,,0.4433,,0.3793,,0.3431,,0.3754,,0.4077,
2025-06-16,0.4211,,0.3111,,,,,,,,0.4431,,0.3791,,,,,,,
2025-06-13,0.4149,,0.2903,,,,,,,,0.4426,,0.378,,,,,,,
2025-06-12,0.2599,,0.2294,,0.2833,,,,,,0.4377,,0.3783,,0.2833,,,,,
2025-06-11,0.2136,,0.2473,,,,,,0.2837,,0.4375,,0.3796,,,,,,0.3184,
2025-06-10,0.3185,,0.2671,,,,,,0.2871,,0.4375,,0.3798,,,,,,0.3228,
2025-06-09,0.3078,,0.2689,,,,,,,,0.4358,,0.3821,,,,,,,
2025-06-06,0.3098,,0.2668,,,,,,,,0.4368,,0.3823,,,,,,,
2025-06-05,0.2258,,0.2533,,,,,,,,0.4351,,0.3826,,,,,,,
2025-06-04,0.3594,,0.2642,,,,,,,,0.4376,,0.3829,,,,,,,
2025-06-03,0.3915,,0.2679,,,,,,,,0.4376,,0.3823,,,,,,,
2025-06-02,0.3735,,0.2513,,,,,,0.3744,,0.4388,,0.3829,,,,,,0.3744,
2025-05-30,0.3515,,0.2614,,,,,,,,0.437,,0.3827,,,,,,,
2025-05-29,0.3399,,0.2589,,,,,,0.3254,,0.4362,,0.3824,,,,,,0.3254,
2025-05-28,0.3417,,0.261,,,,,,0.3437,,0.4362,,0.3829,,,,,,0.3372,
2025-05-27,0.3461,,0.2571,,,,,,0.2977,,0.4364,,0.3842,,,,,,0.3188,
2025-05-23,0.2314,,0.2362,,0.2875,,0.328,,0.3685,,0.4339,,0.3861,,0.2875,,0.328,,0.3685,
2025-05-22,0.1749,,0.2161,,,,,,0.3484,,0.4338,,0.3861,,,,,,0.3664,
2025-05-21,0.2511,,0.2196,,,,,,0.3638,,0.4338,,0.386,,,,,,0.3887,
2025-05-20,0.2216,,0.1959,,0.3898,,0.3569,,0.324,,0.4332,,0.3848,,0.3898,,0.3623,,0.3348,
2025-05-19,0.2154,,0.208,,,,,,0.3275,,0.4333,,0.3853,,,,,,0.3816,
2025-05-16,0.2483,,0.2259,,,,,,0.3225,,0.4335,,0.3871,,,,,,0.3853,
2025-05-15,0.2418,,0.2622,,,,,,0.3312,,0.433,,0.3968,,,,,,0.3317,
2025-05-14,0.2624,,0.2675,,,,,,0.3145,,0.4342,,0.397,,,,,,0.3485,
2025-05-13,0.2817,,0.2791,,,,,,0.3204,,0.4342,,0.3971,,,,,,0.3556,
2025-05-12,0.2959,,0.2851,,,,,,0.3061,,0.4334,,0.3982,,,,,,0.3419,
2025-05-09,0.2982,,0.2931,,0.3761,,0.3578,,0.3396,,0.4342,,0.3985,,0.3761,,0.3634,,0.3507,
2025-05-08,0.2855,,0.3104,,,,,,0.3435,,0.4352,,0.4004,,,,,,0.3288,
2025-05-07,0.2818,,0.3139,,0.4225,,0.378,,0.3334,,0.4621,,0.4092,,0.4225,,0.378,,0.3334,
2025-05-06,0.4345,,0.385,,,,,,0.4653,,0.4617,,0.4083,,,,,,0.3398,
2025-05-05,0.4121,,0.3953,,0.4073,,0.3785,,0.3497,,0.4618,,0.4086,,0.4073,,0.3785,,0.3497,
2025-05-02,0.3639,,0.3992,,0.361,,0.3475,,0.334,,0.4609,,0.4086,,0.361,,0.3565,,0.352,
2025-05-01,0.3673,,0.4189,,0.3943,,0.4912,,0.5881,,0.4594,,0.408,,0.3943,,0.365,,0.3358,
2025-04-30,0.4091,,0.439,,,,,,0.4432,,0.4594,,0.4077,,,,,,0.3572,
2025-04-29,0.6106,,0.4417,,0.4106,,0.3692,,0.3277,,0.4634,,0.4085,,0.4106,,0.3716,,0.3326,
2025-04-28,0.5923,,0.452,,0.379,,0.3543,,0.3296,,0.4639,,0.4082,,0.379,,0.3616,,0.3442,
2025-04-25,0.5391,,0.3743,,0.4321,,0.3842,,0.3364,,0.4579,,0.4044,,0.4321,,0.3842,,0.3364,
2025-04-24,0.6017,,0.4294,,,,,,0.3724,,0.4594,,0.4045,,,,,,0.3724,
2025-04-23,0.6011,,0.4485,,,,,,0.4081,,0.458,,0.4039,,,,,,0.4081,
2025-04-22,0.6393,,0.4343,,,,,,0.4078,,0.4588,,0.4029,,,,,,0.4078,
2025-04-21,0.6843,,0.4987,,,,,,0.4378,,0.4522,,0.4015,,,,,,0.4378,
2025-04-17,0.6727,,0.5751,,,,,,0.3985,,0.4463,,0.4,,,,,,0.3985,
2025-04-16,0.6617,,0.5906,,,,,,0.4378,,0.4434,,0.3985,,,,,,0.4378,
2025-04-15,0.6618,,0.6169,,,,,,0.3901,,0.4443,,0.3993,,,,,,0.3901,
2025-04-14,0.5464,,0.6048,,,,,,0.4046,,0.437,,0.3953,,,,,,0.4046,
2025-04-11,0.7167,,0.6248,,0.3753,,0.3992,,0.423,,0.4372,,0.3938,,0.3753,,0.3992,,0.423,
2025-04-10,0.7542,,0.624,,,,,,0.4397,,0.4408,,0.3959,,,,,,0.4397,
2025-04-09,0.6813,,0.5537,,,,,,0.5152,,0.4325,,0.3899,,,,,,0.5152,
2025-03-07,0.3417,,0.3975,,0.4549,,,,0.3793,,0.3911,,0.3627,,0.4549,,,,0.3793,
