date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-30,0.2304,39.0,0.2685,41.0,0.2545,32.0,0.2941,42.0,0.3336,42.0,0.3383,56.0,0.3931,69.0,0.2545,37.0,0.2991,45.0,0.3436,44.0
2025-07-29,0.2253,37.0,0.2694,41.0,0.2933,43.0,0.3124,46.0,0.3315,42.0,0.3382,56.0,0.3936,69.0,0.3199,57.0,0.3241,50.0,0.3283,41.0
2025-07-28,0.2322,39.0,0.2913,48.0,0.3212,51.0,0.3378,51.0,0.3545,46.0,0.3382,56.0,0.3934,69.0,0.3402,62.0,0.3471,54.0,0.354,45.0
2025-07-25,0.1554,18.0,0.2707,42.0,0.3193,50.0,0.3386,51.0,0.3578,47.0,0.335,55.0,0.3934,69.0,0.3193,57.0,0.3378,52.0,0.3562,46.0
2025-07-24,0.2187,36.0,0.2735,42.0,0.337,55.0,0.3514,53.0,0.3657,48.0,0.3401,56.0,0.3949,69.0,0.343,62.0,0.3553,55.0,0.3676,48.0
2025-07-22,0.1929,28.0,0.2452,34.0,0.3546,59.0,0.4297,69.0,0.5048,76.0,0.339,56.0,0.3943,69.0,0.3546,65.0,0.3561,55.0,0.3576,46.0
2025-07-21,0.2117,34.0,0.2531,37.0,0.3354,54.0,0.3574,54.0,0.3793,51.0,0.3418,57.0,0.3957,69.0,0.3268,59.0,0.3529,55.0,0.379,50.0
2025-07-18,0.2137,34.0,0.2617,39.0,0.3132,49.0,0.3408,51.0,0.3685,49.0,0.3427,57.0,0.398,70.0,0.3132,55.0,0.35,54.0,0.3867,52.0
2025-07-17,0.3856,72.0,0.3104,53.0,0.3275,52.0,0.37,56.0,0.4126,57.0,0.3428,57.0,0.3972,69.0,0.3275,59.0,0.3503,55.0,0.3731,49.0
2025-07-16,0.36,67.0,0.3081,52.0,0.3548,59.0,0.3958,62.0,0.4368,63.0,0.3462,57.0,0.3979,69.0,0.3105,54.0,0.3452,54.0,0.3798,50.0
2025-07-15,0.4279,79.0,0.3367,59.0,0.3313,53.0,0.3714,57.0,0.4116,57.0,0.3491,57.0,0.3986,70.0,0.3313,60.0,0.3578,56.0,0.3842,51.0
2025-07-14,0.4371,80.0,0.3352,59.0,0.4899,80.0,0.4652,75.0,0.4406,64.0,0.349,57.0,0.3994,70.0,0.3082,54.0,0.3444,54.0,0.3807,50.0
2025-07-11,0.4296,79.0,0.3457,61.0,0.3048,47.0,0.3577,54.0,0.4105,57.0,0.3486,57.0,0.4005,70.0,0.3048,53.0,0.3492,54.0,0.3936,53.0
2025-07-09,0.431,79.0,0.3413,60.0,0.3869,66.0,0.3848,59.0,0.3827,51.0,0.3487,57.0,0.4014,70.0,0.3673,68.0,0.3712,59.0,0.3751,49.0
2025-07-08,0.2107,34.0,0.2444,34.0,0.3319,53.0,0.3878,60.0,0.4436,65.0,0.342,57.0,0.3984,70.0,0.3319,60.0,0.3541,55.0,0.3763,50.0
2025-07-07,0.1582,19.0,0.2644,40.0,0.3501,57.0,0.3697,56.0,0.3892,53.0,0.3397,56.0,0.3991,70.0,0.3501,64.0,0.3697,59.0,0.3892,52.0
2025-07-03,0.1735,23.0,0.2431,34.0,0.4013,69.0,0.408,65.0,0.4146,57.0,0.3424,57.0,0.4031,70.0,0.4013,76.0,0.3925,64.0,0.3837,51.0
2025-07-02,0.1449,15.0,0.2611,39.0,0.3553,59.0,0.3548,54.0,0.3542,46.0,0.3411,57.0,0.4038,70.0,0.3513,64.0,0.3634,57.0,0.3755,49.0
2025-07-01,0.145,15.0,0.2524,36.0,,,,,0.4068,56.0,0.3413,57.0,0.4044,70.0,,,,,0.377,50.0
2025-06-30,0.1782,24.0,0.2484,35.0,0.3036,46.0,0.3313,50.0,0.359,47.0,0.3463,57.0,0.4106,71.0,0.3554,65.0,0.365,57.0,0.3745,49.0
2025-06-27,0.1767,24.0,0.2508,36.0,0.2704,36.0,0.3103,46.0,0.3501,45.0,0.3466,57.0,0.4118,71.0,0.3694,69.0,0.372,59.0,0.3745,49.0
2025-06-26,0.19,28.0,0.2584,38.0,0.3733,63.0,0.3769,57.0,0.3805,51.0,0.3569,60.0,0.4151,71.0,0.3294,59.0,0.355,55.0,0.3807,50.0
2025-06-25,0.1608,19.0,0.268,41.0,0.4262,72.0,0.404,64.0,0.3819,51.0,0.3565,60.0,0.417,72.0,0.4018,76.0,0.3969,65.0,0.392,52.0
2025-06-24,0.1568,18.0,0.259,38.0,0.3706,62.0,0.3649,55.0,0.3592,47.0,0.3567,60.0,0.4166,72.0,0.3596,67.0,0.373,59.0,0.3863,51.0
2025-06-23,0.1657,21.0,0.2459,35.0,0.4622,77.0,0.4359,70.0,0.4096,56.0,0.3575,60.0,0.4179,72.0,0.3647,68.0,0.3817,61.0,0.3987,54.0
2025-06-20,0.1661,21.0,0.2412,33.0,0.3666,61.0,0.3648,55.0,0.363,48.0,0.3585,60.0,0.4211,73.0,0.3666,68.0,0.3833,62.0,0.4001,54.0
2025-06-18,0.1285,11.0,0.2421,33.0,0.3749,63.0,0.4615,75.0,0.5481,81.0,0.3733,63.0,0.4278,74.0,0.3749,70.0,0.3939,64.0,0.4129,56.0
2025-06-17,0.1526,17.0,0.2536,37.0,0.375,63.0,0.4341,70.0,0.4932,74.0,0.3744,63.0,0.4288,74.0,0.375,70.0,0.3892,63.0,0.4034,55.0
2025-06-16,0.1501,17.0,0.28,44.0,0.4855,79.0,0.4416,71.0,0.3978,54.0,0.3739,63.0,0.4291,74.0,0.3622,68.0,0.3924,64.0,0.4226,57.0
2025-06-13,0.1504,17.0,0.2538,37.0,0.3757,63.0,0.3954,62.0,0.415,57.0,0.3746,63.0,0.4287,74.0,0.3603,67.0,0.395,65.0,0.4296,59.0
2025-06-12,0.2103,34.0,0.2813,45.0,0.4874,79.0,0.444,72.0,0.4007,54.0,0.3743,63.0,0.4291,74.0,0.367,68.0,0.3982,65.0,0.4294,59.0
2025-06-11,0.2376,40.0,0.2906,47.0,0.4777,79.0,0.453,73.0,0.4283,61.0,0.3745,63.0,0.4293,75.0,0.4267,79.0,0.4214,70.0,0.4162,56.0
2025-06-10,0.2411,41.0,0.3158,54.0,0.4222,72.0,0.4222,67.0,0.4222,59.0,0.3787,64.0,0.4329,75.0,0.3808,72.0,0.3984,65.0,0.416,56.0
2025-06-09,0.2816,51.0,0.3186,55.0,0.4359,73.0,0.4118,65.0,0.3877,52.0,0.3848,66.0,0.4374,75.0,0.3752,70.0,0.3988,66.0,0.4225,57.0
2025-06-06,0.2389,41.0,0.3172,54.0,0.5293,83.0,0.4542,73.0,0.3792,51.0,0.3843,66.0,0.438,75.0,0.3757,70.0,0.3985,66.0,0.4213,57.0
2025-06-05,0.2086,33.0,0.2922,48.0,0.4489,75.0,0.4437,72.0,0.4385,63.0,0.3851,66.0,0.4379,75.0,0.3874,73.0,0.41,68.0,0.4325,59.0
2025-06-04,0.1962,30.0,0.307,52.0,0.4151,70.0,0.412,65.0,0.409,56.0,0.3866,66.0,0.4395,75.0,0.3954,75.0,0.4114,68.0,0.4275,57.0
2025-06-03,0.2093,33.0,0.2845,46.0,0.494,80.0,0.559,84.0,0.6239,86.0,0.3863,66.0,0.4388,75.0,0.3889,74.0,0.412,68.0,0.435,60.0
2025-06-02,0.1863,27.0,0.2797,44.0,0.475,78.0,0.5176,82.0,0.5602,82.0,0.388,66.0,0.4396,75.0,0.3488,64.0,0.3937,64.0,0.4386,60.0
2025-05-30,0.1723,23.0,0.2518,36.0,0.5369,83.0,0.4618,75.0,0.3867,52.0,0.3894,67.0,0.4393,75.0,0.4291,79.0,0.4173,69.0,0.4055,55.0
2025-05-29,0.1071,6.0,0.2569,38.0,0.4357,73.0,0.473,76.0,0.5103,76.0,0.3887,66.0,0.4394,75.0,0.3861,73.0,0.3969,65.0,0.4076,55.0
2025-05-28,0.1118,7.0,0.2546,37.0,0.4775,79.0,0.3974,62.0,0.3172,40.0,0.3901,67.0,0.442,76.0,0.4031,76.0,0.395,65.0,0.3869,52.0
2025-05-27,0.1828,26.0,0.2662,40.0,0.5218,82.0,0.4528,73.0,0.3838,52.0,0.4049,70.0,0.445,76.0,0.406,76.0,0.4011,66.0,0.3962,53.0
2025-05-23,0.1922,28.0,0.2998,50.0,0.2984,44.0,0.3647,55.0,0.431,61.0,0.4051,70.0,0.4456,76.0,0.4023,76.0,0.397,65.0,0.3916,52.0
2025-05-22,0.2232,37.0,0.2979,50.0,0.4776,79.0,0.4312,69.0,0.3847,52.0,0.4098,71.0,0.4468,77.0,0.3895,74.0,0.3896,63.0,0.3896,52.0
2025-05-21,0.2805,51.0,0.317,54.0,0.474,78.0,0.4385,71.0,0.403,55.0,0.4101,71.0,0.447,77.0,0.389,74.0,0.3906,64.0,0.3923,52.0
2025-05-20,0.2641,47.0,0.3454,61.0,0.4135,70.0,0.3949,62.0,0.3763,50.0,0.4109,71.0,0.4474,77.0,0.3667,68.0,0.3836,62.0,0.4004,54.0
2025-05-19,0.2616,47.0,0.3401,60.0,0.4408,74.0,0.4147,66.0,0.3886,52.0,0.4106,71.0,0.4486,77.0,0.3429,62.0,0.3666,57.0,0.3903,52.0
2025-05-16,0.2366,40.0,0.3493,62.0,0.3701,62.0,0.438,70.0,0.5058,76.0,0.4107,71.0,0.4489,77.0,0.3701,69.0,0.3714,59.0,0.3728,49.0
2025-05-15,0.2268,38.0,0.3496,62.0,0.3987,68.0,0.4008,63.0,0.4029,55.0,0.4102,71.0,0.4491,77.0,0.3422,62.0,0.3739,59.0,0.4056,55.0
2025-05-14,0.2313,39.0,0.3133,54.0,0.3447,57.0,0.3938,61.0,0.4429,65.0,0.4089,70.0,0.448,77.0,0.3447,63.0,0.3663,57.0,0.3879,52.0
2025-05-13,0.4841,85.0,0.3819,68.0,0.3342,54.0,0.3587,54.0,0.3831,52.0,0.4092,70.0,0.4499,78.0,0.336,61.0,0.3717,59.0,0.4074,55.0
2025-05-12,0.4322,79.0,0.3698,66.0,0.1957,11.0,0.2896,40.0,0.3835,52.0,0.4124,71.0,0.4535,79.0,0.1957,13.0,0.3006,45.0,0.4054,55.0
2025-05-09,0.4476,81.0,0.3729,67.0,0.2305,23.0,0.3106,46.0,0.3908,53.0,0.4186,72.0,0.454,79.0,0.2305,27.0,0.3344,52.0,0.4382,60.0
2025-05-08,0.4511,82.0,0.3808,68.0,0.2955,43.0,0.3511,53.0,0.4068,56.0,0.4182,72.0,0.4539,79.0,0.2116,20.0,0.3175,49.0,0.4234,57.0
2025-05-07,0.4402,80.0,0.3753,67.0,0.3506,57.0,0.3906,61.0,0.4305,61.0,0.4216,72.0,0.4545,79.0,0.3424,62.0,0.3852,62.0,0.4279,59.0
