date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-22,1.0748,95.0,1.0169,97.0,1.2005,95.0,1.1167,94.0,1.0329,92.0,1.1332,94.0,0.8523,92.0,0.8396,96.0,0.9608,98.0,1.0819,98.0
2025-10-21,1.0555,94.0,0.9114,95.0,1.1981,95.0,1.0656,93.0,0.9332,90.0,1.1299,94.0,0.8441,90.0,0.8332,96.0,0.914,97.0,0.9947,97.0
2025-10-20,0.8634,90.0,0.9185,95.0,1.1376,94.0,1.1708,95.0,1.204,95.0,1.1184,94.0,0.8358,90.0,0.6942,88.0,0.8754,96.0,1.0565,98.0
2025-10-15,0.7242,84.0,0.8868,94.0,1.2412,96.0,1.475,98.0,1.7088,99.0,1.1155,94.0,0.841,90.0,0.8232,95.0,0.9038,97.0,0.9843,96.0
2025-10-14,0.7528,85.0,0.866,94.0,1.4137,98.0,1.3055,96.0,1.1973,95.0,1.1147,94.0,0.8425,90.0,0.7994,94.0,0.8577,95.0,0.916,95.0
2025-10-13,0.9768,93.0,0.9607,96.0,1.2215,96.0,1.2686,96.0,1.3157,96.0,1.1171,94.0,0.8468,91.0,0.7595,91.0,0.8325,93.0,0.9055,95.0
2025-10-10,0.8909,91.0,0.934,95.0,1.2991,97.0,1.253,96.0,1.2069,95.0,1.1142,94.0,0.8487,91.0,0.9285,99.0,0.883,96.0,0.8376,92.0
2025-10-09,0.8635,90.0,0.7985,91.0,0.8878,89.0,0.9584,91.0,1.0291,92.0,1.1394,94.0,0.8526,92.0,0.7989,94.0,0.9233,97.0,1.0476,98.0
2025-10-08,0.9592,92.0,0.8309,93.0,0.976,91.0,1.0084,92.0,1.0408,93.0,1.1409,94.0,0.8593,92.0,0.7556,91.0,0.9295,97.0,1.1034,98.0
2025-10-07,0.9405,92.0,0.7607,90.0,1.0684,93.0,1.1269,94.0,1.1854,95.0,1.1388,94.0,0.8601,92.0,0.6138,79.0,0.7759,91.0,0.938,95.0
2025-10-06,0.9525,92.0,0.7398,89.0,1.0295,93.0,1.0668,93.0,1.1041,94.0,1.1533,94.0,0.8802,92.0,0.6728,86.0,0.7342,89.0,0.7957,91.0
2025-10-02,0.6712,81.0,0.5929,79.0,1.0736,93.0,1.0694,93.0,1.0652,93.0,1.1488,94.0,0.8942,93.0,0.6485,84.0,0.7604,90.0,0.8724,94.0
2025-10-01,0.7514,85.0,0.6728,85.0,1.2969,97.0,1.1974,95.0,1.0978,94.0,1.1641,94.0,0.9082,93.0,0.848,96.0,0.9158,97.0,0.9835,96.0
2025-09-30,1.0254,94.0,0.799,91.0,1.0836,93.0,1.0392,92.0,0.9948,92.0,1.1854,94.0,0.9131,94.0,0.8053,94.0,0.9015,97.0,0.9977,97.0
2025-09-29,1.121,95.0,0.8969,94.0,1.0708,93.0,1.0469,93.0,1.023,92.0,1.1882,94.0,0.916,94.0,0.7545,91.0,0.947,97.0,1.1396,99.0
2025-09-24,1.3097,97.0,1.1577,98.0,1.3467,97.0,1.3758,97.0,1.4048,97.0,1.182,94.0,0.9137,94.0,0.6403,83.0,0.8001,92.0,0.96,96.0
2025-09-23,1.3152,97.0,1.1851,98.0,0.834,86.0,0.9324,90.0,1.0308,92.0,1.1824,94.0,0.9156,94.0,0.5141,69.0,0.7584,90.0,1.0028,97.0
2025-09-22,1.2873,97.0,1.1825,98.0,0.9783,92.0,1.1165,94.0,1.2547,96.0,1.1811,94.0,0.9157,94.0,0.672,86.0,0.8378,94.0,1.0036,97.0
2025-09-19,1.0514,94.0,1.1354,98.0,0.8824,88.0,0.9595,91.0,1.0366,92.0,1.1723,94.0,0.9093,93.0,0.5838,75.0,0.781,91.0,0.9781,96.0
2025-09-18,1.4627,98.0,1.2082,98.0,1.0284,93.0,1.057,93.0,1.0857,93.0,1.1667,94.0,0.9024,93.0,0.4456,61.0,0.6108,78.0,0.7759,90.0
2025-09-16,1.3672,98.0,1.3623,99.0,1.2866,96.0,1.4538,98.0,1.6211,99.0,1.1627,94.0,0.8919,93.0,0.5967,77.0,0.7463,89.0,0.8959,94.0
