date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-07,0.6826,97.0,0.521,97.0,0.4156,83.0,0.393,78.0,0.3703,69.0,0.4334,89.0,0.3171,78.0,0.3744,85.0,0.3777,79.0,0.3809,73.0
2025-08-05,0.2211,42.0,0.2228,38.0,0.7162,100.0,0.7322,100.0,0.7482,100.0,0.3957,85.0,0.2969,65.0,0.3908,90.0,0.3702,74.0,0.3495,59.0
2025-08-04,0.251,53.0,0.2202,37.0,0.6806,99.0,0.5686,97.0,0.4565,88.0,0.3952,85.0,0.2969,65.0,0.4317,96.0,0.4031,89.0,0.3745,71.0
2025-08-01,0.2235,43.0,0.1987,25.0,0.6348,99.0,0.6996,100.0,0.7644,100.0,0.3949,85.0,0.2963,64.0,0.395,90.0,0.3814,81.0,0.3678,67.0
2025-07-31,0.2806,63.0,0.1888,19.0,0.6074,98.0,0.5947,98.0,0.582,97.0,0.395,85.0,0.298,65.0,0.4051,92.0,0.383,82.0,0.3609,64.0
2025-07-30,0.2532,53.0,0.1757,13.0,0.6332,99.0,0.5975,98.0,0.5618,97.0,0.3924,84.0,0.2974,65.0,0.3316,62.0,0.3924,86.0,0.4533,95.0
2025-07-29,0.1981,33.0,0.1511,6.0,0.5168,95.0,0.6043,98.0,0.6918,100.0,0.3915,84.0,0.2969,65.0,0.2978,35.0,0.3578,68.0,0.4178,87.0
2025-07-28,0.2082,37.0,0.1554,7.0,0.6308,99.0,0.5928,98.0,0.5549,97.0,0.3915,84.0,0.2971,65.0,0.3121,48.0,0.3752,77.0,0.4382,91.0
2025-07-25,0.1799,26.0,0.1501,5.0,0.5528,97.0,0.539,96.0,0.5253,95.0,0.3918,84.0,0.2984,65.0,0.3192,54.0,0.3753,78.0,0.4314,90.0
2025-07-24,0.1794,26.0,0.1674,10.0,0.5856,98.0,0.5686,97.0,0.5515,96.0,0.3922,84.0,0.2993,66.0,0.3212,56.0,0.376,78.0,0.4309,90.0
2025-07-22,0.1777,25.0,0.2211,37.0,0.5768,97.0,0.546,97.0,0.5153,94.0,0.3932,85.0,0.3006,66.0,0.2874,28.0,0.3652,72.0,0.443,92.0
2025-07-21,0.1159,6.0,0.236,45.0,0.518,95.0,0.5096,94.0,0.5013,93.0,0.3929,85.0,0.3004,66.0,0.3062,43.0,0.3684,73.0,0.4305,90.0
2025-07-18,0.1178,6.0,0.2475,51.0,0.4745,91.0,0.4756,91.0,0.4766,91.0,0.3944,85.0,0.3023,67.0,0.2929,31.0,0.3776,79.0,0.4622,96.0
2025-07-17,0.1128,5.0,0.2485,51.0,0.4905,93.0,0.4562,89.0,0.4218,83.0,0.3942,85.0,0.3023,67.0,0.2557,13.0,0.3456,61.0,0.4356,90.0
2025-07-16,0.1441,12.0,0.2519,53.0,0.3787,75.0,0.4674,90.0,0.5562,97.0,0.3947,85.0,0.3032,68.0,0.3208,55.0,0.3726,76.0,0.4243,88.0
2025-07-15,0.1836,27.0,0.2553,55.0,0.506,94.0,0.4706,90.0,0.4353,85.0,0.3947,85.0,0.3033,68.0,0.2819,26.0,0.3624,70.0,0.443,92.0
2025-07-14,0.1631,19.0,0.2304,42.0,0.6604,99.0,0.557,97.0,0.4537,88.0,0.3975,86.0,0.3049,70.0,0.3127,49.0,0.3869,84.0,0.461,96.0
2025-07-11,0.1659,20.0,0.2152,34.0,0.545,97.0,0.4873,92.0,0.4296,84.0,0.3975,86.0,0.3041,69.0,0.3111,48.0,0.3698,74.0,0.4284,89.0
2025-07-09,0.225,44.0,0.2478,51.0,0.4385,87.0,0.482,92.0,0.5256,95.0,0.3993,86.0,0.3041,69.0,0.3152,51.0,0.3824,82.0,0.4496,94.0
2025-07-08,0.1755,24.0,0.2363,45.0,0.4918,93.0,0.4472,88.0,0.4026,79.0,0.4002,86.0,0.311,74.0,0.2627,17.0,0.3474,63.0,0.4321,90.0
2025-07-07,0.212,39.0,0.25,52.0,0.5058,94.0,0.5172,94.0,0.5287,95.0,0.401,86.0,0.3116,74.0,0.2911,30.0,0.3558,67.0,0.4204,87.0
