date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-12,0.4522,89.0,0.2748,63.0,0.28,28.0,0.2839,24.0,0.2878,27.0,0.3105,49.0,0.3278,79.0,0.3528,62.0,0.3506,62.0,0.3483,61.0
2025-09-10,0.4392,88.0,0.2909,69.0,0.22,14.0,0.264,19.0,0.3079,34.0,0.3124,50.0,0.3299,79.0,0.3466,59.0,0.3468,59.0,0.3469,61.0
2025-09-09,0.4377,88.0,0.292,69.0,0.4059,73.0,0.3818,63.0,0.3576,52.0,0.3133,51.0,0.3298,79.0,0.3497,60.0,0.34,55.0,0.3303,48.0
2025-09-08,0.4385,88.0,0.2973,70.0,0.3546,55.0,0.3505,51.0,0.3463,47.0,0.313,51.0,0.331,80.0,0.3468,59.0,0.367,69.0,0.3873,78.0
2025-09-05,0.448,88.0,0.2864,67.0,0.2978,35.0,0.378,62.0,0.4581,82.0,0.3137,52.0,0.3315,80.0,0.3514,61.0,0.3573,65.0,0.3632,68.0
2025-09-04,0.4022,83.0,0.2754,64.0,0.3309,47.0,0.3271,41.0,0.3233,38.0,0.3151,53.0,0.334,81.0,0.3532,62.0,0.3398,55.0,0.3263,47.0
2025-08-26,0.1437,17.0,0.1838,20.0,0.3537,55.0,0.3177,37.0,0.2818,25.0,0.3209,60.0,0.3494,83.0,0.3339,52.0,0.3441,57.0,0.3544,64.0
2025-08-25,0.1432,16.0,0.1954,25.0,0.2534,21.0,0.2595,19.0,0.2656,19.0,0.3209,60.0,0.35,83.0,0.3388,55.0,0.3396,55.0,0.3405,56.0
2025-08-22,0.2352,53.0,0.2246,39.0,0.2694,26.0,0.274,22.0,0.2786,23.0,0.3228,61.0,0.3524,83.0,0.3628,68.0,0.3485,61.0,0.3341,51.0
2025-08-21,0.2497,57.0,0.217,36.0,0.2813,28.0,0.2912,27.0,0.3011,32.0,0.3235,62.0,0.353,83.0,0.342,56.0,0.3456,59.0,0.3492,61.0
2025-08-20,0.2772,63.0,0.2253,40.0,0.3043,38.0,0.2982,28.0,0.2921,28.0,0.3241,63.0,0.3546,83.0,0.3487,60.0,0.3472,60.0,0.3457,60.0
2025-08-19,0.2779,63.0,0.2302,42.0,0.2938,34.0,0.2918,27.0,0.2897,28.0,0.3294,67.0,0.3576,84.0,0.3364,53.0,0.3402,56.0,0.3441,59.0
2025-08-18,0.2684,61.0,0.2317,43.0,0.2897,32.0,0.2838,24.0,0.2778,23.0,0.337,70.0,0.364,85.0,0.3264,48.0,0.3283,48.0,0.3302,48.0
2025-08-15,0.2677,61.0,0.2817,66.0,0.2817,28.0,0.286,25.0,0.2903,28.0,0.38,85.0,0.3717,86.0,0.3317,51.0,0.3324,50.0,0.333,50.0
2025-08-13,0.2282,51.0,0.3277,79.0,0.2468,21.0,0.2623,20.0,0.2779,24.0,0.3779,89.0,0.3724,91.0,0.3183,46.0,0.3226,48.0,0.3268,50.0
2025-08-12,0.2184,48.0,0.3135,76.0,0.2524,22.0,0.3308,44.0,0.4092,69.0,0.3798,89.0,0.3735,91.0,0.332,54.0,0.3285,51.0,0.325,49.0
2025-08-08,0.2589,60.0,0.3128,76.0,0.2893,34.0,0.277,23.0,0.2646,20.0,0.3795,89.0,0.3739,91.0,0.3286,52.0,0.3312,52.0,0.3337,53.0
2025-08-07,0.2635,61.0,0.3187,77.0,0.3253,46.0,0.318,39.0,0.3107,37.0,0.3797,89.0,0.3738,91.0,0.3385,57.0,0.3396,57.0,0.3408,59.0
2025-08-05,0.2467,57.0,0.2378,48.0,0.5856,95.0,0.6106,96.0,0.6357,96.0,0.379,89.0,0.3702,91.0,0.3627,70.0,0.367,72.0,0.3713,74.0
2025-08-04,0.1435,17.0,0.2001,28.0,0.5612,93.0,0.5696,94.0,0.578,93.0,0.3763,89.0,0.3693,90.0,0.3594,68.0,0.3659,72.0,0.3724,75.0
2025-08-01,0.1079,4.0,0.2023,30.0,0.5673,93.0,0.5698,94.0,0.5724,93.0,0.3762,89.0,0.3695,91.0,0.3739,75.0,0.3696,73.0,0.3653,72.0
2025-07-31,0.1521,20.0,0.1946,26.0,0.5144,90.0,0.5041,89.0,0.4938,87.0,0.3777,89.0,0.3696,91.0,0.3514,64.0,0.353,66.0,0.3546,67.0
2025-07-30,0.138,15.0,0.216,37.0,0.504,89.0,0.5075,90.0,0.5111,88.0,0.3775,89.0,0.3713,91.0,0.3615,70.0,0.357,68.0,0.3525,66.0
2025-07-29,0.1844,35.0,0.2129,36.0,0.3987,72.0,0.4326,79.0,0.4665,84.0,0.3778,89.0,0.3715,91.0,0.3606,69.0,0.3516,65.0,0.3426,61.0
2025-07-28,0.1826,34.0,0.2232,40.0,0.472,86.0,0.4596,84.0,0.4472,80.0,0.3778,89.0,0.3722,91.0,0.3667,72.0,0.3628,70.0,0.3589,69.0
2025-07-25,0.2489,57.0,0.2409,50.0,0.4385,81.0,0.4371,80.0,0.4357,77.0,0.3849,89.0,0.3762,91.0,0.3542,66.0,0.3554,67.0,0.3565,68.0
2025-07-24,0.258,60.0,0.2457,52.0,0.4613,84.0,0.4462,82.0,0.431,76.0,0.3849,89.0,0.3767,91.0,0.3641,71.0,0.3653,71.0,0.3666,72.0
2025-07-22,0.2821,65.0,0.2609,59.0,0.4654,85.0,0.467,86.0,0.4685,84.0,0.413,92.0,0.3871,91.0,0.3363,56.0,0.3481,63.0,0.3599,70.0
2025-07-21,0.2835,65.0,0.2417,50.0,0.4533,83.0,0.4326,79.0,0.412,69.0,0.4134,92.0,0.3873,91.0,0.337,56.0,0.3436,60.0,0.3503,65.0
2025-07-18,0.2547,59.0,0.2409,50.0,0.4043,73.0,0.3936,68.0,0.3829,60.0,0.4132,92.0,0.3871,91.0,0.3617,70.0,0.3598,69.0,0.358,69.0
2025-07-17,0.2563,60.0,0.2398,49.0,0.3942,71.0,0.391,67.0,0.3877,62.0,0.4131,92.0,0.3868,91.0,0.3621,70.0,0.3715,74.0,0.3809,78.0
2025-07-16,0.1914,37.0,0.2498,54.0,0.3631,60.0,0.4134,75.0,0.4637,83.0,0.4108,92.0,0.3858,91.0,0.3615,70.0,0.3715,74.0,0.3815,79.0
2025-07-15,0.1643,25.0,0.2453,52.0,0.3733,64.0,0.3869,66.0,0.4005,66.0,0.4105,92.0,0.3856,91.0,0.3804,78.0,0.3906,82.0,0.4007,85.0
2025-07-14,0.1297,11.0,0.229,44.0,0.426,79.0,0.3798,63.0,0.3335,44.0,0.41,92.0,0.3852,91.0,0.3766,76.0,0.3853,79.0,0.394,83.0
2025-07-11,0.1531,20.0,0.2343,46.0,0.4076,74.0,0.4097,73.0,0.4118,69.0,0.4103,92.0,0.3856,91.0,0.3628,70.0,0.3587,69.0,0.3545,67.0
2025-07-09,0.1246,9.0,0.2334,46.0,0.2306,18.0,0.3175,39.0,0.4044,67.0,0.4111,92.0,0.3861,91.0,0.3699,74.0,0.371,74.0,0.3721,74.0
2025-07-08,0.2392,55.0,0.2773,65.0,0.2778,28.0,0.3353,45.0,0.3928,64.0,0.4111,92.0,0.3868,91.0,0.3656,71.0,0.3724,75.0,0.3792,78.0
2025-07-07,0.2577,60.0,0.2408,50.0,0.417,77.0,0.4256,78.0,0.4342,77.0,0.4111,92.0,0.3854,91.0,0.3791,77.0,0.3783,76.0,0.3775,77.0
2025-07-03,0.2573,60.0,0.2427,51.0,0.2902,34.0,0.3496,51.0,0.4089,69.0,0.4138,92.0,0.3861,91.0,0.3556,67.0,0.368,72.0,0.3804,78.0
2025-07-02,0.2465,57.0,0.2577,57.0,0.3271,47.0,0.3506,52.0,0.374,59.0,0.4124,92.0,0.3867,91.0,0.3642,71.0,0.373,75.0,0.3819,79.0
2025-07-01,0.2884,66.0,0.2581,57.0,0.3086,41.0,0.3408,47.0,0.3729,57.0,0.4117,92.0,0.3863,91.0,0.3603,69.0,0.3718,74.0,0.3833,79.0
2025-06-30,0.3278,75.0,0.2595,57.0,0.2688,27.0,0.3056,34.0,0.3424,47.0,0.4111,92.0,0.3862,91.0,0.3679,73.0,0.3748,75.0,0.3816,79.0
2025-06-27,0.326,75.0,0.2686,62.0,0.288,33.0,0.3202,40.0,0.3525,51.0,0.4103,92.0,0.3862,91.0,0.3983,85.0,0.3935,83.0,0.3888,81.0
2025-06-26,0.3372,77.0,0.2773,65.0,0.2547,23.0,0.2941,28.0,0.3335,44.0,0.4102,92.0,0.3859,91.0,0.4042,87.0,0.417,91.0,0.4298,92.0
2025-06-25,0.2339,53.0,0.2525,56.0,0.3203,45.0,0.3419,48.0,0.3636,55.0,0.4059,92.0,0.3841,91.0,0.4249,92.0,0.4246,93.0,0.4244,91.0
