date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-25,0.2589,3.0,0.271,1.0,0.9584,53.0,1.0032,46.0,1.0481,42.0,0.5752,1.0,0.5674,11.0,0.9584,61.0,1.019,50.0,1.0795,35.0
2025-08-22,0.2391,2.0,0.2958,1.0,0.8405,41.0,1.0272,49.0,1.214,60.0,0.5771,1.0,0.5691,12.0,0.8801,52.0,0.9014,28.0,0.9226,9.0
2025-08-21,0.2499,2.0,0.2832,1.0,0.9023,48.0,1.0478,50.0,1.1934,57.0,0.5784,1.0,0.5709,12.0,0.9023,54.0,1.043,54.0,1.1837,57.0
2025-08-20,0.2686,4.0,0.2835,1.0,0.8503,43.0,0.9264,36.0,1.0025,36.0,0.5783,1.0,0.5717,12.0,0.9097,55.0,1.0242,51.0,1.1386,48.0
2025-08-19,0.2695,4.0,0.2733,1.0,0.9066,48.0,0.9992,45.0,1.0917,48.0,0.5842,3.0,0.5744,15.0,1.0037,67.0,1.0554,57.0,1.107,40.0
2025-08-18,0.2721,4.0,0.274,1.0,1.064,63.0,0.9994,45.0,0.9347,27.0,0.5896,4.0,0.5779,17.0,0.8996,54.0,1.0286,51.0,1.1576,52.0
2025-08-15,0.2721,4.0,0.2891,1.0,0.8584,43.0,0.9888,44.0,1.1192,51.0,0.5902,4.0,0.5783,17.0,0.9917,65.0,1.0219,50.0,1.052,28.0
2025-08-13,0.2684,,0.2648,,0.832,,0.8778,,0.9237,,0.5906,,0.5799,,1.0358,,1.0388,,1.0419,
2025-08-12,0.2605,,0.2801,,1.0491,,1.0376,,1.026,,0.591,,0.5802,,0.9021,,1.0566,,1.2112,
2025-08-08,0.2982,,0.3066,,1.0251,,0.9916,,0.958,,0.5909,,0.5812,,0.9622,,0.9784,,0.9946,
2025-08-07,0.2456,,0.3345,,0.7943,,0.9876,,1.1809,,0.5909,,0.5813,,0.9072,,1.044,,1.1809,
2025-08-05,0.2971,,0.3438,,0.9064,,1.0352,,1.164,,0.5916,,0.5827,,0.9054,,1.0507,,1.196,
2025-08-04,0.2824,,0.3433,,0.9317,,1.0007,,1.0697,,0.5915,,0.5835,,0.9891,,1.0578,,1.1266,
2025-08-01,0.2646,,0.3296,,0.8178,,0.9318,,1.0459,,0.5938,,0.5853,,0.9418,,1.0968,,1.2517,
2025-07-31,0.2243,,0.3497,,1.0796,,1.0782,,1.0768,,0.593,,0.589,,1.1037,,1.1238,,1.144,
2025-07-30,0.3128,,0.3625,,0.901,,0.9786,,1.0561,,0.5931,,0.5908,,1.101,,1.1806,,1.2603,
2025-07-29,0.3255,,0.3357,,0.8648,,0.9664,,1.0681,,0.5955,,0.5904,,0.957,,1.0546,,1.1522,
2025-07-28,0.3232,,0.3237,,0.904,,0.9992,,1.0944,,0.5948,,0.5907,,0.953,,1.0497,,1.1464,
2025-07-25,0.345,,0.3374,,0.8586,,0.9788,,1.0991,,0.5949,,0.5909,,0.9805,,1.0892,,1.1978,
2025-07-24,0.3621,,0.3562,,0.8533,,0.983,,1.1127,,0.595,,0.5973,,0.9507,,1.0522,,1.1537,
2025-07-22,0.4861,,0.3735,,0.7874,,0.9002,,1.013,,0.5962,,0.6002,,0.9116,,0.9778,,1.0441,
2025-07-21,0.5319,,0.4623,,0.9046,,0.9206,,0.9367,,0.5993,,0.6023,,0.9843,,1.1109,,1.2375,
2025-07-18,0.6141,,0.5857,,1.0796,,1.08,,1.0804,,0.5989,,0.6055,,0.9615,,1.0474,,1.1333,
2025-07-17,0.5846,,0.6063,,0.8883,,0.9504,,1.0124,,0.5976,,0.6062,,0.8366,,1.001,,1.1655,
2025-07-16,0.5824,,0.5922,,1.0373,,1.0553,,1.0733,,0.6201,,0.6087,,0.886,,1.009,,1.1319,
2025-07-15,0.5904,,0.61,,1.3603,,1.2031,,1.0458,,0.6238,,0.6114,,1.0105,,1.0432,,1.0759,
2025-07-14,0.5722,,0.6098,,0.9724,,1.0328,,1.0931,,0.6222,,0.6148,,0.9431,,1.0588,,1.1746,
2025-07-11,0.5859,,0.619,,1.141,,1.0882,,1.0355,,0.6201,,0.6185,,1.0148,,1.132,,1.2491,
2025-07-09,0.6138,,0.6325,,1.1076,,1.2034,,1.2992,,0.6142,,0.6168,,0.8955,,1.015,,1.1344,
2025-07-08,0.6314,,0.6984,,1.1722,,1.1388,,1.1053,,0.6244,,0.63,,0.8941,,1.0725,,1.251,
2025-07-07,0.6136,,0.7187,,0.9982,,1.0698,,1.1415,,0.6234,,0.6313,,0.9333,,1.1076,,1.2819,
2025-07-03,0.5264,,0.7151,,0.9768,,0.9875,,0.9982,,0.6393,,0.6395,,1.0373,,1.1,,1.1628,
2025-07-02,0.5991,,0.7266,,1.0888,,1.2159,,1.3431,,0.6421,,0.6402,,1.0565,,1.1612,,1.2659,
