date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-07,0.1796,,0.1256,,0.2158,,0.2214,,0.2271,,0.3009,,0.2293,,0.1939,,0.207,,0.2201,
2025-07-03,0.186,,0.1292,,0.2033,,0.2048,,0.2064,,0.302,,0.2297,,0.1888,,0.1956,,0.2025,
2025-07-02,0.1782,,0.1308,,0.2,,0.2379,,0.2758,,0.3017,,0.2297,,0.1897,,0.2054,,0.221,
2025-07-01,0.1997,,0.1324,,0.2651,,0.241,,0.2169,,0.3017,,0.2299,,0.238,,0.2386,,0.2393,
2025-06-30,0.1231,,0.1089,,0.2332,,0.2324,,0.2316,,0.3001,,0.2295,,0.1915,,0.2188,,0.246,
2025-06-27,0.1227,,0.1102,,0.2213,,0.2254,,0.2295,,0.3001,,0.2298,,0.213,,0.231,,0.249,
2025-06-26,0.1313,,0.1005,,0.1983,,0.2303,,0.2623,,0.3001,,0.2296,,0.2075,,0.2337,,0.2599,
2025-06-25,0.1274,,0.0941,,0.2557,,0.2386,,0.2214,,0.3008,,0.2296,,0.2363,,0.2369,,0.2375,
2025-06-24,0.1063,,0.0864,,0.2295,,0.2346,,0.2397,,0.3006,,0.2297,,0.2248,,0.2372,,0.2496,
2025-06-23,0.1029,,0.0797,,0.2226,,0.2369,,0.2512,,0.3009,,0.2303,,0.2209,,0.2424,,0.2639,
2025-06-20,0.0782,,0.0738,,0.2201,,0.2436,,0.2671,,0.3006,,0.2304,,0.2286,,0.2468,,0.2649,
2025-06-18,0.092,,0.0907,,0.2401,,0.381,,0.5218,,0.3075,,0.2335,,0.233,,0.2502,,0.2673,
2025-06-17,0.1172,,0.0968,,0.2308,,0.251,,0.2711,,0.3079,,0.2338,,0.2265,,0.2475,,0.2685,
2025-06-16,0.1343,,0.0981,,0.2264,,0.2439,,0.2614,,0.3083,,0.2339,,0.2297,,0.2462,,0.2628,
