date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-04,0.2838,27.0,0.3303,28.0,0.7016,74.0,0.7025,74.0,0.7034,74.0,0.8061,83.0,0.7376,82.0,0.7009,78.0,0.6984,77.0,0.6958,77.0
2025-08-26,0.6405,77.0,0.5868,74.0,0.7083,75.0,0.6821,72.0,0.6559,69.0,0.8307,84.0,0.7609,83.0,0.6897,78.0,0.6882,77.0,0.6868,76.0
2025-08-25,0.697,81.0,0.6122,77.0,0.7399,77.0,0.701,74.0,0.6621,70.0,0.8306,84.0,0.7616,83.0,0.7102,79.0,0.6992,77.0,0.6882,76.0
2025-08-22,0.7352,83.0,0.6062,76.0,0.7247,75.0,0.7073,74.0,0.69,72.0,0.8322,84.0,0.7633,84.0,0.6864,77.0,0.6864,77.0,0.6863,76.0
2025-08-21,0.4059,50.0,0.5349,69.0,0.6902,73.0,0.6862,73.0,0.6823,72.0,0.827,84.0,0.7617,83.0,0.6881,77.0,0.6894,77.0,0.6908,76.0
2025-08-20,0.4771,61.0,0.5382,69.0,0.7248,75.0,0.7013,74.0,0.6779,71.0,0.8336,84.0,0.7665,84.0,0.7146,79.0,0.7008,78.0,0.687,76.0
2025-08-19,0.4689,60.0,0.5408,69.0,0.3903,22.0,0.529,55.0,0.6678,71.0,0.8391,85.0,0.769,84.0,0.7075,79.0,0.7279,79.0,0.7483,80.0
2025-08-18,0.4862,62.0,0.5908,75.0,0.6962,74.0,0.6912,73.0,0.6861,72.0,0.8412,85.0,0.7698,84.0,0.7251,80.0,0.7058,78.0,0.6865,76.0
2025-08-15,0.4636,59.0,0.5213,67.0,0.6864,73.0,0.6908,73.0,0.6951,73.0,0.8426,85.0,0.7697,84.0,0.624,75.0,0.661,76.0,0.6981,77.0
2025-08-13,0.7656,85.0,0.7814,88.0,1.5711,100.0,1.1379,96.0,0.7047,75.0,0.8497,86.0,0.7718,85.0,0.6942,79.0,0.6942,78.0,0.6941,78.0
2025-08-12,0.776,86.0,0.8013,88.0,0.667,72.0,0.6792,73.0,0.6913,74.0,0.8523,86.0,0.7726,85.0,0.6892,79.0,0.6893,78.0,0.6894,77.0
2025-08-08,0.7213,83.0,0.7917,88.0,0.8748,85.0,0.7745,79.0,0.6741,72.0,0.8514,86.0,0.775,85.0,0.6877,79.0,0.6968,78.0,0.7059,79.0
2025-08-07,0.7076,82.0,0.7592,86.0,0.8492,84.0,0.7114,76.0,0.5737,61.0,0.8519,86.0,0.7732,85.0,0.6954,79.0,0.705,79.0,0.7147,79.0
2025-08-05,0.6139,76.0,0.6672,81.0,0.7435,78.0,0.7286,77.0,0.7138,75.0,0.8474,86.0,0.7657,85.0,0.6878,79.0,0.6966,78.0,0.7053,79.0
2025-08-04,0.4913,64.0,0.5556,72.0,1.6508,100.0,1.219,97.0,0.7872,80.0,0.8471,86.0,0.7628,85.0,0.7049,80.0,0.7201,80.0,0.7353,80.0
