date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-30,0.1098,16.0,0.0821,36.0,0.2023,75.0,0.2169,59.0,0.2315,34.0,0.2592,79.0,0.1775,87.0,0.203,84.0,0.2196,77.0,0.2363,45.0
2025-09-29,0.1112,18.0,0.0755,31.0,0.2114,82.0,0.2174,60.0,0.2234,24.0,0.2608,79.0,0.1783,87.0,0.2089,87.0,0.2177,73.0,0.2265,25.0
2025-09-24,0.1282,30.0,0.0922,46.0,0.2434,91.0,0.2326,74.0,0.2217,22.0,0.2628,79.0,0.1811,87.0,0.2187,92.0,0.2235,84.0,0.2283,26.0
2025-09-23,0.1019,12.0,0.0878,41.0,0.2156,84.0,0.2216,65.0,0.2276,28.0,0.2621,79.0,0.181,87.0,0.2153,91.0,0.2226,83.0,0.2299,30.0
2025-09-22,0.1138,19.0,0.0824,37.0,0.1981,70.0,0.2138,54.0,0.2296,32.0,0.2631,79.0,0.1812,87.0,0.2008,83.0,0.217,72.0,0.2331,37.0
2025-09-19,0.1558,47.0,0.0893,42.0,0.2004,73.0,0.2128,52.0,0.2251,26.0,0.2631,79.0,0.1811,87.0,0.1966,79.0,0.213,60.0,0.2293,28.0
2025-09-18,0.1513,44.0,0.0951,49.0,0.1843,59.0,0.2092,47.0,0.2341,39.0,0.2662,79.0,0.1813,87.0,0.1899,72.0,0.2117,57.0,0.2335,39.0
2025-09-16,0.1418,39.0,0.0687,28.0,0.2016,75.0,0.2176,60.0,0.2337,39.0,0.266,79.0,0.181,87.0,0.1972,79.0,0.2154,67.0,0.2337,40.0
2025-09-15,0.1488,43.0,0.083,37.0,0.2034,76.0,0.213,52.0,0.2225,23.0,0.2676,79.0,0.1822,87.0,0.2034,84.0,0.213,60.0,0.2225,20.0
2025-09-12,0.1616,50.0,0.0852,39.0,0.1953,67.0,0.2089,47.0,0.2225,23.0,0.2685,79.0,0.1823,87.0,0.1953,78.0,0.2089,53.0,0.2225,20.0
2025-09-10,0.1197,23.0,0.0863,40.0,0.1988,71.0,0.21,48.0,0.2212,21.0,0.2704,79.0,0.1832,87.0,0.1965,79.0,0.2088,52.0,0.2212,19.0
2025-09-09,0.1329,34.0,0.0898,43.0,0.2042,76.0,0.2115,50.0,0.2188,19.0,0.2723,79.0,0.1842,87.0,0.1973,79.0,0.208,50.0,0.2188,18.0
2025-09-08,0.1153,20.0,0.0903,43.0,0.184,57.0,0.2066,43.0,0.2292,31.0,0.2719,79.0,0.1848,87.0,0.184,65.0,0.2066,45.0,0.2292,28.0
2025-09-05,0.1154,20.0,0.0938,47.0,0.1906,63.0,0.2124,51.0,0.2343,40.0,0.2719,79.0,0.1856,87.0,0.1906,73.0,0.2104,55.0,0.2303,31.0
2025-09-04,0.1039,13.0,0.0775,32.0,0.1912,64.0,0.2108,49.0,0.2304,33.0,0.2741,79.0,0.1861,87.0,0.1905,73.0,0.2104,55.0,0.2304,31.0
2025-08-26,0.1741,57.0,0.1007,53.0,0.1957,67.0,0.2132,53.0,0.2307,34.0,0.2806,81.0,0.1931,87.0,0.1918,74.0,0.2112,56.0,0.2307,32.0
2025-08-25,0.1695,55.0,0.0967,50.0,0.2008,74.0,0.2108,49.0,0.2209,21.0,0.2815,84.0,0.1935,87.0,0.2008,83.0,0.2108,56.0,0.2209,19.0
2025-08-22,0.1977,71.0,0.0936,47.0,0.2071,79.0,0.2141,54.0,0.2211,21.0,0.2816,85.0,0.1938,87.0,0.2,82.0,0.2106,56.0,0.2211,19.0
2025-08-21,0.1335,34.0,0.07,28.0,0.2039,76.0,0.2202,63.0,0.2366,43.0,0.2797,80.0,0.1936,87.0,0.1957,78.0,0.2162,70.0,0.2366,46.0
