date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-12-04,2.3503,,1.6569,,1.3886,,1.8837,,2.3788,,2.1771,,1.8548,,1.595,,1.9442,,2.2933,
2025-12-03,2.1705,,1.4755,,1.6661,,2.1317,,2.5973,,2.1449,,1.8384,,1.5078,,1.9091,,2.3104,
2025-12-02,1.9687,,1.5458,,1.5267,,1.6334,,1.7402,,2.1345,,1.8328,,1.7584,,1.9255,,2.0926,
2025-11-26,2.256,,2.0105,,1.4658,,1.6986,,1.9315,,2.1329,,1.8406,,1.8373,,1.975,,2.1128,
2025-11-25,2.2767,,2.0473,,1.9428,,2.0297,,2.1166,,2.132,,1.8415,,1.7403,,1.9898,,2.2393,
2025-11-20,2.1495,,2.1808,,1.9466,,1.804,,1.6614,,2.1336,,1.8328,,2.1271,,2.0868,,2.0466,
2025-11-18,1.8915,,1.8212,,1.8176,,2.5472,,3.2768,,2.1054,,1.8281,,1.7229,,2.059,,2.3951,
2025-11-17,1.5857,,1.9131,,2.672,,2.553,,2.4341,,2.1867,,1.8729,,1.9804,,2.1498,,2.3192,
2025-11-14,1.5486,,1.9476,,2.3476,,2.3426,,2.3377,,2.1997,,1.8799,,2.025,,2.1436,,2.2622,
2025-11-13,2.014,,1.7612,,2.4524,,2.3492,,2.246,,2.2001,,1.8723,,1.9471,,2.0803,,2.2135,
2025-11-12,2.4858,,1.9875,,2.3089,,2.26,,2.2111,,2.1921,,1.8711,,1.9084,,2.0584,,2.2083,
2025-11-10,2.4131,,1.8418,,2.4664,,2.3954,,2.3244,,2.1381,,1.8626,,2.0965,,2.1884,,2.2804,
2025-11-07,2.7588,,1.9986,,2.4008,,2.3907,,2.3806,,2.1775,,1.8835,,2.1283,,2.201,,2.2737,
2025-11-06,2.9417,,1.9298,,2.3815,,2.4102,,2.439,,2.2383,,1.8836,,2.06,,2.1523,,2.2446,
2025-11-05,2.9403,,2.1222,,2.3485,,2.3955,,2.4424,,2.2349,,1.8817,,2.0817,,2.1952,,2.3088,
2025-11-04,2.8556,,2.1227,,2.4291,,2.4568,,2.4844,,2.2305,,1.8794,,2.0721,,2.1799,,2.2877,
2025-11-03,2.516,,2.1094,,2.1889,,2.2648,,2.3407,,2.219,,1.8781,,2.1016,,2.2119,,2.3222,
2025-10-31,1.9325,,1.9877,,2.3669,,2.4474,,2.5278,,2.1887,,1.8667,,2.1573,,2.2453,,2.3333,
2025-10-30,2.5122,,2.2691,,2.3177,,2.4039,,2.49,,2.1865,,1.8665,,2.1511,,2.2232,,2.2954,
2025-10-29,2.5193,,2.2414,,2.4268,,2.4248,,2.4227,,2.2008,,1.8606,,2.1333,,2.1876,,2.2419,
2025-10-28,2.3432,,2.3568,,2.7138,,2.6045,,2.4953,,2.2297,,1.8719,,2.1744,,2.2096,,2.2448,
2025-10-27,2.2374,,2.223,,2.6984,,2.6356,,2.5729,,2.2137,,1.8549,,2.2372,,2.2922,,2.3473,
2025-10-24,2.6479,,2.514,,2.4739,,2.4754,,2.477,,2.2124,,1.8528,,2.2133,,2.2796,,2.346,
2025-10-23,2.7264,,2.5929,,2.7125,,2.7835,,2.8545,,2.2152,,1.8446,,2.219,,2.2702,,2.3214,
2025-10-22,2.1851,,2.7304,,2.6168,,2.6278,,2.6389,,2.2042,,1.8441,,2.1267,,2.235,,2.3432,
2025-10-21,3.7393,,2.6869,,,,,,,,2.1774,,1.8276,,,,,,,
2025-10-20,3.7056,,2.6877,,,,,,,,2.1611,,1.819,,,,,,,
2025-10-15,2.3328,,2.1698,,3.0889,,3.1738,,3.2587,,2.0489,,1.7332,,2.5883,,2.739,,2.8897,
