date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-24,0.2819,13.0,0.4694,28.0,,,,,,,0.9048,80.0,0.952,87.0,,,,,,
2025-10-23,0.269,12.0,0.4532,26.0,,,,,,,0.9055,80.0,0.952,87.0,,,,,,
2025-10-22,0.4365,38.0,0.5528,43.0,,,,,,,0.9068,80.0,0.9534,87.0,,,,,,
2025-10-21,0.4057,33.0,0.5617,44.0,,,,,,,0.9058,80.0,0.9531,87.0,,,,,,
2025-10-20,0.7557,76.0,0.6389,57.0,,,,,,,0.907,80.0,0.9536,87.0,,,,,,
2025-10-15,0.754,76.0,0.6108,53.0,,,,,,,0.9165,80.0,0.9553,87.0,,,,,,
2025-10-14,0.7551,76.0,0.6112,53.0,,,,,,,0.9165,80.0,0.9558,87.0,,,,,,
2025-10-13,0.6655,69.0,0.5288,39.0,,,,,,,0.9138,80.0,0.9529,87.0,,,,,,
2025-10-10,0.6206,64.0,0.5332,40.0,,,,,,,0.9124,80.0,0.9527,87.0,,,,,,
2025-10-09,0.2079,6.0,0.4371,23.0,,,,,,,0.9022,80.0,0.9517,87.0,,,,,,
2025-10-08,0.4057,33.0,0.4832,31.0,,,,,,,0.9024,80.0,0.9523,87.0,,,,,,
2025-10-07,0.3763,28.0,0.4849,31.0,,,,,,,0.9037,80.0,0.9554,87.0,,,,,,
2025-10-06,0.4719,45.0,0.5153,36.0,,,,,,,0.9178,80.0,0.9667,87.0,,,,,,
2025-10-02,0.5012,49.0,0.618,54.0,,,,,,,0.919,81.0,0.9827,87.0,,,,,,
2025-10-01,0.5076,50.0,0.6244,55.0,,,,,,,0.9193,81.0,0.9821,87.0,,,,,,
2025-09-30,0.5062,50.0,0.6347,57.0,,,,,,,0.9291,81.0,0.986,87.0,,,,,,
2025-09-29,0.4146,34.0,0.6184,54.0,,,,,,,0.9268,81.0,0.9853,87.0,,,,,,
2025-09-24,1.1552,92.0,1.0547,91.0,,,,,,,0.9305,81.0,0.9858,87.0,,,,,,
2025-09-23,1.1552,92.0,1.045,91.0,,,,,,,0.9305,81.0,0.9852,87.0,,,,,,
2025-09-22,1.1557,92.0,1.047,91.0,,,,,,,0.93,81.0,0.9853,87.0,,,,,,
2025-09-19,1.2085,93.0,1.0516,91.0,,,,,,,0.9324,81.0,0.9878,87.0,,,,,,
2025-09-18,1.228,93.0,1.1279,93.0,,,,,,,0.9376,81.0,0.9887,87.0,,,,,,
2025-09-16,1.0494,89.0,0.8834,84.0,,,,,,,0.9542,82.0,0.9763,87.0,,,,,,
2025-09-15,1.0761,90.0,0.9173,86.0,,,,,,,0.9544,82.0,0.9788,87.0,,,,,,
2025-09-12,1.0696,90.0,0.904,85.0,,,,,,,0.9543,82.0,0.9776,87.0,,,,,,
2025-09-10,1.1785,92.0,1.0061,90.0,,,,,,,0.9555,82.0,0.9772,87.0,,,,,,
2025-09-09,1.012,88.0,1.7372,100.0,,,,,,,0.9431,81.0,0.9726,87.0,,,,,,
2025-09-08,1.4928,97.0,1.8076,100.0,,,,,,,0.9369,81.0,0.9686,87.0,,,,,,
2025-09-05,1.743,99.0,1.8396,100.0,,,,,,,0.9367,81.0,0.9665,87.0,,,,,,
2025-09-04,1.7636,99.0,1.9699,100.0,,,,,,,0.938,81.0,0.9665,87.0,,,,,,
2025-08-26,1.0067,88.0,1.657,100.0,,,,,,,0.8499,77.0,0.8761,86.0,,,,,,
2025-08-25,1.0271,89.0,1.5129,99.0,,,,,,,0.8535,77.0,0.8592,85.0,,,,,,
2025-08-22,0.6441,67.0,0.9625,88.0,,,,,,,0.8261,73.0,0.7979,81.0,,,,,,
2025-08-21,0.7052,72.0,0.9694,88.0,,,,,,,0.8277,73.0,0.7983,81.0,,,,,,
2025-08-20,0.5117,51.0,0.9149,86.0,,,,,,,0.8155,71.0,0.7946,81.0,,,,,,
2025-08-19,0.5497,55.0,0.9215,86.0,,,,,,,0.8157,71.0,0.7949,81.0,,,,,,
2025-08-18,0.5749,57.0,0.9711,88.0,,,,,,,0.8163,71.0,0.7931,81.0,,,,,,
2025-08-15,0.5611,56.0,0.9711,88.0,,,,,,,0.8155,71.0,0.7918,81.0,,,,,,
2025-08-13,0.5767,59.0,0.6895,66.0,,,,,,,0.8159,71.0,0.7728,77.0,,,,,,
2025-08-12,0.4255,36.0,0.6688,63.0,,,,,,,0.8091,70.0,0.7714,77.0,,,,,,
2025-08-08,0.5272,53.0,0.7614,74.0,,,,,,,0.8099,70.0,0.7727,77.0,,,,,,
2025-08-07,0.57,57.0,0.7381,72.0,,,,,,,0.8099,70.0,0.7682,76.0,,,,,,
2025-08-05,0.5597,56.0,0.7643,75.0,,,,,,,0.8102,70.0,0.7685,76.0,,,,,,
2025-08-04,0.5809,59.0,0.8013,78.0,,,,,,,0.8102,70.0,0.7678,76.0,,,,,,
2025-08-01,0.4664,44.0,0.8046,78.0,,,,,,,0.8087,69.0,0.7669,76.0,,,,,,
2025-07-31,0.3333,21.0,0.8072,78.0,,,,,,,0.8072,69.0,0.7671,76.0,,,,,,
2025-07-30,0.3456,23.0,0.7293,71.0,,,,,,,0.8046,69.0,0.7618,74.0,,,,,,
2025-07-29,0.3723,28.0,0.689,66.0,,,,,,,0.8036,68.0,0.7577,73.0,,,,,,
2025-07-28,0.3913,31.0,0.6802,65.0,,,,,,,0.805,69.0,0.7572,73.0,,,,,,
2025-07-25,0.3547,24.0,0.6211,55.0,,,,,,,0.8051,69.0,0.7576,73.0,,,,,,
2025-07-24,0.2195,7.0,0.5628,45.0,,,,,,,0.8077,69.0,0.7569,73.0,,,,,,
2025-07-22,0.2767,13.0,0.6899,66.0,,,,,,,0.8087,69.0,0.7554,73.0,,,,,,
2025-07-21,0.8306,81.0,0.8977,85.0,,,,,,,0.8085,69.0,0.7534,73.0,,,,,,
2025-07-18,1.0161,88.0,0.9763,89.0,,,,,,,0.8096,70.0,0.7525,73.0,,,,,,
2025-07-17,1.8556,99.0,1.31,98.0,,,,,,,0.8096,70.0,0.7517,72.0,,,,,,
2025-07-16,2.0184,99.0,1.4658,99.0,,,,,,,0.809,70.0,0.7508,72.0,,,,,,
2025-07-15,2.0368,99.0,1.4947,99.0,,,,,,,0.8118,70.0,0.7503,72.0,,,,,,
2025-07-14,2.013,99.0,1.4831,99.0,,,,,,,0.8116,70.0,0.7484,72.0,,,,,,
2025-07-11,2.01,99.0,1.4366,99.0,,,,,,,0.8125,70.0,0.7432,70.0,,,,,,
2025-07-09,1.678,98.0,1.2455,97.0,,,,,,,0.7848,65.0,0.7221,65.0,,,,,,
2025-07-08,0.9131,85.0,0.8472,82.0,,,,,,,0.6837,56.0,0.6888,57.0,,,,,,
2025-07-07,0.5503,55.0,0.6088,53.0,,,,,,,0.6581,49.0,0.6744,54.0,,,,,,
2025-07-03,0.5596,56.0,0.64,57.0,,,,,,,0.6749,54.0,0.6756,54.0,,,,,,
2025-07-02,0.5614,57.0,0.6272,56.0,,,,,,,0.675,54.0,0.6749,54.0,,,,,,
2025-07-01,0.566,57.0,0.618,54.0,,,,,,,0.6749,54.0,0.6747,54.0,,,,,,
2025-06-30,0.627,65.0,0.6107,53.0,,,,,,,0.6766,54.0,0.6742,54.0,,,,,,
2025-06-27,0.4153,35.0,0.5972,51.0,,,,,,,0.6678,51.0,0.6732,54.0,,,,,,
2025-06-26,0.43,37.0,0.6159,54.0,,,,,,,0.6678,51.0,0.6738,54.0,,,,,,
2025-06-25,0.4733,45.0,0.6137,54.0,,,,,,,0.6683,52.0,0.6713,53.0,,,,,,
2025-06-24,0.4618,43.0,0.4959,33.0,,,,,,,0.6674,51.0,0.6677,52.0,,,,,,
2025-06-23,0.4578,43.0,0.4655,28.0,,,,,,,0.6681,51.0,0.6685,53.0,,,,,,
2025-06-20,0.4715,45.0,0.4819,31.0,,,,,,,0.668,51.0,0.6699,53.0,,,,,,
2025-06-18,0.418,35.0,0.5076,35.0,,,,,,,0.6689,52.0,0.6735,54.0,,,,,,
2025-06-17,0.3504,24.0,0.4827,31.0,,,,,,,0.6841,56.0,0.6775,55.0,,,,,,
2025-06-16,0.4574,42.0,0.4834,31.0,,,,,,,0.6826,56.0,0.6773,55.0,,,,,,
