date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-08,0.3694,57.0,0.2942,37.0,0.3501,23.0,0.3659,28.0,0.3817,37.0,0.4056,56.0,0.3595,53.0,0.3613,24.0,0.3502,16.0,0.3392,13.0
2025-09-05,0.3693,57.0,0.3095,42.0,0.4062,43.0,0.3807,34.0,0.3552,26.0,0.4049,56.0,0.3597,53.0,0.3798,38.0,0.3738,32.0,0.3679,28.0
2025-09-04,0.3692,57.0,0.2896,35.0,0.3539,25.0,0.4645,60.0,0.5751,79.0,0.4053,56.0,0.3597,53.0,0.3573,21.0,0.3665,27.0,0.3757,35.0
2025-08-26,0.4876,75.0,0.3393,51.0,0.4673,61.0,0.4113,46.0,0.3553,26.0,0.398,54.0,0.3591,53.0,0.3446,15.0,0.345,14.0,0.3453,15.0
2025-08-25,0.4776,74.0,0.3538,55.0,0.444,54.0,0.4293,51.0,0.4146,47.0,0.4006,55.0,0.3597,53.0,0.3421,14.0,0.3488,15.0,0.3556,19.0
2025-08-22,0.5272,78.0,0.3396,51.0,0.3661,28.0,0.4092,45.0,0.4524,57.0,0.4015,55.0,0.3596,53.0,0.322,9.0,0.3461,14.0,0.3702,30.0
2025-08-21,0.2901,39.0,0.2503,21.0,0.4078,44.0,0.3938,40.0,0.3797,36.0,0.3882,51.0,0.357,53.0,0.3612,24.0,0.3556,19.0,0.3501,17.0
2025-08-20,0.4262,68.0,0.3186,45.0,0.3898,38.0,0.4184,48.0,0.447,56.0,0.3876,51.0,0.3573,53.0,0.3418,14.0,0.3427,13.0,0.3436,14.0
2025-08-19,0.4116,65.0,0.3128,43.0,0.3865,37.0,0.3718,31.0,0.3571,27.0,0.3875,51.0,0.3581,53.0,0.3447,15.0,0.3608,22.0,0.3769,35.0
2025-08-18,0.4899,75.0,0.3349,50.0,0.375,33.0,0.3683,28.0,0.3616,28.0,0.3875,51.0,0.3602,53.0,0.3753,35.0,0.379,37.0,0.3826,39.0
