date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-29,1.8367,,1.4779,,1.72,,1.7704,,1.8207,,1.1605,,1.0224,,1.7476,,1.6248,,1.5021,
2025-09-24,2.3515,,1.5598,,1.7002,,1.7034,,1.7067,,1.1997,,1.0242,,1.7029,,1.6854,,1.6679,
2025-09-23,1.9058,,1.5836,,1.7533,,1.7922,,1.831,,1.1681,,1.0263,,2.0242,,1.9566,,1.889,
2025-09-22,1.4541,,1.4763,,1.814,,1.8306,,1.8471,,1.1578,,1.0257,,1.6706,,1.6058,,1.5411,
2025-09-19,1.1326,,1.3135,,1.5837,,1.626,,1.6682,,1.1184,,1.0063,,1.6675,,1.707,,1.7464,
2025-09-18,1.3023,,1.2631,,1.6807,,1.9616,,2.2425,,1.1349,,1.005,,1.6361,,1.5832,,1.5304,
2025-09-16,1.4224,,1.2376,,1.9661,,1.8334,,1.7008,,1.1245,,1.0116,,1.751,,1.7473,,1.7436,
2025-09-15,1.4119,,1.2028,,2.0297,,1.9063,,1.7829,,1.134,,1.0108,,1.7825,,1.756,,1.7294,
2025-09-12,1.3337,,1.0713,,1.589,,1.4392,,1.2894,,1.1352,,1.0092,,1.5283,,1.5521,,1.5759,
2025-09-10,1.323,,1.0363,,1.53,,1.4488,,1.3676,,1.1919,,1.0325,,1.4592,,1.4724,,1.4857,
2025-09-09,1.2767,,1.1689,,1.443,,1.5042,,1.5654,,1.1903,,1.0326,,1.5047,,1.5238,,1.5429,
2025-09-08,1.3173,,1.1996,,1.5429,,1.5684,,1.5939,,1.1903,,1.0363,,1.4306,,1.3769,,1.3232,
2025-09-05,0.7005,,1.3837,,1.5343,,1.4031,,1.2719,,1.185,,1.039,,1.5226,,1.608,,1.6934,
2025-09-04,2.0131,,1.7221,,1.4342,,1.3156,,1.1969,,1.1922,,1.0394,,1.5702,,1.3836,,1.1969,
