date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-08,0.1341,49.0,0.0991,41.0,0.1284,15.0,0.1599,33.0,0.1914,61.0,0.2382,85.0,0.2115,87.0,0.1494,43.0,0.1818,50.0,0.2141,61.0
2025-09-05,0.1349,50.0,0.1139,57.0,0.1471,38.0,0.1537,21.0,0.1603,12.0,0.2385,85.0,0.2144,91.0,0.1658,72.0,0.1826,52.0,0.1995,17.0
2025-09-04,0.0929,15.0,0.0992,41.0,0.1253,12.0,0.1596,33.0,0.1938,64.0,0.2398,85.0,0.2145,91.0,0.1443,31.0,0.1756,33.0,0.207,41.0
2025-08-26,0.1312,48.0,0.0892,25.0,0.1611,55.0,0.164,40.0,0.1669,18.0,0.2461,87.0,0.2167,95.0,0.1588,61.0,0.1786,41.0,0.1984,15.0
2025-08-25,0.1542,68.0,0.0843,18.0,0.1362,23.0,0.1482,10.0,0.1602,12.0,0.246,87.0,0.2166,95.0,0.1493,43.0,0.1792,42.0,0.2092,48.0
2025-08-22,0.15,63.0,0.0859,20.0,0.1418,32.0,0.1492,11.0,0.1567,8.0,0.246,87.0,0.2167,95.0,0.1504,45.0,0.1755,33.0,0.2006,20.0
2025-08-21,0.1127,28.0,0.0697,5.0,0.1596,54.0,0.1663,45.0,0.173,26.0,0.2445,86.0,0.2166,95.0,0.157,57.0,0.184,56.0,0.211,54.0
2025-08-20,0.1241,42.0,0.0732,6.0,0.1359,23.0,0.1563,25.0,0.1767,35.0,0.2445,86.0,0.2167,95.0,0.149,42.0,0.1805,47.0,0.212,57.0
2025-08-19,0.1218,40.0,0.0705,5.0,0.1617,56.0,0.1602,34.0,0.1588,11.0,0.2449,86.0,0.2169,95.0,0.1605,65.0,0.1836,55.0,0.2067,41.0
2025-08-18,0.1268,44.0,0.0711,5.0,0.1376,26.0,0.1558,25.0,0.1739,28.0,0.2454,87.0,0.2174,98.0,0.1581,60.0,0.1847,59.0,0.2113,55.0
2025-08-15,0.148,62.0,0.079,12.0,0.1461,37.0,0.1595,32.0,0.1729,26.0,0.2453,87.0,0.2174,98.0,0.1541,52.0,0.1843,57.0,0.2145,62.0
2025-08-13,0.1308,,0.0766,,0.1572,,0.1581,,0.159,,0.245,,0.2175,,0.1562,,0.1804,,0.2047,
2025-08-12,0.1479,,0.0784,,0.1401,,0.1564,,0.1726,,0.245,,0.2191,,0.147,,0.1788,,0.2105,
2025-08-08,0.179,,0.2988,,0.1535,,0.1681,,0.1827,,0.2448,,0.2208,,0.1525,,0.1846,,0.2167,
2025-08-07,0.1674,,0.3015,,0.167,,0.1794,,0.1919,,0.2449,,0.221,,0.1606,,0.1904,,0.2202,
2025-08-05,0.1537,,0.338,,0.1803,,0.1849,,0.1895,,0.2445,,0.221,,0.1613,,0.1911,,0.2209,
2025-08-04,0.1648,,0.3358,,0.1688,,0.1744,,0.1799,,0.2444,,0.2209,,0.1629,,0.1889,,0.2149,
2025-08-01,0.1398,,0.3345,,0.2327,,0.2174,,0.2021,,0.2443,,0.2208,,0.1758,,0.201,,0.2263,
2025-07-31,0.094,,0.2178,,0.1595,,0.1692,,0.1789,,0.2438,,0.2152,,0.1564,,0.1857,,0.215,
2025-07-30,0.1114,,0.1827,,0.1675,,0.175,,0.1826,,0.2442,,0.2135,,0.1691,,0.1893,,0.2095,
2025-07-29,0.1068,,0.1819,,0.1639,,0.1701,,0.1763,,0.2465,,0.2148,,0.1598,,0.1874,,0.215,
2025-07-28,0.1028,,0.1378,,0.166,,0.169,,0.1721,,0.2465,,0.2125,,0.1637,,0.1874,,0.2111,
2025-07-25,0.1085,,0.1204,,0.1369,,0.1607,,0.1844,,0.2462,,0.2116,,0.144,,0.1812,,0.2184,
2025-07-24,0.1065,,0.134,,0.1631,,0.1662,,0.1694,,0.2465,,0.212,,0.159,,0.1839,,0.2088,
2025-07-22,0.1827,,0.1384,,0.1503,,0.1643,,0.1783,,0.2466,,0.2116,,0.1474,,0.1839,,0.2203,
2025-07-21,0.1851,,0.1337,,0.144,,0.1572,,0.1705,,0.2462,,0.2118,,0.16,,0.1878,,0.2156,
2025-07-18,0.1907,,0.1287,,0.1636,,0.1695,,0.1754,,0.2463,,0.2116,,0.1586,,0.1892,,0.2198,
2025-07-17,0.1907,,0.1132,,0.1339,,0.1721,,0.2103,,0.2464,,0.2111,,0.1456,,0.1859,,0.2261,
2025-07-16,0.1666,,0.1023,,0.1721,,0.177,,0.1818,,0.2457,,0.2109,,0.1598,,0.1866,,0.2133,
2025-07-15,0.1559,,0.0861,,0.1891,,0.1835,,0.1779,,0.2471,,0.2103,,0.1848,,0.1976,,0.2104,
2025-07-14,0.1514,,0.0767,,0.1872,,0.1926,,0.1981,,0.2466,,0.2101,,0.165,,0.1921,,0.2192,
2025-07-11,0.1492,,0.0728,,0.1916,,0.1868,,0.1819,,0.2467,,0.2102,,0.1783,,0.1942,,0.21,
2025-07-09,0.1346,,0.0849,,0.1717,,0.1806,,0.1895,,0.2488,,0.2113,,0.1686,,0.1926,,0.2167,
2025-07-08,0.148,,0.0826,,0.188,,0.1897,,0.1914,,0.2492,,0.2122,,0.1729,,0.1956,,0.2182,
2025-07-07,0.1336,,0.091,,0.1966,,0.1992,,0.2017,,0.2489,,0.2124,,0.1714,,0.1954,,0.2194,
2025-07-03,0.0977,,0.1016,,0.1533,,0.181,,0.2088,,0.2485,,0.2125,,0.1473,,0.185,,0.2228,
2025-07-02,0.0904,,0.0989,,0.1571,,0.1787,,0.2003,,0.2477,,0.2124,,0.1585,,0.1881,,0.2177,
2025-07-01,0.0867,,0.1137,,0.1425,,0.1715,,0.2005,,0.2477,,0.2124,,0.1574,,0.1889,,0.2204,
2025-06-30,0.087,,0.109,,0.1578,,0.175,,0.1922,,0.2478,,0.2124,,0.16,,0.1889,,0.2178,
2025-06-27,0.0906,,0.1157,,0.1795,,0.18,,0.1806,,0.2478,,0.2125,,0.1721,,0.1945,,0.2169,
2025-06-26,0.1127,,0.1139,,0.1453,,0.1713,,0.1973,,0.2479,,0.2124,,0.1613,,0.1904,,0.2194,
2025-06-25,0.1131,,0.1176,,0.1566,,0.1732,,0.1898,,0.2478,,0.2124,,0.1626,,0.192,,0.2214,
2025-06-24,0.1859,,0.1245,,0.1578,,0.1758,,0.1937,,0.248,,0.2125,,0.1637,,0.1935,,0.2233,
2025-06-23,0.1709,,0.1086,,0.165,,0.1608,,0.1565,,0.2481,,0.2159,,0.1621,,0.2012,,0.2404,
2025-06-20,0.1585,,0.0972,,0.2075,,0.2056,,0.2037,,0.2477,,0.2157,,0.1847,,0.2068,,0.229,
2025-06-18,0.1568,,0.097,,0.1902,,0.2047,,0.2193,,0.2519,,0.2176,,0.1788,,0.2055,,0.2322,
2025-06-17,0.1513,,0.0943,,0.1792,,0.2015,,0.2238,,0.2522,,0.2174,,0.175,,0.207,,0.2389,
2025-06-16,0.1821,,0.0931,,0.185,,0.1934,,0.2017,,0.252,,0.2174,,0.1762,,0.2024,,0.2287,
2025-06-13,0.1642,,0.0856,,0.2444,,0.2243,,0.2042,,0.2515,,0.2172,,0.1936,,0.2122,,0.2307,
2025-06-12,0.1129,,0.075,,0.1515,,0.1715,,0.1915,,0.25,,0.2171,,0.1626,,0.1953,,0.228,
2025-06-11,0.1171,,0.1123,,0.1739,,0.1794,,0.1848,,0.25,,0.2171,,0.1707,,0.1938,,0.2169,
2025-06-10,0.1186,,0.1148,,0.1669,,0.1745,,0.1822,,0.25,,0.2169,,0.167,,0.1928,,0.2185,
2025-06-09,0.1143,,0.1173,,0.156,,0.1881,,0.2202,,0.2508,,0.2173,,0.157,,0.1925,,0.228,
2025-06-06,0.0974,,0.1111,,0.1583,,0.1796,,0.2009,,0.2505,,0.2172,,0.162,,0.1932,,0.2244,
2025-06-05,0.0885,,0.1145,,0.1773,,0.1979,,0.2185,,0.2498,,0.2172,,0.175,,0.2011,,0.2272,
2025-06-04,0.1441,,0.1275,,0.1682,,0.1861,,0.2041,,0.2497,,0.2172,,0.175,,0.2006,,0.2262,
2025-06-03,0.1398,,0.1352,,0.1711,,0.1877,,0.2043,,0.2497,,0.2177,,0.1586,,0.1965,,0.2344,
2025-06-02,0.1431,,0.1067,,0.1671,,0.1728,,0.1786,,0.2502,,0.2169,,0.1756,,0.2038,,0.232,
2025-05-30,0.205,,0.1177,,0.1721,,0.1772,,0.1822,,0.2502,,0.2167,,0.1721,,0.2028,,0.2335,
2025-05-29,0.2051,,0.116,,0.1623,,0.1858,,0.2093,,0.2502,,0.2166,,0.1644,,0.2014,,0.2384,
2025-05-28,0.196,,0.1209,,0.1772,,0.185,,0.1928,,0.25,,0.2167,,0.1744,,0.2056,,0.2368,
2025-05-27,0.2008,,0.122,,0.1726,,0.1796,,0.1867,,0.2499,,0.2166,,0.1693,,0.2061,,0.2429,
2025-05-23,0.1597,,0.1105,,0.1835,,0.2043,,0.2251,,0.2489,,0.2163,,0.1851,,0.2176,,0.2502,
2025-05-22,0.1599,,0.1013,,0.1919,,0.1952,,0.1985,,0.2498,,0.2163,,0.1802,,0.2126,,0.245,
2025-05-21,0.1654,,0.1001,,0.1968,,0.2046,,0.2123,,0.2497,,0.2162,,0.1858,,0.214,,0.2421,
2025-05-20,0.1543,,0.0752,,0.1689,,0.1778,,0.1867,,0.2479,,0.2157,,0.1724,,0.2022,,0.232,
2025-05-19,0.1413,,0.0751,,0.1567,,0.1766,,0.1966,,0.2479,,0.2158,,0.1676,,0.201,,0.2345,
