date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-21,0.595,68.0,0.4198,30.0,0.5472,17.0,0.5152,12.0,0.4833,10.0,0.459,21.0,0.4062,8.0,0.5849,24.0,0.5959,25.0,0.6069,30.0
2025-10-20,0.571,65.0,0.4201,30.0,0.4913,10.0,0.4838,8.0,0.4762,9.0,0.4603,21.0,0.4069,8.0,0.5883,25.0,0.5914,24.0,0.5945,26.0
2025-10-15,0.3507,27.0,0.3758,20.0,0.5176,13.0,0.5578,18.0,0.5981,27.0,0.4454,20.0,0.4043,7.0,0.5814,23.0,0.5904,24.0,0.5993,27.0
2025-10-14,0.2627,8.0,0.3407,12.0,0.7187,41.0,0.6246,27.0,0.5305,16.0,0.4421,19.0,0.4029,6.0,0.5787,23.0,0.5834,23.0,0.5881,25.0
2025-10-13,0.1933,2.0,0.3579,16.0,0.6629,32.0,0.6158,26.0,0.5688,22.0,0.4403,18.0,0.403,6.0,0.5832,24.0,0.5891,24.0,0.5949,26.0
2025-10-10,0.2069,3.0,0.3563,15.0,0.5904,24.0,0.5307,14.0,0.4709,8.0,0.4403,18.0,0.4033,7.0,0.5766,23.0,0.5873,23.0,0.5979,27.0
2025-10-09,0.2514,7.0,0.3432,12.0,0.5901,24.0,0.4887,9.0,0.3873,1.0,0.4408,18.0,0.4034,7.0,0.5735,22.0,0.5816,23.0,0.5897,25.0
2025-10-08,0.2515,7.0,0.3516,14.0,0.6897,36.0,0.6144,26.0,0.5391,18.0,0.448,21.0,0.4083,9.0,0.5814,23.0,0.5844,23.0,0.5875,24.0
2025-10-07,0.3433,26.0,0.3506,14.0,0.5126,12.0,0.5089,11.0,0.5052,13.0,0.4513,21.0,0.4076,8.0,0.5799,23.0,0.5884,24.0,0.597,27.0
2025-10-06,0.3647,30.0,0.3528,14.0,0.6075,26.0,0.5832,22.0,0.5588,21.0,0.4818,26.0,0.4324,16.0,0.579,23.0,0.5881,24.0,0.5972,27.0
2025-10-02,0.4357,44.0,0.3624,17.0,0.5338,15.0,0.5108,12.0,0.4877,10.0,0.4813,26.0,0.4435,20.0,0.5761,23.0,0.5818,23.0,0.5876,24.0
2025-10-01,0.4367,44.0,0.3602,16.0,0.4162,2.0,0.4528,5.0,0.4893,11.0,0.4867,30.0,0.4467,20.0,0.5753,23.0,0.582,23.0,0.5888,25.0
2025-09-30,0.4123,40.0,0.374,19.0,0.5041,11.0,0.5107,12.0,0.5173,14.0,0.4919,30.0,0.4469,20.0,0.5749,22.0,0.5845,23.0,0.5941,26.0
2025-09-29,0.4998,57.0,0.3993,25.0,0.5985,25.0,0.5638,19.0,0.5291,16.0,0.4931,31.0,0.4484,20.0,0.5735,22.0,0.5821,23.0,0.5908,25.0
2025-09-24,0.4166,41.0,0.3803,21.0,0.5618,19.0,0.5549,18.0,0.548,19.0,0.499,32.0,0.4522,23.0,0.5692,22.0,0.5787,22.0,0.5882,25.0
2025-09-23,0.4108,40.0,0.3571,16.0,0.5111,12.0,0.489,9.0,0.467,8.0,0.4982,32.0,0.4511,22.0,0.5816,23.0,0.5875,24.0,0.5934,26.0
2025-09-22,0.4195,41.0,0.382,21.0,0.5163,13.0,0.4774,8.0,0.4386,5.0,0.499,32.0,0.4524,23.0,0.5885,25.0,0.5917,24.0,0.5949,26.0
2025-09-19,0.9426,94.0,0.505,50.0,0.5387,16.0,0.4984,10.0,0.4581,7.0,0.4994,32.0,0.4522,23.0,0.5864,24.0,0.5894,24.0,0.5923,26.0
2025-09-18,0.8987,93.0,0.4893,45.0,0.4616,6.0,0.4032,1.0,0.3448,1.0,0.4982,32.0,0.451,22.0,0.5847,24.0,0.5927,24.0,0.6007,27.0
2025-09-16,0.8704,91.0,0.4818,44.0,0.7545,46.0,0.5976,24.0,0.4406,5.0,0.4958,32.0,0.451,22.0,0.5783,23.0,0.5865,23.0,0.5947,26.0
2025-09-15,0.812,88.0,0.4834,44.0,0.5662,20.0,0.5217,13.0,0.4772,9.0,0.4937,31.0,0.4496,21.0,0.5804,23.0,0.5947,25.0,0.609,31.0
