date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-04,0.7121,80.0,0.4015,67.0,0.5717,57.0,0.5622,50.0,0.5527,45.0,0.6953,89.0,0.4328,83.0,0.5526,50.0,0.5783,43.0,0.604,26.0
2025-08-01,0.3798,22.0,0.3737,56.0,0.515,37.0,0.5321,38.0,0.5492,44.0,0.689,88.0,0.4315,82.0,0.5489,49.0,0.5653,35.0,0.5817,19.0
2025-07-31,0.4116,27.0,0.3637,51.0,0.5141,36.0,0.5153,32.0,0.5165,32.0,0.6891,88.0,0.4332,83.0,0.5874,57.0,0.5614,33.0,0.5354,9.0
2025-07-30,0.4581,37.0,0.3914,63.0,0.533,44.0,0.5366,41.0,0.5401,40.0,0.6879,88.0,0.4339,84.0,0.5372,47.0,0.559,32.0,0.5808,19.0
2025-07-29,0.3723,20.0,0.3168,32.0,0.5189,38.0,0.529,37.0,0.539,40.0,0.6861,88.0,0.432,83.0,0.5631,52.0,0.5693,37.0,0.5755,18.0
2025-07-28,0.4118,27.0,0.3264,35.0,0.5099,34.0,0.5081,28.0,0.5063,28.0,0.6858,87.0,0.433,83.0,0.5499,50.0,0.5416,24.0,0.5334,9.0
2025-07-25,0.4146,28.0,0.3269,36.0,0.5191,38.0,0.5128,31.0,0.5066,28.0,0.6859,87.0,0.4326,83.0,0.5705,53.0,0.5837,45.0,0.5969,24.0
2025-07-24,0.2374,4.0,0.3175,32.0,0.5317,43.0,0.5183,33.0,0.5049,27.0,0.6908,88.0,0.4337,83.0,0.5649,52.0,0.5917,49.0,0.6185,34.0
2025-07-22,0.1789,2.0,0.3158,32.0,0.5478,49.0,0.5464,44.0,0.5449,42.0,0.6912,88.0,0.4337,83.0,0.5869,57.0,0.564,34.0,0.5411,10.0
2025-07-21,0.2017,3.0,0.2899,22.0,0.5623,54.0,0.5592,49.0,0.5562,46.0,0.6913,89.0,0.4345,84.0,0.5801,55.0,0.6612,72.0,0.7424,90.0
2025-07-18,0.2602,6.0,0.3091,28.0,0.5616,54.0,0.5434,43.0,0.5251,35.0,0.6901,88.0,0.4345,84.0,0.5897,57.0,0.5905,48.0,0.5913,22.0
2025-07-17,0.2805,7.0,0.2824,18.0,0.5614,54.0,0.5542,46.0,0.547,43.0,0.6898,88.0,0.4345,84.0,0.5842,56.0,0.63,65.0,0.6758,70.0
2025-07-16,0.5717,57.0,0.3165,32.0,0.5838,62.0,0.5878,61.0,0.5919,60.0,0.6967,89.0,0.4391,86.0,0.5978,60.0,0.5512,27.0,0.5047,4.0
2025-07-15,0.6099,64.0,0.3695,54.0,0.5695,57.0,0.5713,55.0,0.5731,53.0,0.6967,89.0,0.44,87.0,0.5913,57.0,0.563,34.0,0.5346,9.0
2025-07-14,0.6236,67.0,0.3669,52.0,0.5946,66.0,0.6037,67.0,0.6128,68.0,0.6967,89.0,0.4402,87.0,0.5888,57.0,0.5671,36.0,0.5453,11.0
2025-07-11,0.6525,72.0,0.3603,49.0,0.4994,28.0,0.5118,31.0,0.5242,35.0,0.6979,89.0,0.4415,87.0,0.6004,60.0,0.5621,33.0,0.5238,7.0
2025-07-09,0.5846,60.0,0.344,43.0,0.5629,54.0,0.5813,59.0,0.5997,63.0,0.6933,89.0,0.4423,87.0,0.5962,59.0,0.5808,44.0,0.5655,16.0
2025-07-08,0.7632,85.0,0.3312,37.0,0.568,56.0,0.589,62.0,0.6101,67.0,0.6876,88.0,0.4412,87.0,0.5989,60.0,0.61,57.0,0.6211,36.0
2025-07-07,0.7731,85.0,0.3364,40.0,0.5404,46.0,0.5527,46.0,0.565,50.0,0.6894,88.0,0.4414,87.0,0.6178,64.0,0.6118,57.0,0.6058,27.0
2025-07-03,0.7591,84.0,0.3035,27.0,0.5113,35.0,0.5317,38.0,0.5522,45.0,0.6908,88.0,0.4401,87.0,0.5972,59.0,0.6156,59.0,0.634,46.0
2025-07-02,0.7707,85.0,0.3008,26.0,0.4878,24.0,0.5199,33.0,0.552,45.0,0.6915,89.0,0.44,87.0,0.5999,60.0,0.6264,64.0,0.653,57.0
2025-07-01,0.7388,83.0,0.3057,28.0,0.561,53.0,0.5658,52.0,0.5706,52.0,0.6895,88.0,0.4401,87.0,0.6359,68.0,0.626,63.0,0.6162,33.0
