date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-26,0.3409,74.0,0.335,75.0,0.4973,84.0,0.5144,87.0,0.5314,89.0,0.5734,95.0,0.444,94.0,0.4973,94.0,0.4918,94.0,0.4864,92.0
2025-08-25,0.378,79.0,0.3201,72.0,0.4624,79.0,0.6704,97.0,0.8783,99.0,0.5744,95.0,0.4438,94.0,0.4624,91.0,0.4788,93.0,0.4951,93.0
2025-08-22,0.3082,67.0,0.2723,56.0,0.4807,81.0,0.4797,82.0,0.4787,82.0,0.5733,95.0,0.4423,94.0,0.4807,93.0,0.4884,93.0,0.4961,93.0
2025-08-21,0.3768,79.0,0.2995,66.0,0.5558,89.0,0.4973,85.0,0.4388,75.0,0.5717,94.0,0.4431,94.0,0.4989,94.0,0.4786,93.0,0.4582,88.0
2025-08-20,0.3959,81.0,0.3217,72.0,0.4862,82.0,0.582,92.0,0.6777,96.0,0.5709,94.0,0.4428,94.0,0.4862,93.0,0.4878,93.0,0.4895,93.0
2025-08-19,0.402,82.0,0.3449,77.0,,,,,0.6177,94.0,0.574,95.0,0.4443,94.0,,,,,0.4511,87.0
2025-08-18,0.3535,76.0,0.3133,70.0,0.5334,87.0,0.4714,81.0,0.4095,69.0,0.5735,95.0,0.4435,94.0,0.4724,92.0,0.4608,90.0,0.4492,87.0
2025-08-15,0.3646,77.0,0.3311,74.0,0.5139,85.0,0.509,86.0,0.5042,86.0,0.5735,95.0,0.4441,94.0,0.4863,94.0,0.4829,93.0,0.4795,92.0
2025-08-13,0.3891,81.0,0.3572,80.0,0.4645,80.0,0.6748,97.0,0.885,99.0,0.5783,95.0,0.4466,94.0,0.4645,92.0,0.4878,94.0,0.5111,95.0
2025-08-12,0.3208,70.0,0.3628,81.0,0.4861,83.0,0.499,86.0,0.512,87.0,0.5761,95.0,0.4471,94.0,0.4861,94.0,0.4974,95.0,0.5087,95.0
2025-08-08,0.2561,55.0,0.3298,74.0,0.4896,83.0,0.5116,87.0,0.5336,89.0,0.5778,95.0,0.4472,94.0,0.5101,95.0,0.4948,94.0,0.4796,93.0
2025-08-07,0.3656,78.0,0.3837,84.0,0.8359,99.0,0.7244,98.0,0.6128,94.0,0.5814,96.0,0.4503,94.0,0.5229,96.0,0.5146,96.0,0.5062,95.0
2025-08-05,0.4018,82.0,0.4702,93.0,0.4943,84.0,0.9884,100.0,1.4826,100.0,0.5834,96.0,0.4523,94.0,0.4943,94.0,0.4682,92.0,0.4422,87.0
2025-08-04,1.3848,100.0,0.6446,98.0,0.5559,90.0,0.5498,91.0,0.5438,90.0,0.583,96.0,0.4515,94.0,0.4701,93.0,0.4985,95.0,0.5269,96.0
2025-08-01,1.4489,100.0,0.6462,98.0,0.7756,99.0,0.9029,100.0,1.0302,100.0,0.5819,96.0,0.4498,94.0,0.4526,90.0,0.4722,93.0,0.4919,94.0
2025-07-31,1.4533,100.0,0.6534,99.0,0.7614,98.0,0.6629,97.0,0.5644,92.0,0.5836,96.0,0.45,94.0,0.4507,90.0,0.4737,93.0,0.4967,94.0
2025-07-30,1.4527,100.0,0.6519,98.0,1.1462,100.0,0.7983,99.0,0.4504,78.0,0.5842,96.0,0.4499,94.0,0.5488,98.0,0.5196,96.0,0.4904,93.0
2025-07-29,1.3962,100.0,0.6205,98.0,0.3995,67.0,0.3945,65.0,0.3894,64.0,0.5811,96.0,0.4486,94.0,0.5213,96.0,0.5001,95.0,0.4789,92.0
2025-07-28,1.3599,100.0,0.5879,97.0,0.4561,78.0,0.4285,73.0,0.4009,67.0,0.5794,95.0,0.4465,94.0,0.4561,91.0,0.4883,94.0,0.5205,96.0
2025-07-25,1.3244,100.0,0.5495,96.0,0.433,74.0,0.4848,84.0,0.5367,90.0,0.5795,95.0,0.4437,94.0,0.4848,94.0,0.494,94.0,0.5031,95.0
2025-07-24,0.409,83.0,0.335,76.0,0.6567,96.0,0.6381,96.0,0.6195,94.0,0.493,90.0,0.4317,94.0,0.5353,97.0,0.5129,96.0,0.4905,94.0
2025-07-22,0.232,48.0,0.2997,67.0,0.9374,100.0,0.7165,98.0,0.4956,85.0,0.4891,90.0,0.4308,94.0,0.4846,94.0,0.4901,94.0,0.4956,94.0
2025-07-21,0.2789,61.0,0.2954,66.0,0.9756,100.0,0.7304,99.0,0.4852,84.0,0.4921,90.0,0.4319,94.0,0.5017,95.0,0.5092,95.0,0.5167,96.0
2025-07-18,0.3001,66.0,0.3051,69.0,0.9596,100.0,0.7342,99.0,0.5088,87.0,0.4921,90.0,0.4319,94.0,0.5096,95.0,0.5092,95.0,0.5088,95.0
2025-07-17,0.3254,71.0,0.3178,72.0,0.8836,99.0,0.7592,99.0,0.6347,95.0,0.4922,90.0,0.4327,94.0,0.4624,92.0,0.4838,94.0,0.5053,95.0
2025-07-16,0.3032,67.0,0.2995,67.0,0.8525,99.0,0.695,98.0,0.5374,90.0,0.4931,90.0,0.4326,94.0,0.5168,96.0,0.5271,97.0,0.5374,97.0
2025-07-15,0.3095,68.0,0.2776,59.0,0.8749,99.0,0.6948,98.0,0.5146,87.0,0.4964,91.0,0.4322,94.0,0.5436,98.0,0.5291,97.0,0.5146,95.0
2025-07-14,0.2891,64.0,0.2665,55.0,0.7694,98.0,0.6691,97.0,0.5688,92.0,0.496,91.0,0.4318,94.0,0.4911,94.0,0.5299,97.0,0.5688,98.0
2025-07-11,0.2897,64.0,0.2734,57.0,0.8007,99.0,,,,,0.4972,91.0,0.4329,94.0,0.4622,92.0,,,,
2025-07-09,0.2948,65.0,0.3034,68.0,0.733,98.0,0.7856,99.0,0.8383,99.0,0.5034,91.0,0.4345,94.0,0.4417,88.0,0.4798,94.0,0.518,96.0
2025-07-08,0.2733,60.0,0.4192,88.0,0.7411,98.0,0.6596,97.0,0.5781,92.0,0.5031,91.0,0.4363,94.0,0.4864,94.0,0.5322,97.0,0.5781,98.0
2025-07-07,0.2768,61.0,0.4232,88.0,0.7741,99.0,0.7084,98.0,0.6427,95.0,0.5032,91.0,0.4365,94.0,0.4381,88.0,0.4748,93.0,0.5115,95.0
2025-07-03,0.3321,73.0,0.4281,89.0,0.8806,99.0,0.7186,98.0,0.5566,91.0,0.5025,91.0,0.4371,94.0,0.4958,94.0,0.5262,97.0,0.5566,98.0
2025-07-02,0.3326,73.0,0.4389,90.0,0.6807,97.0,0.6038,94.0,0.5268,89.0,0.5027,91.0,0.4377,94.0,0.4647,92.0,0.4958,94.0,0.5268,96.0
2025-07-01,0.7217,96.0,0.5925,97.0,0.6645,96.0,0.5626,92.0,0.4608,80.0,0.5037,91.0,0.437,94.0,0.4256,86.0,0.4856,94.0,0.5456,97.0
2025-06-30,0.7241,96.0,0.5824,97.0,0.8601,99.0,0.7246,98.0,0.5892,93.0,0.5024,91.0,0.4369,94.0,0.532,97.0,0.5606,98.0,0.5892,99.0
2025-06-27,0.7022,96.0,0.5887,97.0,0.8429,99.0,0.7908,99.0,0.7386,98.0,0.5032,91.0,0.4396,94.0,0.4971,95.0,0.5377,97.0,0.5783,98.0
2025-06-26,0.7296,96.0,0.5849,97.0,0.8583,99.0,0.6881,98.0,0.5179,88.0,0.5036,91.0,0.4405,94.0,0.4613,91.0,0.5487,98.0,0.6361,99.0
2025-06-25,0.7199,96.0,0.5103,94.0,0.721,98.0,0.7836,99.0,0.8461,99.0,0.5134,92.0,0.4442,94.0,0.4413,88.0,0.4256,86.0,0.4099,81.0
2025-06-24,0.6993,95.0,0.5153,95.0,0.5814,92.0,0.5784,93.0,0.5754,92.0,0.5121,92.0,0.4459,94.0,0.3721,68.0,0.4503,89.0,0.5285,96.0
2025-06-23,0.71,96.0,0.5087,94.0,0.7037,97.0,0.7488,99.0,0.7938,99.0,0.6049,97.0,0.4624,95.0,0.4621,92.0,0.5259,97.0,0.5897,99.0
2025-06-20,0.2794,61.0,0.3002,67.0,1.014,100.0,0.7616,99.0,0.5092,87.0,0.5837,96.0,0.4519,94.0,0.4602,91.0,0.4847,94.0,0.5092,95.0
2025-06-18,0.2851,63.0,0.301,68.0,0.5403,88.0,0.6872,98.0,0.8342,99.0,0.5846,96.0,0.453,94.0,0.4228,85.0,0.4816,94.0,0.5403,97.0
2025-06-17,0.4758,88.0,0.3841,84.0,0.4078,69.0,0.606,94.0,0.8041,99.0,0.5835,96.0,0.4522,94.0,0.4078,82.0,0.606,99.0,0.8041,100.0
2025-06-16,0.4622,87.0,0.4151,88.0,0.547,89.0,0.5204,88.0,0.4938,85.0,0.5831,96.0,0.4527,94.0,0.441,88.0,0.4674,92.0,0.4938,94.0
2025-06-13,0.4858,88.0,0.4334,89.0,0.5426,88.0,0.7316,99.0,0.9207,100.0,0.5819,96.0,0.4524,94.0,0.4623,92.0,0.53,97.0,0.5977,99.0
2025-06-12,0.4611,87.0,0.4145,88.0,0.4729,81.0,0.6826,98.0,0.8923,99.0,0.5822,96.0,0.4538,94.0,0.4262,86.0,0.4704,93.0,0.5147,95.0
