date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-07,0.2115,,0.2995,,0.4696,,0.5545,,0.6394,,0.3718,,0.3926,,0.473,,0.4876,,0.5021,
2025-11-06,0.202,,0.3028,,0.7033,,0.6304,,0.5576,,0.3706,,0.3934,,0.478,,0.481,,0.484,
2025-11-05,0.2066,,0.2861,,0.9349,,0.7668,,0.5986,,0.3696,,0.3943,,0.4316,,0.4645,,0.4974,
2025-11-04,0.1796,,0.2886,,0.8999,,0.7513,,0.6027,,0.3726,,0.3959,,0.4488,,0.4673,,0.4858,
2025-11-03,0.1804,,0.2851,,0.898,,0.757,,0.6161,,0.3786,,0.3993,,0.4714,,0.482,,0.4925,
2025-10-31,0.2116,,0.2621,,0.7864,,0.6888,,0.5911,,0.3796,,0.399,,0.477,,0.4736,,0.4702,
2025-10-30,0.2117,,0.2455,,0.8198,,0.7088,,0.5977,,0.3814,,0.3996,,0.4555,,0.4754,,0.4952,
2025-10-29,0.2195,,0.233,,0.8424,,0.7051,,0.5679,,0.3819,,0.3993,,0.4843,,0.4999,,0.5155,
2025-10-28,0.226,,0.2069,,0.6787,,0.619,,0.5592,,0.382,,0.399,,0.4772,,0.4616,,0.4459,
2025-10-27,0.1779,,0.202,,0.7558,,0.6654,,0.575,,0.3814,,0.4001,,0.4566,,0.4818,,0.507,
2025-10-24,0.1907,,0.1938,,0.649,,0.5722,,0.4954,,0.3832,,0.4002,,0.4861,,0.4897,,0.4933,
2025-10-23,0.1984,,0.2416,,0.5786,,0.5768,,0.575,,0.3854,,0.4011,,0.4789,,0.4909,,0.5029,
2025-10-22,0.1802,,0.3192,,0.629,,0.6158,,0.6025,,0.385,,0.4033,,0.4856,,0.4976,,0.5097,
2025-10-21,0.1802,,0.3253,,0.6212,,0.5966,,0.5721,,0.3857,,0.4045,,0.5376,,0.4999,,0.4622,
2025-10-20,0.1726,,0.3313,,0.3752,,0.4803,,0.5854,,0.3868,,0.4052,,0.4988,,0.5059,,0.513,
2025-10-15,0.1329,,0.3527,,0.6639,,0.624,,0.584,,0.3984,,0.4187,,0.5016,,0.5125,,0.5234,
2025-10-14,0.235,,0.356,,0.5466,,0.5853,,0.6239,,0.4003,,0.4181,,0.4828,,0.4802,,0.4777,
2025-10-13,0.2357,,0.2924,,0.8964,,0.7467,,0.597,,0.4082,,0.4206,,0.5361,,0.526,,0.5159,
2025-10-10,0.2665,,0.3075,,0.7173,,0.6484,,0.5795,,0.4083,,0.4212,,0.511,,0.5025,,0.494,
2025-10-09,0.2557,,0.2978,,0.6402,,0.6354,,0.6306,,0.4099,,0.4219,,0.5237,,0.5184,,0.513,
2025-10-08,0.3599,,0.327,,0.6379,,0.6844,,0.7309,,0.4096,,0.4226,,0.5289,,0.5198,,0.5108,
2025-10-07,0.3601,,0.3148,,0.6567,,0.6538,,0.6508,,0.4176,,0.4254,,0.4986,,0.504,,0.5095,
2025-10-06,0.3466,,0.313,,0.5968,,0.5951,,0.5934,,0.4287,,0.4361,,0.4884,,0.4921,,0.4958,
2025-10-02,0.3312,,0.2744,,0.5619,,0.603,,0.644,,0.4301,,0.4478,,0.4809,,0.4884,,0.4959,
2025-10-01,0.3426,,0.2702,,0.5698,,0.5926,,0.6154,,0.4438,,0.4618,,0.4707,,0.4866,,0.5025,
2025-09-30,0.3576,,0.2796,,0.7351,,0.6224,,0.5097,,0.4582,,0.4659,,0.5218,,0.5072,,0.4926,
2025-09-29,0.3185,,0.2536,,0.6845,,0.6191,,0.5537,,0.4558,,0.4653,,0.4863,,0.4825,,0.4787,
2025-09-24,0.2703,,0.3253,,0.6735,,0.5749,,0.4763,,0.46,,0.4744,,0.5601,,0.5274,,0.4947,
2025-09-23,0.3548,,0.3327,,0.489,,0.6101,,0.7312,,0.4614,,0.4747,,0.5163,,0.5176,,0.5188,
2025-09-22,0.3396,,0.3854,,0.6464,,0.6891,,0.7319,,0.4609,,0.4781,,0.5524,,0.5306,,0.5087,
2025-09-19,0.4229,,0.3919,,0.5427,,0.5827,,0.6227,,0.4601,,0.4807,,0.557,,0.5404,,0.5237,
2025-09-18,0.4104,,0.4402,,0.5058,,0.5884,,0.6711,,0.4674,,0.4848,,0.4639,,0.4767,,0.4895,
2025-09-16,0.3892,,0.4292,,0.4838,,0.6244,,0.7651,,0.4663,,0.485,,0.559,,0.5182,,0.4773,
2025-09-15,0.3953,,0.4247,,1.3345,,0.8813,,0.4281,,0.4721,,0.4895,,0.5606,,0.5324,,0.5043,
2025-09-12,0.353,,0.4085,,0.5019,,0.4888,,0.4756,,0.4714,,0.4916,,0.4837,,0.5023,,0.5209,
2025-09-10,0.352,,0.3432,,0.496,,0.549,,0.6021,,0.4689,,0.4895,,0.4701,,0.4925,,0.5148,
2025-09-09,0.3315,,0.262,,0.4557,,0.6166,,0.7775,,0.4724,,0.4881,,0.5095,,0.5048,,0.5,
2025-09-08,0.339,,0.2603,,0.6594,,0.6704,,0.6815,,0.4737,,0.489,,0.5477,,0.5298,,0.512,
2025-09-05,0.4702,,0.3364,,0.5246,,0.576,,0.6275,,0.4735,,0.4964,,0.531,,0.5284,,0.5258,
2025-09-04,0.4864,,0.3524,,0.5494,,0.532,,0.5147,,0.4743,,0.4965,,0.5592,,0.5333,,0.5074,
2025-08-26,0.4471,,0.5551,,0.4916,,0.5321,,0.5726,,0.4646,,0.5043,,0.4973,,0.4995,,0.5017,
2025-08-25,0.4205,,0.5458,,0.5624,,0.5836,,0.6049,,0.4633,,0.504,,0.51,,0.4894,,0.4687,
2025-08-22,0.2709,,0.5593,,0.5121,,0.5505,,0.5889,,0.4579,,0.5037,,0.4847,,0.481,,0.4774,
2025-08-21,0.421,,0.6242,,0.4745,,0.5921,,0.7097,,0.4575,,0.5038,,0.493,,0.496,,0.4991,
2025-08-20,0.4741,,0.6743,,0.5629,,0.5882,,0.6135,,0.4581,,0.5041,,0.5012,,0.4918,,0.4823,
2025-08-19,0.4386,,0.659,,0.5031,,0.5223,,0.5415,,0.4662,,0.512,,0.4795,,0.4862,,0.493,
2025-08-18,0.437,,0.5947,,0.5299,,0.5281,,0.5263,,0.4665,,0.5069,,0.4944,,0.5244,,0.5543,
2025-08-15,0.3981,,0.5598,,0.4762,,0.513,,0.5498,,0.4794,,0.5078,,0.5008,,0.501,,0.5011,
2025-08-13,0.4062,,0.5296,,0.528,,0.5276,,0.5273,,0.4857,,0.5079,,0.528,,0.5319,,0.5358,
