date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-30,0.1061,,0.1445,,0.1915,,,,,,0.281,,0.2018,,0.1915,,,,,
2025-07-29,0.1205,,0.1467,,,,,,,,0.2814,,0.2018,,,,,,,
2025-07-28,0.1205,,0.1486,,,,,,,,0.2814,,0.202,,,,,,,
2025-07-25,0.1283,,0.1502,,,,,,,,0.2816,,0.2021,,,,,,,
2025-07-24,0.1281,,0.1495,,,,,,,,0.2825,,0.2022,,,,,,,
2025-07-22,0.1547,,0.1102,,,,,,0.4033,,0.2822,,0.2004,,,,,,0.4033,
2025-07-21,0.1584,,0.1052,,,,,,0.4249,,0.282,,0.2003,,,,,,0.4249,
2025-07-18,0.1539,,0.0992,,,,,,0.3872,,0.2825,,0.2001,,,,,,0.3872,
2025-07-17,0.1593,,0.0958,,,,,,0.3954,,0.283,,0.2001,,,,,,0.3954,
2025-07-16,0.1492,,0.091,,,,,,0.4106,,0.2827,,0.2001,,,,,,0.4106,
2025-07-15,0.1486,,0.1004,,0.1569,,,,,,0.2831,,0.2005,,0.1569,,,,,
2025-07-14,0.1301,,0.0793,,,,,,0.4025,,0.2826,,0.2,,,,,,0.4025,
2025-07-11,0.1193,,0.0793,,,,,,0.3852,,0.2824,,0.2003,,,,,,0.3852,
2025-07-09,0.0982,,0.0868,,,,,,0.3755,,0.283,,0.2005,,,,,,0.3755,
2025-07-08,0.0991,,0.0795,,,,,,0.3952,,0.2832,,0.201,,,,,,0.3952,
2025-07-07,0.1263,,0.0907,,,,,,0.3884,,0.2835,,0.2013,,,,,,0.3884,
2025-07-03,0.1501,,0.0909,,,,,,0.3785,,0.2838,,0.2019,,,,,,0.3785,
2025-07-02,0.13,,0.0931,,,,,,0.3708,,0.283,,0.2019,,,,,,0.3708,
2025-07-01,0.1356,,0.1081,,0.1487,,,,,,0.2829,,0.2021,,0.1487,,,,,
2025-06-30,0.1249,,0.1012,,0.2128,,,,,,0.2827,,0.2022,,0.2128,,,,,
2025-06-27,0.1358,,0.1055,,0.1876,,,,,,0.2832,,0.2026,,0.1876,,,,,
2025-06-26,0.148,,0.1016,,0.176,,,,,,0.2831,,0.2025,,0.176,,,,,
2025-06-25,0.159,,0.1017,,0.1669,,,,,,0.2833,,0.2026,,0.1669,,,,,
2025-06-24,0.1664,,0.0966,,0.14,,,,,,0.2828,,0.2024,,0.14,,,,,
2025-06-23,0.1568,,0.0954,,0.1994,,,,,,0.2827,,0.2034,,0.1994,,,,,
2025-06-20,0.1399,,0.0876,,0.2157,,,,,,0.2827,,0.2035,,0.2157,,,,,
2025-06-18,0.1485,,0.0833,,,,,,0.4347,,0.2847,,0.207,,,,,,0.4347,
2025-06-17,0.1255,,0.0796,,,,,,0.4186,,0.2856,,0.2073,,,,,,0.4186,
2025-06-16,0.161,,0.0793,,,,,,0.417,,0.2856,,0.2074,,,,,,0.417,
2025-06-13,0.1474,,0.0902,,,,,,0.4514,,0.285,,0.2075,,,,,,0.4514,
2025-06-12,0.1183,,0.0823,,,,,,0.3992,,0.2844,,0.2074,,,,,,0.3992,
2025-06-11,0.1434,,0.095,,,,,,0.3867,,0.2846,,0.2074,,,,,,0.3867,
2025-06-10,0.1388,,0.0947,,,,,,,,0.2848,,0.2073,,,,,,,
2025-06-09,0.1365,,0.0964,,0.171,,0.2671,,0.3632,,0.2849,,0.2076,,0.171,,0.2671,,0.3632,
2025-06-06,0.1382,,0.0988,,,,,,0.3775,,0.2849,,0.2078,,,,,,0.3775,
2025-06-05,0.1284,,0.1071,,,,,,0.3803,,0.2841,,0.208,,,,,,0.3803,
2025-06-04,0.171,,0.1073,,,,,,0.3618,,0.2841,,0.2077,,,,,,0.3618,
2025-06-03,0.1742,,0.117,,,,,,0.4171,,0.2842,,0.2079,,,,,,0.4171,
2025-06-02,0.1532,,0.1079,,,,,,0.4231,,0.2833,,0.2076,,,,,,0.4231,
2025-05-30,0.2188,,0.1203,,,,,,0.3323,,0.2835,,0.2073,,,,,,0.3323,
2025-05-29,0.2188,,0.12,,,,,,0.4078,,0.2835,,0.2074,,,,,,0.4078,
2025-05-28,0.2188,,0.1466,,,,,,0.3201,,0.2835,,0.2076,,,,,,0.3201,
2025-05-27,0.2242,,0.143,,,,,,0.3177,,0.2839,,0.2074,,,,,,0.3177,
2025-05-23,0.1685,,0.1378,,,,,,0.4294,,0.283,,0.2073,,,,,,0.4294,
2025-05-22,0.1667,,0.1307,,,,,,0.3076,,0.2843,,0.2075,,,,,,0.3076,
2025-05-21,0.1831,,0.1305,,,,,,0.3431,,0.2843,,0.2075,,,,,,0.3431,
2025-05-20,0.2196,,0.116,,,,,,,,0.2824,,0.2082,,,,,,,
2025-05-19,0.2192,,0.12,,,,,,,,0.2824,,0.2082,,,,,,,
2025-05-16,0.2221,,0.1007,,,,,,,,0.2828,,0.2073,,,,,,,
2025-05-15,0.2238,,0.0996,,,,,,,,0.2836,,0.2074,,,,,,,
2025-05-14,0.2369,,0.1065,,,,,,,,0.2842,,0.2074,,,,,,,
2025-05-13,0.2362,,0.1146,,,,,,,,0.2851,,0.2078,,,,,,,
2025-05-12,0.2624,,0.1209,,,,,,,,0.2852,,0.2078,,,,,,,
2025-05-09,0.1952,,0.1316,,,,,,0.3468,,0.2808,,0.2077,,,,,,0.3468,
