date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-30,0.2972,45.0,0.3831,67.0,0.5195,80.0,0.543,83.0,0.5665,84.0,0.466,83.0,0.5014,97.0,0.5195,94.0,0.543,97.0,0.5665,98.0
2025-06-27,0.3297,56.0,0.4024,73.0,0.5034,77.0,,,,,0.4705,84.0,0.5027,97.0,0.5034,92.0,,,,
2025-06-26,0.3416,59.0,0.3683,62.0,0.482,74.0,,,,,0.4694,84.0,0.5011,97.0,0.482,90.0,,,,
2025-06-25,0.4028,72.0,0.3835,67.0,0.5049,78.0,0.5266,81.0,0.5482,83.0,0.4697,84.0,0.5021,97.0,0.5049,92.0,0.5266,95.0,0.5482,97.0
2025-06-24,0.3735,67.0,0.3858,68.0,0.5525,84.0,,,,,0.469,84.0,0.5019,97.0,0.458,85.0,,,,
2025-06-23,0.3299,56.0,0.3538,57.0,0.4618,70.0,0.485,74.0,0.5081,77.0,0.4679,84.0,0.5014,97.0,0.4543,84.0,0.463,87.0,0.4716,85.0
2025-06-20,0.3322,56.0,0.2977,35.0,0.484,74.0,0.4668,70.0,0.4497,64.0,0.4678,84.0,0.5002,97.0,0.4906,91.0,0.4702,89.0,0.4497,80.0
2025-06-18,0.3109,50.0,0.2909,32.0,0.4355,63.0,0.5594,86.0,0.6833,92.0,0.4725,85.0,0.5041,97.0,0.5169,94.0,0.6001,99.0,0.6833,100.0
2025-06-17,0.3034,48.0,0.276,26.0,0.5295,82.0,,,,,0.4727,85.0,0.5036,97.0,0.4244,76.0,,,,
2025-06-16,0.2056,16.0,0.2663,22.0,0.4141,57.0,,,,,0.4724,85.0,0.5044,97.0,0.3681,52.0,,,,
2025-06-13,0.1873,11.0,0.2588,19.0,0.5058,78.0,0.5202,80.0,0.5346,81.0,0.4706,84.0,0.5041,97.0,0.4636,86.0,0.4991,93.0,0.5346,95.0
2025-06-12,0.1928,12.0,0.2337,10.0,0.4701,71.0,0.5044,78.0,0.5388,81.0,0.471,85.0,0.504,97.0,0.4166,73.0,0.4777,90.0,0.5388,96.0
2025-06-11,0.2043,16.0,0.2558,18.0,0.4536,68.0,0.4892,75.0,0.5248,80.0,0.4709,85.0,0.5044,97.0,0.4665,87.0,0.4956,93.0,0.5248,94.0
2025-06-10,0.2407,28.0,0.2751,26.0,0.4908,75.0,0.5093,78.0,0.5278,80.0,0.4708,84.0,0.5053,97.0,0.4597,85.0,0.4938,93.0,0.5278,95.0
2025-06-09,0.2401,27.0,0.2755,26.0,0.4907,75.0,0.5089,78.0,0.5271,80.0,0.4706,84.0,0.5057,97.0,0.4532,84.0,0.4902,93.0,0.5271,95.0
2025-06-06,0.2886,43.0,0.2815,28.0,0.4519,67.0,0.5808,88.0,0.7098,93.0,0.4702,84.0,0.506,97.0,0.4256,76.0,0.5677,99.0,0.7098,100.0
2025-06-05,0.2969,45.0,0.335,50.0,0.4958,76.0,0.6411,92.0,0.7864,95.0,0.4709,85.0,0.5063,97.0,0.4958,91.0,0.5785,99.0,0.6612,100.0
2025-06-04,0.5407,87.0,0.455,83.0,0.5597,85.0,0.5639,86.0,0.5682,85.0,0.471,85.0,0.5086,97.0,0.5597,97.0,0.5639,98.0,0.5682,98.0
2025-06-03,0.5403,87.0,0.4555,83.0,0.5641,85.0,0.6453,92.0,0.7265,93.0,0.4715,85.0,0.5096,98.0,0.5512,97.0,0.5117,94.0,0.4721,85.0
2025-06-02,0.5313,86.0,0.4498,82.0,0.5158,80.0,,,,,0.4711,85.0,0.5105,98.0,0.4719,88.0,,,,
2025-05-30,0.5539,88.0,0.4376,80.0,0.4964,76.0,0.5701,87.0,0.6438,90.0,0.4715,85.0,0.5099,98.0,0.4964,92.0,0.5701,99.0,0.6438,100.0
2025-05-29,0.556,88.0,0.4494,82.0,0.5469,83.0,0.5702,87.0,0.5934,87.0,0.4718,85.0,0.5098,98.0,0.4516,84.0,0.5042,94.0,0.5568,97.0
2025-05-28,0.6936,94.0,0.4755,85.0,0.5007,77.0,0.6053,90.0,0.7099,93.0,0.4743,85.0,0.5105,98.0,0.4733,88.0,0.5916,99.0,0.7099,100.0
2025-05-27,0.6895,94.0,0.4427,81.0,0.6527,92.0,0.6296,91.0,0.6065,88.0,0.4732,85.0,0.5093,98.0,0.5658,97.0,0.5861,99.0,0.6065,99.0
2025-05-23,0.4109,73.0,0.3553,57.0,0.7068,95.0,0.7275,96.0,0.7482,94.0,0.4628,81.0,0.5057,97.0,0.6747,99.0,0.7114,100.0,0.7482,100.0
2025-05-22,0.4168,74.0,0.3748,65.0,0.5533,85.0,,,,,0.463,82.0,0.5074,97.0,0.5533,97.0,,,,
