date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-05,0.1529,37.0,0.125,32.0,0.199,53.0,0.1952,48.0,0.1914,44.0,0.1724,22.0,0.1207,5.0,0.1239,14.0,0.1538,16.0,0.1838,22.0
2025-11-04,0.1186,17.0,0.123,30.0,0.1707,38.0,0.1836,42.0,0.1966,47.0,0.1717,21.0,0.1205,5.0,0.128,16.0,0.1577,19.0,0.1874,24.0
2025-11-03,0.1303,22.0,0.1199,27.0,0.1745,40.0,0.1781,38.0,0.1818,38.0,0.1732,23.0,0.1211,5.0,0.1047,9.0,0.1414,11.0,0.1782,18.0
2025-10-31,0.1304,22.0,0.1125,21.0,0.1617,33.0,0.1828,41.0,0.2039,51.0,0.1733,23.0,0.1209,5.0,0.1046,9.0,0.1399,10.0,0.1752,15.0
2025-10-30,0.1274,20.0,0.1123,21.0,0.1853,46.0,0.1757,37.0,0.1661,26.0,0.1735,24.0,0.1209,5.0,0.1129,10.0,0.1398,10.0,0.1667,10.0
2025-10-29,0.1376,26.0,0.0937,7.0,0.1785,42.0,0.1644,28.0,0.1504,16.0,0.1741,24.0,0.1202,5.0,0.1103,10.0,0.1359,9.0,0.1616,6.0
2025-10-28,0.1065,12.0,0.0758,2.0,0.1611,32.0,0.165,30.0,0.169,28.0,0.1723,22.0,0.1196,4.0,0.102,8.0,0.135,9.0,0.1681,11.0
2025-10-27,0.0929,7.0,0.0696,1.0,0.1588,31.0,0.17,33.0,0.1812,38.0,0.1721,22.0,0.1202,5.0,0.1064,9.0,0.1355,9.0,0.1645,8.0
2025-10-24,0.1491,34.0,0.0926,6.0,0.1572,30.0,0.169,33.0,0.1809,38.0,0.1729,23.0,0.121,5.0,0.1087,9.0,0.1376,10.0,0.1664,9.0
2025-10-23,0.151,35.0,0.1011,12.0,0.1712,39.0,0.166,31.0,0.1609,22.0,0.1733,23.0,0.1215,5.0,0.1131,10.0,0.1388,10.0,0.1646,8.0
2025-10-22,0.1841,53.0,0.141,50.0,0.1704,38.0,0.1669,31.0,0.1635,24.0,0.173,23.0,0.1214,5.0,0.1124,10.0,0.1404,10.0,0.1684,11.0
2025-10-21,0.1855,54.0,0.1415,51.0,0.1652,35.0,0.1642,28.0,0.1633,24.0,0.1732,23.0,0.1216,5.0,0.1102,10.0,0.1396,10.0,0.1689,11.0
2025-10-20,0.2352,75.0,0.1651,69.0,0.1601,32.0,0.1612,27.0,0.1622,23.0,0.1728,23.0,0.1221,5.0,0.112,10.0,0.1384,10.0,0.1649,8.0
2025-10-15,0.2262,73.0,0.1543,62.0,0.1473,24.0,0.1645,28.0,0.1818,38.0,0.1753,26.0,0.1239,5.0,0.104,9.0,0.1366,10.0,0.1692,11.0
2025-10-14,0.2062,65.0,0.1187,27.0,0.1356,18.0,0.1598,26.0,0.1839,40.0,0.1745,24.0,0.1216,5.0,0.0972,8.0,0.1337,9.0,0.1702,12.0
2025-10-13,0.153,37.0,0.1265,34.0,0.3157,89.0,0.2436,71.0,0.1715,31.0,0.1732,23.0,0.1221,5.0,0.1162,11.0,0.1436,11.0,0.1709,12.0
2025-10-10,0.1369,25.0,0.1185,26.0,0.1811,44.0,0.1658,30.0,0.1506,16.0,0.1727,23.0,0.1218,5.0,0.1175,11.0,0.136,9.0,0.1546,4.0
2025-10-09,0.0716,2.0,0.0831,4.0,0.1234,11.0,0.1342,8.0,0.1449,12.0,0.1708,19.0,0.121,5.0,0.0788,4.0,0.1174,2.0,0.156,4.0
2025-10-08,0.0701,2.0,0.0872,4.0,0.1361,18.0,0.1298,6.0,0.1235,5.0,0.1708,19.0,0.1228,5.0,0.0795,4.0,0.1165,1.0,0.1535,3.0
2025-10-07,0.0758,3.0,0.0996,11.0,0.1061,5.0,0.1137,2.0,0.1213,4.0,0.1758,26.0,0.1253,6.0,0.0789,4.0,0.1104,1.0,0.142,2.0
2025-10-06,0.0871,6.0,0.1005,12.0,0.1385,20.0,0.126,4.0,0.1135,2.0,0.1905,46.0,0.1425,27.0,0.1022,8.0,0.1078,1.0,0.1135,1.0
2025-10-02,0.1109,13.0,0.0875,4.0,0.1262,13.0,0.1336,8.0,0.1409,10.0,0.1942,50.0,0.159,57.0,0.0696,1.0,0.1099,1.0,0.1502,3.0
2025-10-01,0.1115,14.0,0.0919,6.0,0.1432,22.0,0.1357,9.0,0.1282,6.0,0.1997,55.0,0.1604,57.0,0.085,6.0,0.1187,2.0,0.1524,3.0
2025-09-30,0.1018,10.0,0.0877,5.0,0.1106,6.0,0.1119,1.0,0.1132,2.0,0.2112,70.0,0.1617,59.0,0.0756,3.0,0.1096,1.0,0.1435,3.0
2025-09-29,0.1195,17.0,0.0894,6.0,0.0953,3.0,0.109,1.0,0.1227,5.0,0.2114,70.0,0.1619,59.0,0.075,3.0,0.1102,1.0,0.1453,3.0
2025-09-24,0.1592,40.0,0.1198,27.0,0.1116,6.0,0.1444,15.0,0.1771,35.0,0.2109,69.0,0.1629,61.0,0.0691,1.0,0.1075,1.0,0.1459,3.0
2025-09-23,0.1584,39.0,0.1198,27.0,0.0761,1.0,0.1183,2.0,0.1605,22.0,0.2108,69.0,0.1629,61.0,0.0716,2.0,0.1148,1.0,0.1579,5.0
2025-09-22,0.1706,46.0,0.1241,31.0,0.111,6.0,0.1376,10.0,0.1641,25.0,0.2108,69.0,0.1631,62.0,0.0704,2.0,0.1188,3.0,0.1673,10.0
2025-09-19,0.1929,57.0,0.1233,30.0,0.1183,10.0,0.1616,28.0,0.2048,51.0,0.2106,69.0,0.1629,61.0,0.0716,2.0,0.1172,1.0,0.1628,7.0
2025-09-18,0.1803,52.0,0.1258,34.0,0.1377,19.0,0.18,40.0,0.2224,60.0,0.2116,70.0,0.1631,62.0,0.0659,1.0,0.1097,1.0,0.1536,4.0
2025-09-16,0.1474,32.0,0.0958,8.0,0.125,12.0,0.1463,17.0,0.1676,28.0,0.2109,69.0,0.1617,59.0,0.1291,17.0,0.1385,10.0,0.1479,3.0
2025-09-15,0.1494,34.0,0.1069,17.0,0.1061,5.0,0.1491,18.0,0.1921,44.0,0.2108,69.0,0.1619,59.0,0.0875,6.0,0.129,8.0,0.1705,12.0
2025-09-12,0.1856,54.0,0.1159,23.0,0.1108,6.0,0.1549,23.0,0.199,48.0,0.2108,69.0,0.162,59.0,0.0864,6.0,0.1245,5.0,0.1626,7.0
2025-09-10,0.1425,28.0,0.1065,17.0,0.1292,15.0,0.1479,18.0,0.1666,27.0,0.2109,69.0,0.1617,59.0,0.1102,10.0,0.1384,10.0,0.1667,10.0
2025-09-09,0.1203,17.0,0.1065,17.0,0.128,14.0,0.1677,32.0,0.2074,52.0,0.2102,69.0,0.1618,59.0,0.0641,1.0,0.1162,1.0,0.1684,11.0
2025-09-08,0.1243,19.0,0.1038,14.0,0.1176,9.0,0.146,16.0,0.1744,33.0,0.2105,69.0,0.162,59.0,0.0798,4.0,0.1256,6.0,0.1714,13.0
2025-09-05,0.1307,22.0,0.1037,14.0,0.1318,17.0,0.1412,13.0,0.1506,16.0,0.2107,69.0,0.1623,59.0,0.0759,3.0,0.1166,1.0,0.1573,4.0
2025-09-04,0.0948,7.0,0.0873,4.0,0.1228,11.0,0.156,24.0,0.1893,43.0,0.2107,69.0,0.1627,61.0,0.0826,5.0,0.1211,4.0,0.1596,5.0
2025-08-26,0.2442,77.0,0.1379,47.0,0.1229,11.0,0.1452,15.0,0.1675,28.0,0.2116,70.0,0.1639,64.0,0.0786,3.0,0.123,4.0,0.1675,10.0
2025-08-25,0.2582,80.0,0.1417,51.0,0.1154,8.0,0.1346,8.0,0.1537,18.0,0.2117,70.0,0.1638,63.0,0.0819,5.0,0.1216,4.0,0.1614,6.0
2025-08-22,0.2669,81.0,0.0889,5.0,0.0968,3.0,0.131,7.0,0.1651,25.0,0.2116,70.0,0.1618,59.0,0.0725,2.0,0.1175,2.0,0.1625,7.0
2025-08-21,0.1625,41.0,0.1018,13.0,0.1197,10.0,0.1496,19.0,0.1795,37.0,0.2051,65.0,0.1619,59.0,0.0725,2.0,0.1208,3.0,0.1692,11.0
2025-08-20,0.2284,73.0,0.1277,36.0,0.1088,6.0,0.1204,3.0,0.1321,7.0,0.2051,65.0,0.1618,59.0,0.0716,2.0,0.1202,3.0,0.1688,11.0
2025-08-19,0.2301,74.0,0.1216,28.0,0.1432,22.0,0.1586,25.0,0.174,33.0,0.2055,65.0,0.1626,60.0,0.0874,6.0,0.1247,5.0,0.162,7.0
2025-08-18,0.2302,74.0,0.1311,41.0,0.1552,28.0,0.1538,22.0,0.1525,17.0,0.2057,65.0,0.1631,62.0,0.1322,19.0,0.1632,23.0,0.1943,30.0
2025-08-15,0.2378,76.0,0.122,28.0,0.1118,7.0,0.1428,14.0,0.1739,33.0,0.2057,65.0,0.1626,60.0,0.0762,3.0,0.1184,2.0,0.1605,5.0
2025-08-13,0.1887,,0.1071,,0.1264,,,,,,0.2043,,0.1625,,0.1264,,,,,
2025-08-12,0.1627,,0.0945,,0.1507,,0.1461,,0.1414,,0.2027,,0.162,,0.0706,,0.1176,,0.1646,
2025-08-08,0.137,,0.0877,,0.126,,0.1476,,0.1693,,0.2015,,0.162,,0.0772,,0.1269,,0.1766,
2025-08-07,0.1426,,0.106,,0.1414,,0.1553,,0.1692,,0.2014,,0.1621,,0.0815,,0.1248,,0.1682,
2025-08-05,0.1379,,0.0964,,0.1296,,0.1528,,0.1761,,0.2021,,0.1622,,0.0818,,0.128,,0.1741,
2025-08-04,0.1352,,0.0971,,0.1231,,0.151,,0.179,,0.2024,,0.1623,,0.0873,,0.1313,,0.1753,
2025-08-01,0.1079,,0.0901,,0.1254,,0.1523,,0.1793,,0.202,,0.1621,,0.0782,,0.129,,0.1798,
2025-07-31,0.1214,,0.0895,,0.1266,,0.1471,,0.1675,,0.2021,,0.1627,,0.0702,,0.1209,,0.1715,
2025-07-30,0.1488,,0.0866,,,,,,,,0.2024,,0.1626,,,,,,,
2025-07-29,0.1236,,0.0884,,0.1486,,0.1538,,0.1589,,0.2017,,0.1628,,0.0742,,0.1186,,0.163,
2025-07-28,0.1296,,0.0957,,0.1164,,0.1398,,0.1633,,0.2018,,0.1631,,0.0718,,0.1192,,0.1666,
2025-07-25,0.1378,,0.1009,,0.1045,,0.1352,,0.1658,,0.2019,,0.1633,,0.0653,,0.117,,0.1688,
2025-07-24,0.1136,,0.1029,,0.1178,,0.1425,,0.1672,,0.2022,,0.1636,,0.0701,,0.1216,,0.1732,
2025-07-22,0.18,,0.1299,,0.1415,,0.1556,,0.1698,,0.2016,,0.1635,,0.092,,0.1306,,0.1692,
2025-07-21,0.1789,,0.1266,,0.1299,,0.1456,,0.1612,,0.2025,,0.1638,,0.1299,,0.1456,,0.1612,
2025-07-18,0.1872,,0.1264,,0.1173,,0.1432,,0.169,,0.2035,,0.1635,,0.0719,,0.1234,,0.175,
2025-07-17,0.1909,,0.1283,,0.117,,0.14,,0.1629,,0.2035,,0.1635,,0.0666,,0.1158,,0.1649,
2025-07-16,0.1873,,0.1292,,0.0737,,0.1194,,0.1652,,0.2033,,0.1633,,0.0607,,0.1138,,0.1669,
2025-07-15,0.167,,0.1146,,0.0793,,0.1402,,0.201,,0.2025,,0.1626,,0.0655,,0.116,,0.1666,
2025-07-14,0.1451,,0.1073,,0.0982,,0.1324,,0.1667,,0.203,,0.1626,,0.0682,,0.1178,,0.1675,
2025-07-11,0.1611,,0.1141,,0.1099,,0.1398,,0.1698,,0.2037,,0.1634,,0.0805,,0.1405,,0.2005,
2025-07-09,0.1924,,0.1661,,0.1029,,0.1348,,0.1666,,0.2058,,0.1639,,0.0663,,0.1188,,0.1714,
2025-07-08,0.1879,,0.1643,,0.1303,,0.1437,,0.1571,,0.2067,,0.1642,,0.075,,0.1202,,0.1655,
2025-07-07,0.2107,,0.1669,,0.1275,,0.1402,,0.1528,,0.2074,,0.1644,,0.0789,,0.1198,,0.1607,
2025-07-03,0.2337,,0.1613,,0.0924,,0.126,,0.1596,,0.2084,,0.1652,,0.0703,,0.118,,0.1657,
2025-07-02,0.224,,0.1657,,0.0923,,0.1298,,0.1674,,0.2076,,0.1654,,0.0814,,0.1296,,0.1777,
2025-07-01,0.2525,,0.1731,,0.1176,,0.142,,0.1663,,0.2068,,0.1649,,0.0836,,0.125,,0.1663,
2025-06-30,0.2287,,0.1274,,0.1192,,0.1469,,0.1746,,0.2041,,0.1626,,0.0767,,0.1278,,0.179,
2025-06-27,0.2228,,0.1262,,0.1146,,0.1366,,0.1587,,0.2048,,0.163,,0.0819,,0.1232,,0.1646,
2025-06-26,0.2253,,0.1159,,0.1185,,0.1394,,0.1604,,0.2044,,0.1628,,0.0645,,0.1178,,0.1712,
2025-06-25,0.2107,,0.1161,,0.0958,,0.1275,,0.1592,,0.2037,,0.1628,,0.0827,,0.124,,0.1653,
2025-06-24,0.2162,,0.1196,,0.0974,,0.1318,,0.1663,,0.2023,,0.1627,,0.0711,,0.1222,,0.1733,
2025-06-23,0.2023,,0.117,,0.1133,,0.1412,,0.169,,0.2016,,0.1633,,0.0609,,0.1178,,0.1746,
2025-06-20,0.1188,,0.0924,,0.1249,,0.1451,,0.1652,,0.1988,,0.1629,,0.073,,0.1249,,0.1768,
2025-06-18,0.1411,,0.0892,,0.0968,,0.1285,,0.1602,,0.2074,,0.1691,,0.1968,,0.2422,,0.2876,
2025-06-17,0.1657,,0.0934,,0.0963,,0.1352,,0.1741,,0.2083,,0.1693,,0.0885,,0.1298,,0.1711,
2025-06-16,0.1762,,0.0894,,0.1113,,0.1427,,0.1742,,0.2081,,0.1692,,0.0837,,0.129,,0.1742,
2025-06-13,0.175,,0.09,,0.1063,,0.1346,,0.1628,,0.2081,,0.1691,,0.0974,,0.1301,,0.1628,
2025-06-12,0.1318,,0.09,,0.1376,,0.1607,,0.1837,,0.2066,,0.1691,,0.0815,,0.1321,,0.1827,
2025-06-11,0.1372,,0.0972,,0.1017,,0.1295,,0.1573,,0.2066,,0.1689,,0.0733,,0.12,,0.1666,
2025-06-10,0.1388,,0.1003,,0.1064,,0.141,,0.1757,,0.2065,,0.1695,,0.0991,,0.1346,,0.17,
2025-06-09,0.141,,0.0947,,0.0861,,0.113,,0.1399,,0.2062,,0.1694,,0.0731,,0.119,,0.165,
2025-06-06,0.1304,,0.0965,,0.0882,,0.1259,,0.1636,,0.2054,,0.1695,,0.0767,,0.1222,,0.1677,
2025-06-05,0.1443,,0.1003,,0.1456,,0.1532,,0.1609,,0.2051,,0.1695,,0.08,,0.1232,,0.1665,
2025-06-04,0.2069,,0.1154,,0.0989,,0.1302,,0.1616,,0.2051,,0.1696,,0.0858,,0.1251,,0.1644,
2025-06-03,0.196,,0.1113,,0.1398,,0.1516,,0.1633,,0.205,,0.1696,,0.0714,,0.1182,,0.1651,
2025-06-02,0.1952,,0.1104,,0.1219,,0.1454,,0.1689,,0.2045,,0.1698,,0.0796,,0.1247,,0.1698,
2025-05-30,0.2516,,0.1264,,0.1268,,0.1548,,0.1829,,0.2044,,0.1696,,0.0797,,0.1278,,0.1758,
2025-05-29,0.2482,,0.1212,,0.1328,,0.1558,,0.1789,,0.2042,,0.1698,,0.092,,0.1358,,0.1797,
2025-05-28,0.2357,,0.1171,,0.093,,0.1271,,0.1613,,0.2042,,0.1698,,0.0826,,0.1238,,0.165,
2025-05-27,0.2331,,0.1181,,0.1136,,0.1456,,0.1776,,0.2045,,0.1703,,0.0671,,0.1176,,0.1681,
2025-05-23,0.1916,,0.1079,,0.1123,,0.1384,,0.1645,,0.2032,,0.17,,0.083,,0.1248,,0.1667,
2025-05-22,0.1976,,0.1099,,0.1169,,0.1369,,0.1569,,0.2044,,0.1702,,0.0842,,0.1232,,0.1622,
2025-05-21,0.1892,,0.0961,,0.1281,,0.1264,,0.1247,,0.2038,,0.1699,,0.0866,,0.1206,,0.1545,
2025-05-20,0.1887,,0.0865,,0.1269,,0.1465,,0.166,,0.2009,,0.1695,,0.0854,,0.1275,,0.1696,
2025-05-19,0.1878,,0.083,,0.1038,,,,,,0.2009,,0.1695,,0.1038,,,,,
2025-05-16,0.1989,,0.1001,,0.1202,,0.1247,,0.1292,,0.2009,,0.1698,,0.0799,,0.1261,,0.1723,
2025-05-15,0.2039,,0.1018,,0.1542,,0.1381,,0.122,,0.2005,,0.1699,,0.0854,,0.1271,,0.1688,
2025-05-14,0.2057,,0.0998,,0.1958,,0.1646,,0.1334,,0.2,,0.1702,,0.0859,,0.1276,,0.1692,
2025-05-13,0.1971,,0.1029,,0.1635,,0.143,,0.1226,,0.2003,,0.1707,,0.0789,,0.1205,,0.1621,
2025-05-12,0.213,,0.1091,,0.1009,,0.1271,,0.1533,,0.2023,,0.171,,0.0787,,0.1187,,0.1587,
2025-05-09,0.1517,,0.1175,,0.108,,0.1232,,0.1384,,0.1987,,0.1709,,0.091,,0.1266,,0.1621,
2025-05-08,0.1755,,0.121,,0.1098,,0.1246,,0.1394,,0.2007,,0.1711,,0.0871,,0.1247,,0.1623,
2025-05-07,0.1418,,0.1282,,0.1161,,0.1259,,0.1357,,0.2236,,0.1728,,0.0958,,0.1271,,0.1584,
2025-05-06,0.1362,,0.1229,,0.1142,,0.13,,0.1459,,0.2247,,0.1731,,0.0944,,0.1295,,0.1646,
2025-05-05,0.141,,0.1266,,0.1546,,0.1457,,0.1368,,0.2247,,0.1731,,0.0976,,0.1276,,0.1576,
2025-05-02,0.1415,,0.13,,0.1265,,0.1372,,0.148,,0.2247,,0.1729,,0.0825,,0.1227,,0.1629,
2024-03-18,0.1296,,0.1228,,0.1366,,,,0.1917,,0.2112,,0.1476,,0.1409,,,,0.1827,
2024-03-15,0.1429,,0.1182,,0.1251,,,,0.2151,,0.2109,,0.1473,,0.1328,,,,0.1885,
2024-03-13,0.0752,,0.1075,,0.1285,,,,0.2083,,0.2097,,0.1466,,0.1285,,,,0.1886,
2024-03-12,0.0754,,0.1015,,0.1481,,,,0.1473,,0.2115,,0.1465,,0.125,,,,0.1806,
2024-03-11,0.061,,0.1056,,0.1454,,,,0.1855,,0.2112,,0.1465,,0.1253,,,,0.1855,
