date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-29,0.1599,,0.098,,,,,,0.2093,,0.3575,,0.2315,,,,,,0.2093,
2025-07-28,0.1598,,0.0968,,0.2064,,,,,,0.3575,,0.2315,,0.2064,,,,,
2025-07-25,0.1869,,0.1015,,0.1912,,,,,,0.3575,,0.2319,,0.1912,,,,,
2025-07-24,0.1954,,0.1065,,0.1831,,,,,,0.3589,,0.2321,,0.1831,,,,,
2025-07-22,0.133,,0.1152,,0.1903,,0.2048,,0.2194,,0.3573,,0.232,,0.1903,,0.2048,,0.2194,
2025-07-21,0.1576,,0.1122,,0.2096,,,,,,0.3573,,0.2319,,0.2096,,,,,
2025-07-18,0.1578,,0.1146,,0.2109,,,,,,0.3588,,0.232,,0.2109,,,,,
2025-07-17,0.1587,,0.1198,,0.2054,,0.2102,,0.2151,,0.3592,,0.2319,,0.2054,,0.2102,,0.2151,
2025-07-16,0.1617,,0.1236,,0.2152,,0.2186,,0.2221,,0.3587,,0.2318,,0.2152,,0.2186,,0.2221,
2025-07-15,0.1853,,0.1298,,0.2225,,,,,,0.359,,0.2317,,0.2225,,,,,
2025-07-14,0.18,,0.1155,,0.1987,,0.2131,,0.2275,,0.3588,,0.2313,,0.1987,,0.2131,,0.2275,
2025-07-11,0.2242,,0.1223,,0.2093,,0.2163,,0.2233,,0.3588,,0.2314,,0.2093,,0.2163,,0.2233,
2025-07-09,0.2042,,0.1343,,0.1972,,0.2117,,0.2262,,0.3593,,0.2317,,0.1972,,0.2117,,0.2262,
2025-07-08,0.1403,,0.1197,,,,,,,,0.3582,,0.2319,,,,,,,
2025-07-07,0.1931,,0.1255,,0.2623,,,,,,0.3591,,0.232,,0.2623,,,,,
2025-07-03,0.1873,,0.1194,,0.2523,,,,,,0.3589,,0.2319,,0.2523,,,,,
2025-07-02,0.1792,,0.1323,,0.1979,,0.2152,,0.2324,,0.3585,,0.2322,,0.1979,,0.2152,,0.2324,
2025-07-01,0.1454,,0.1316,,0.2113,,0.2198,,0.2283,,0.3573,,0.232,,0.2113,,0.2198,,0.2283,
2025-06-30,0.172,,0.1245,,0.2045,,0.2164,,0.2283,,0.358,,0.2317,,0.2045,,0.2164,,0.2283,
2025-06-27,0.1729,,0.1299,,0.2095,,0.2204,,0.2314,,0.3579,,0.2319,,0.2095,,0.2204,,0.2314,
2025-06-26,0.2082,,0.131,,0.2145,,0.2192,,0.2239,,0.3579,,0.232,,0.2145,,0.2192,,0.2239,
2025-06-25,0.2155,,0.135,,0.2177,,0.2234,,0.229,,0.3578,,0.2321,,0.2177,,0.2234,,0.229,
2025-06-24,0.2619,,0.1443,,0.215,,0.2232,,0.2313,,0.3577,,0.2321,,0.215,,0.2232,,0.2313,
2025-06-23,0.2044,,0.127,,0.2279,,0.2324,,0.2368,,0.3563,,0.2324,,0.2279,,0.2373,,0.2467,
2025-06-20,0.1816,,0.1241,,0.2211,,0.2374,,0.2538,,0.356,,0.2327,,0.2328,,0.2433,,0.2538,
2025-06-18,0.1998,,0.1184,,0.2244,,0.2344,,0.2444,,0.3591,,0.2352,,0.2244,,0.2344,,0.2444,
2025-06-17,0.2142,,0.1187,,0.2302,,0.2358,,0.2414,,0.3591,,0.235,,0.2302,,0.2358,,0.2414,
2025-06-16,0.1977,,0.1168,,0.226,,0.2339,,0.2418,,0.3587,,0.235,,0.226,,0.2339,,0.2418,
2025-06-13,0.1793,,0.1194,,0.2217,,0.2378,,0.254,,0.3581,,0.2349,,0.2425,,0.2482,,0.254,
2025-06-12,0.1307,,0.1105,,0.2159,,0.2293,,0.2427,,0.357,,0.2347,,0.2296,,0.2362,,0.2427,
2025-06-11,0.1496,,0.1271,,0.2078,,0.224,,0.2401,,0.3573,,0.2347,,0.226,,0.233,,0.2401,
2025-06-10,0.1332,,0.1242,,0.2198,,0.2321,,0.2444,,0.3574,,0.2346,,0.2198,,0.2321,,0.2444,
2025-06-09,0.145,,0.1262,,0.2135,,0.228,,0.2426,,0.3571,,0.2347,,0.2333,,0.238,,0.2426,
2025-06-06,0.1517,,0.1185,,0.217,,0.2346,,0.2522,,0.3571,,0.2345,,0.217,,0.2346,,0.2522,
2025-06-05,0.1525,,0.1203,,0.2344,,0.2395,,0.2446,,0.3569,,0.2345,,0.2344,,0.2395,,0.2446,
2025-06-04,0.1935,,0.1261,,0.2166,,0.2344,,0.2522,,0.3569,,0.2342,,0.2166,,0.2344,,0.2522,
2025-06-03,0.2218,,0.1323,,0.1929,,0.2254,,0.2579,,0.3565,,0.2342,,0.2196,,0.2388,,0.2579,
2025-06-02,0.1981,,0.1156,,0.2397,,0.2718,,0.304,,0.356,,0.2339,,0.2397,,0.2718,,0.304,
2025-05-30,0.2092,,0.1366,,0.2388,,0.2455,,0.2522,,0.356,,0.2338,,0.2388,,0.2455,,0.2522,
2025-05-29,0.2097,,0.1368,,0.2252,,0.2408,,0.2563,,0.356,,0.2338,,0.2326,,0.2444,,0.2563,
2025-05-28,0.2112,,0.1473,,0.2232,,0.2388,,0.2543,,0.3561,,0.2341,,0.2352,,0.2448,,0.2543,
2025-05-27,0.215,,0.1473,,0.215,,0.2334,,0.2518,,0.3569,,0.2342,,0.2301,,0.241,,0.2518,
