date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-01,0.0912,,0.0517,,0.0883,,0.087,,0.0857,,0.216,,0.1731,,0.0284,,0.099,,0.1697,
2025-06-30,0.0922,,0.0577,,0.0813,,0.0869,,0.0925,,0.2165,,0.1734,,0.0523,,0.1172,,0.1822,
2025-06-27,0.0924,,0.0601,,0.0594,,0.0915,,0.1236,,0.217,,0.1737,,0.0278,,0.1164,,0.205,
2025-06-26,0.1038,,0.0623,,0.0842,,0.0842,,0.0843,,0.2169,,0.1738,,0.0293,,0.1024,,0.1756,
2025-06-25,0.1114,,0.0628,,0.0825,,0.081,,0.0795,,0.2173,,0.1739,,0.0304,,0.1126,,0.1949,
2025-06-24,0.1054,,0.0677,,,,,,0.133,,0.2171,,0.1742,,,,,,0.2117,
2025-06-23,0.0961,,0.0682,,,,,,0.1516,,0.2173,,0.1753,,,,,,0.21,
2025-06-20,0.0839,,0.0603,,0.0724,,0.1076,,0.1428,,0.2171,,0.1753,,0.047,,0.12,,0.193,
2025-06-18,0.0891,,0.0559,,0.0617,,0.108,,0.1544,,0.2203,,0.177,,0.0341,,0.116,,0.1979,
2025-06-17,0.0892,,0.0527,,0.0722,,0.1266,,0.181,,0.2204,,0.177,,0.0722,,0.1401,,0.208,
2025-06-16,0.088,,0.0497,,0.0516,,0.0962,,0.1408,,0.2202,,0.1769,,0.0516,,0.1266,,0.2016,
2025-06-13,0.0856,,0.0584,,0.0461,,0.1165,,0.1869,,0.2199,,0.1769,,0.0461,,0.1306,,0.2151,
2025-06-12,0.063,,0.0522,,0.0716,,0.0842,,0.0969,,0.2197,,0.1768,,0.0716,,0.1466,,0.2215,
2025-06-11,0.0653,,0.0542,,0.0816,,0.1075,,0.1334,,0.2198,,0.1768,,0.0816,,0.1371,,0.1926,
2025-06-10,0.0615,,0.0598,,0.0675,,0.0774,,0.0873,,0.2198,,0.1768,,0.0602,,0.1263,,0.1924,
2025-06-09,0.0623,,0.0639,,0.0965,,0.0868,,0.0771,,0.2198,,0.1768,,0.0574,,0.1377,,0.2181,
2025-06-06,0.0619,,0.0671,,0.0552,,0.0874,,0.1196,,0.2198,,0.1768,,0.0396,,0.1326,,0.2255,
2025-06-05,0.0497,,0.0678,,0.1193,,0.118,,0.1168,,0.2195,,0.1768,,0.0569,,0.1378,,0.2188,
2025-06-04,0.0804,,0.0644,,0.0867,,0.0894,,0.0922,,0.2195,,0.1766,,0.0458,,0.1262,,0.2066,
2025-06-03,0.0913,,0.0741,,0.0976,,0.0986,,0.0996,,0.2195,,0.1766,,0.0516,,0.1291,,0.2067,
2025-06-02,0.0906,,0.0735,,0.1174,,0.1141,,0.1108,,0.2208,,0.1765,,0.0354,,0.1436,,0.2519,
2025-05-30,0.1555,,0.0762,,0.1077,,0.1087,,0.1097,,0.2208,,0.1764,,0.0328,,0.1278,,0.2228,
2025-05-29,0.1551,,0.0727,,0.1061,,0.1115,,0.1169,,0.2208,,0.1763,,0.068,,0.1497,,0.2314,
2025-05-28,0.1538,,0.0756,,0.1186,,0.1107,,0.1028,,0.2208,,0.1762,,0.0414,,0.1344,,0.2273,
2025-05-27,0.1568,,0.0748,,0.1086,,0.1065,,0.1044,,0.2208,,0.1762,,0.034,,0.1367,,0.2395,
2025-05-23,0.1276,,0.0686,,0.1639,,0.14,,0.116,,0.22,,0.176,,0.0368,,0.1246,,0.2125,
2025-05-22,0.1277,,0.0653,,0.125,,0.1174,,0.1099,,0.22,,0.176,,0.0524,,0.1351,,0.2178,
2025-05-21,0.1334,,0.0651,,0.1164,,0.1288,,0.1411,,0.22,,0.1761,,0.0484,,0.1436,,0.2387,
2025-05-20,0.1287,,0.0575,,,,,,0.1663,,0.2182,,0.1759,,,,,,0.2297,
2025-05-19,0.1268,,0.0569,,,,,,0.1536,,0.2182,,0.1758,,,,,,0.2431,
2025-05-16,0.1233,,0.0639,,,,,,0.1566,,0.2185,,0.1759,,,,,,0.2305,
2025-05-15,0.1236,,0.0715,,0.0536,,0.0962,,0.1389,,0.2184,,0.1759,,0.0262,,0.1182,,0.2103,
2025-05-14,0.141,,0.0739,,0.0676,,0.1246,,0.1817,,0.2184,,0.1758,,0.0334,,0.1347,,0.236,
2025-05-13,0.1479,,0.0764,,0.0572,,0.1062,,0.1553,,0.2184,,0.1758,,0.0392,,0.1252,,0.2111,
2025-05-12,0.1556,,0.078,,0.0691,,0.0888,,0.1085,,0.2183,,0.1758,,0.0442,,0.1458,,0.2474,
2025-05-09,0.0944,,0.0796,,0.1135,,0.1235,,0.1335,,0.2159,,0.1757,,0.0538,,0.1451,,0.2364,
2025-05-08,0.0937,,0.1168,,0.132,,0.1468,,0.1617,,0.216,,0.1756,,0.1041,,0.1771,,0.2502,
2025-05-07,0.0951,,0.1178,,0.132,,0.1267,,0.1214,,0.2172,,0.1755,,0.0973,,0.1896,,0.2819,
2025-05-06,0.0958,,0.1226,,0.1573,,0.145,,0.1327,,0.2176,,0.1754,,0.057,,0.1584,,0.2598,
2025-05-05,0.0827,,0.1274,,0.1402,,0.1249,,0.1096,,0.2174,,0.1754,,0.1148,,0.1926,,0.2703,
2025-05-02,0.1035,,0.1444,,0.1021,,0.1222,,0.1423,,0.2174,,0.1753,,0.0399,,0.1604,,0.2809,
