date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-29,34.0309,,0.0415,,,,,,0.1931,,0.0,,0.0,,,,,,0.2016,
2025-09-24,39.4786,,0.0573,,,,,,0.1805,,0.0,,0.0,,,,,,0.2434,
2025-09-23,31.9983,,0.058,,0.0888,,0.1206,,0.1525,,0.0,,0.0,,0.0608,,0.1419,,0.223,
2025-09-22,40.4926,,0.0607,,0.0688,,0.1249,,0.181,,0.0,,0.0,,0.0578,,0.1502,,0.2425,
2025-09-19,40.8925,,0.0748,,,,,,0.1758,,0.0,,0.0,,,,,,0.2342,
2025-09-18,37.0299,,0.0715,,,,,,0.1806,,0.0,,0.0,,,,,,0.2354,
2025-09-16,36.9486,,0.0593,,0.0778,,0.1415,,0.2052,,0.0,,0.0,,0.0524,,0.143,,0.2337,
2025-09-15,37.22,,0.0476,,0.0667,,0.0894,,0.1121,,0.0,,0.0,,0.0789,,0.1577,,0.2365,
2025-09-12,28.8082,,0.043,,0.0747,,0.1273,,0.1799,,0.0,,0.0,,0.0747,,0.1646,,0.2544,
2025-09-10,0.1445,,0.137,,0.0586,,0.1558,,0.2529,,0.0,,0.0,,0.0929,,0.201,,0.3092,
