date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-06,0.1285,,0.1392,,0.169,,0.1898,,0.2106,,0.2489,,0.2252,,0.1968,,0.2404,,0.2839,
2025-10-02,0.1577,,0.1377,,0.1637,,0.1694,,0.1751,,0.2522,,0.2331,,0.1926,,0.2412,,0.2898,
2025-10-01,0.1615,,0.1258,,0.287,,0.2782,,0.2695,,0.2539,,0.2346,,0.246,,0.2826,,0.3192,
2025-09-30,0.1155,,0.1043,,0.2241,,0.2149,,0.2057,,0.2541,,0.2366,,0.2109,,0.2537,,0.2966,
2025-09-29,0.1116,,0.0975,,0.1861,,0.2056,,0.225,,0.2542,,0.2375,,0.2065,,0.2506,,0.2948,
2025-09-24,0.1029,,0.0655,,0.188,,0.1744,,0.1608,,0.2542,,0.2431,,0.2042,,0.2474,,0.2905,
2025-09-23,0.1034,,0.0674,,0.1999,,0.1971,,0.1943,,0.2542,,0.2431,,0.2051,,0.2466,,0.2882,
2025-09-22,0.1204,,0.069,,0.2108,,0.1918,,0.1728,,0.0,,0.2461,,0.2089,,0.2462,,0.2835,
2025-09-19,0.1191,,0.0669,,0.1827,,0.1847,,0.1867,,0.0,,0.0,,0.1926,,0.2375,,0.2824,
2025-09-18,0.1246,,0.0716,,0.1434,,0.1654,,0.1875,,0.0,,0.0,,0.2002,,0.244,,0.2878,
2025-09-16,0.125,,0.0917,,0.1889,,0.1942,,0.1994,,0.0,,0.0,,0.2033,,0.2436,,0.284,
2025-09-15,0.1251,,0.1025,,0.1934,,0.1988,,0.2042,,0.0,,0.0,,0.2123,,0.2492,,0.286,
2025-09-12,0.0617,,0.1007,,0.1336,,0.2243,,0.315,,0.0,,0.0,,0.1784,,0.2606,,0.3429,
2025-09-10,0.1844,,0.337,,0.128,,0.278,,0.4281,,0.0,,0.0,,0.2322,,0.3087,,0.3852,
