date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-25,0.1826,49.0,0.1921,59.0,0.2061,42.0,0.2054,40.0,0.2046,39.0,0.1866,28.0,0.1778,35.0,0.2218,38.0,0.2356,41.0,0.2494,46.0
2025-11-20,0.259,75.0,0.2293,76.0,0.2585,71.0,0.2506,66.0,0.2427,61.0,0.1835,26.0,0.177,34.0,0.2283,41.0,0.2426,46.0,0.2569,51.0
2025-11-18,0.2833,80.0,0.227,75.0,0.2197,50.0,0.218,48.0,0.2162,46.0,0.1841,26.0,0.1763,34.0,0.2335,45.0,0.245,48.0,0.2565,51.0
2025-11-17,0.2883,81.0,0.2192,72.0,0.2566,70.0,0.2416,61.0,0.2266,52.0,0.1844,27.0,0.1757,34.0,0.2286,42.0,0.2412,46.0,0.2538,49.0
2025-11-14,0.2874,81.0,0.2201,72.0,0.2328,57.0,0.2153,47.0,0.1978,34.0,0.1871,28.0,0.1762,34.0,0.2263,40.0,0.238,43.0,0.2496,46.0
2025-11-13,0.2228,64.0,0.2242,74.0,0.2382,61.0,0.2372,59.0,0.2363,57.0,0.1833,25.0,0.1748,33.0,0.2243,39.0,0.238,43.0,0.2516,47.0
2025-11-12,0.2563,74.0,0.2013,63.0,0.2509,67.0,0.244,62.0,0.237,57.0,0.1846,27.0,0.1719,31.0,0.2207,37.0,0.2304,38.0,0.24,37.0
2025-11-10,0.2557,74.0,0.2306,76.0,0.2379,60.0,0.2403,61.0,0.2427,61.0,0.1792,20.0,0.1718,30.0,0.2154,34.0,0.2284,36.0,0.2413,38.0
2025-11-07,0.2563,74.0,0.2308,76.0,0.2272,54.0,0.2287,54.0,0.2302,54.0,0.1792,20.0,0.1717,30.0,0.2159,34.0,0.2302,38.0,0.2444,41.0
2025-11-06,0.25,72.0,0.2374,78.0,0.2207,51.0,0.2302,55.0,0.2396,59.0,0.1789,20.0,0.1716,30.0,0.214,33.0,0.2296,37.0,0.2453,42.0
2025-11-05,0.2601,75.0,0.2371,78.0,0.2235,52.0,0.2274,53.0,0.2312,55.0,0.1805,22.0,0.1713,30.0,0.2193,36.0,0.2292,37.0,0.2392,36.0
2025-11-04,0.273,78.0,0.2115,68.0,0.2131,47.0,0.2148,47.0,0.2165,46.0,0.1795,21.0,0.1693,28.0,0.2164,35.0,0.2267,35.0,0.237,34.0
2025-11-03,0.2396,69.0,0.2002,63.0,0.2196,50.0,0.2046,40.0,0.1897,28.0,0.1787,20.0,0.1686,28.0,0.2198,36.0,0.2296,37.0,0.2395,36.0
2025-10-31,0.2157,61.0,0.2098,67.0,0.2097,44.0,0.2164,47.0,0.223,50.0,0.1802,21.0,0.1689,28.0,0.2165,35.0,0.2275,35.0,0.2385,35.0
2025-10-30,0.2354,68.0,0.1802,52.0,0.3058,85.0,0.307,85.0,0.3081,84.0,0.1738,18.0,0.1666,26.0,0.2219,38.0,0.233,40.0,0.2442,41.0
2025-10-29,0.2348,68.0,0.1837,54.0,0.2926,82.0,0.287,80.0,0.2814,78.0,0.1742,18.0,0.1681,27.0,0.2173,35.0,0.2322,39.0,0.247,43.0
2025-10-28,0.2495,72.0,0.202,64.0,0.2812,79.0,0.279,78.0,0.2768,76.0,0.1732,17.0,0.1713,30.0,0.2209,37.0,0.2324,39.0,0.2439,41.0
2025-10-27,0.2096,59.0,0.1996,63.0,0.2695,75.0,0.2734,76.0,0.2773,77.0,0.1707,16.0,0.1714,30.0,0.2159,34.0,0.2309,38.0,0.2459,42.0
2025-10-24,0.2136,61.0,0.2051,65.0,0.2765,78.0,0.2796,78.0,0.2827,78.0,0.1709,16.0,0.1723,31.0,0.2179,35.0,0.2302,38.0,0.2426,39.0
2025-10-23,0.2101,60.0,0.2059,65.0,0.2783,78.0,0.2722,76.0,0.2662,72.0,0.1717,17.0,0.1725,31.0,0.2202,37.0,0.2318,39.0,0.2435,40.0
2025-10-22,0.1681,41.0,0.2024,64.0,0.2611,72.0,0.262,72.0,0.263,71.0,0.1705,16.0,0.1715,30.0,0.219,36.0,0.2318,39.0,0.2447,42.0
2025-10-21,0.1433,28.0,0.1975,61.0,0.2558,69.0,0.2675,74.0,0.2792,77.0,0.1683,16.0,0.1711,30.0,0.2194,36.0,0.2315,39.0,0.2436,40.0
2025-10-20,0.1857,50.0,0.2021,64.0,0.2641,73.0,0.2634,72.0,0.2628,71.0,0.1689,16.0,0.1714,30.0,0.2264,40.0,0.2353,41.0,0.2442,41.0
2025-10-15,0.1974,55.0,0.1772,50.0,0.2428,63.0,0.2457,63.0,0.2486,64.0,0.1757,18.0,0.174,33.0,0.2206,37.0,0.2362,42.0,0.2519,47.0
2025-10-14,0.212,60.0,0.1876,57.0,0.2627,72.0,0.2446,63.0,0.2264,52.0,0.1757,18.0,0.1746,33.0,0.2244,39.0,0.238,43.0,0.2515,47.0
2025-10-13,0.2051,57.0,0.1785,51.0,0.2549,69.0,0.2544,68.0,0.254,67.0,0.1747,18.0,0.1748,33.0,0.2252,39.0,0.2374,43.0,0.2495,46.0
2025-10-10,0.209,59.0,0.1804,52.0,0.2615,72.0,0.252,67.0,0.2426,61.0,0.1768,19.0,0.1755,34.0,0.2293,42.0,0.2405,45.0,0.2517,47.0
2025-10-09,0.2071,59.0,0.2482,81.0,0.2508,67.0,0.2364,59.0,0.222,50.0,0.1758,18.0,0.176,34.0,0.2217,37.0,0.2343,40.0,0.2469,43.0
2025-10-08,0.1854,50.0,0.2443,80.0,0.2152,48.0,0.2193,49.0,0.2234,51.0,0.1748,18.0,0.1775,35.0,0.2205,37.0,0.2335,40.0,0.2465,43.0
2025-10-07,0.1574,36.0,0.2409,79.0,0.2281,55.0,0.2346,57.0,0.241,60.0,0.1832,25.0,0.185,43.0,0.2215,37.0,0.2322,39.0,0.2428,40.0
