date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-19,0.2156,70.0,0.1848,62.0,0.1802,40.0,0.1734,31.0,0.1665,23.0,0.2237,70.0,0.2083,73.0,0.1757,36.0,0.2035,48.0,0.2313,54.0
2025-08-18,0.2157,70.0,0.1875,64.0,0.1703,32.0,0.1694,28.0,0.1684,24.0,0.2239,70.0,0.2083,73.0,0.1602,23.0,0.2016,46.0,0.2431,62.0
2025-08-15,0.2267,73.0,0.2125,74.0,0.1492,17.0,0.1574,19.0,0.1656,22.0,0.2241,70.0,0.2081,73.0,0.1586,22.0,0.1933,33.0,0.228,51.0
2025-08-13,0.2366,75.0,0.2151,75.0,0.1902,47.0,0.1764,35.0,0.1627,20.0,0.223,70.0,0.2082,73.0,0.1575,21.0,0.1977,40.0,0.238,59.0
2025-08-12,0.2238,72.0,0.1945,67.0,0.1547,21.0,0.1591,20.0,0.1635,21.0,0.224,71.0,0.208,73.0,0.1517,17.0,0.1946,35.0,0.2375,59.0
2025-08-08,0.2091,68.0,0.1957,67.0,0.1447,15.0,0.1493,13.0,0.154,15.0,0.2233,70.0,0.2075,73.0,0.1563,20.0,0.1958,37.0,0.2353,57.0
2025-08-07,0.2444,76.0,0.2084,72.0,0.1587,24.0,0.1626,23.0,0.1665,23.0,0.2242,71.0,0.2077,73.0,0.1546,19.0,0.1972,39.0,0.2398,60.0
2025-08-05,0.2203,71.0,0.2394,82.0,0.1667,28.0,0.1698,28.0,0.1728,27.0,0.22,70.0,0.2052,73.0,0.1531,18.0,0.195,36.0,0.2369,57.0
2025-08-04,0.2245,72.0,0.2396,82.0,0.2431,75.0,0.2136,62.0,0.1841,38.0,0.2199,70.0,0.2053,73.0,0.1585,22.0,0.1978,40.0,0.2372,59.0
2025-08-01,0.2323,74.0,0.2391,82.0,0.1814,41.0,0.185,42.0,0.1886,42.0,0.2206,70.0,0.2058,73.0,0.1625,25.0,0.2035,48.0,0.2444,63.0
2025-07-31,0.2364,75.0,0.2401,82.0,0.2281,70.0,0.2072,57.0,0.1864,40.0,0.221,70.0,0.2062,73.0,0.1668,28.0,0.1995,43.0,0.2322,55.0
2025-07-30,0.2593,79.0,0.2385,81.0,0.1705,32.0,0.1753,34.0,0.1801,34.0,0.2209,70.0,0.206,73.0,0.1565,20.0,0.1894,28.0,0.2222,45.0
2025-07-29,0.2229,72.0,0.2236,78.0,0.1777,38.0,0.1716,30.0,0.1655,22.0,0.2205,70.0,0.206,73.0,0.1532,18.0,0.2026,47.0,0.2521,67.0
2025-07-28,0.1408,40.0,0.1273,26.0,0.2703,80.0,0.2614,78.0,0.2525,76.0,0.2176,69.0,0.2018,71.0,0.1633,26.0,0.2028,48.0,0.2423,62.0
2025-07-25,0.1393,39.0,0.137,34.0,0.3006,85.0,0.2714,80.0,0.2421,72.0,0.2351,73.0,0.2046,72.0,0.1488,15.0,0.2018,46.0,0.2549,69.0
2025-07-24,0.145,42.0,0.1424,38.0,0.2462,76.0,0.2463,75.0,0.2464,74.0,0.2381,73.0,0.2055,73.0,0.1544,19.0,0.1986,42.0,0.2427,62.0
2025-07-22,0.1801,57.0,0.1581,48.0,0.2245,68.0,0.2411,73.0,0.2577,77.0,0.2382,73.0,0.2059,73.0,0.155,19.0,0.1974,40.0,0.2397,60.0
2025-07-21,0.1732,54.0,0.1597,50.0,0.2293,70.0,0.226,68.0,0.2228,64.0,0.2368,73.0,0.2056,73.0,0.151,17.0,0.1973,40.0,0.2436,63.0
2025-07-18,0.1888,60.0,0.1829,61.0,0.2214,67.0,0.2109,60.0,0.2004,50.0,0.2369,73.0,0.2059,73.0,0.1659,28.0,0.2044,49.0,0.2429,62.0
2025-07-17,0.1914,61.0,0.1814,61.0,0.2184,65.0,0.218,64.0,0.2176,61.0,0.2368,73.0,0.2061,73.0,0.1596,22.0,0.2002,44.0,0.2407,61.0
2025-07-16,0.1893,60.0,0.1712,56.0,0.2025,56.0,0.1956,50.0,0.1887,42.0,0.2371,73.0,0.2066,73.0,0.1644,27.0,0.2058,51.0,0.2472,64.0
2025-07-15,0.1759,55.0,0.1698,55.0,0.2079,59.0,0.218,64.0,0.2281,67.0,0.2365,73.0,0.2065,73.0,0.1541,19.0,0.1966,39.0,0.2391,60.0
2025-07-14,0.1443,42.0,0.1529,45.0,0.2301,71.0,0.2037,55.0,0.1774,31.0,0.2354,73.0,0.2059,73.0,0.1599,22.0,0.2052,50.0,0.2504,66.0
2025-07-11,0.1267,32.0,0.1508,44.0,0.153,20.0,0.1911,46.0,0.2292,68.0,0.2349,73.0,0.2057,73.0,0.1581,21.0,0.2018,46.0,0.2456,63.0
2025-07-09,0.1596,49.0,0.1544,46.0,0.1793,39.0,0.1732,31.0,0.1672,23.0,0.235,73.0,0.2049,73.0,0.1683,30.0,0.2088,54.0,0.2494,66.0
2025-07-08,0.1723,54.0,0.1556,47.0,0.176,37.0,0.1525,15.0,0.129,5.0,0.2355,73.0,0.2053,73.0,0.1625,25.0,0.2082,54.0,0.2539,68.0
2025-07-07,0.1664,52.0,0.1601,50.0,0.1759,37.0,0.1964,50.0,0.2168,61.0,0.2354,73.0,0.2055,73.0,0.1607,23.0,0.2046,50.0,0.2485,65.0
2025-07-03,0.1734,55.0,0.158,48.0,0.1489,17.0,0.2382,73.0,0.3274,89.0,0.2355,73.0,0.2058,73.0,0.2159,64.0,0.2141,59.0,0.2123,32.0
2025-07-02,0.1703,53.0,0.1577,48.0,0.1604,25.0,0.1913,46.0,0.2222,64.0,0.2355,73.0,0.2058,73.0,0.2159,64.0,0.216,60.0,0.216,37.0
2025-07-01,0.1877,60.0,0.1635,52.0,0.1658,28.0,0.2299,70.0,0.294,83.0,0.2354,73.0,0.2057,73.0,0.2149,64.0,0.2156,60.0,0.2163,37.0
2025-06-30,0.1561,47.0,0.129,28.0,0.1221,5.0,0.1534,16.0,0.1847,38.0,0.2338,72.0,0.2043,72.0,0.2216,67.0,0.2184,61.0,0.2153,36.0
2025-06-27,0.1541,47.0,0.1286,27.0,0.1252,6.0,0.1744,32.0,0.2237,65.0,0.2334,72.0,0.2043,72.0,0.2409,75.0,0.2313,67.0,0.2217,44.0
2025-06-26,0.1565,48.0,0.128,27.0,0.1774,38.0,0.1908,46.0,0.2042,53.0,0.2333,72.0,0.2042,72.0,0.2414,75.0,0.2323,67.0,0.2232,46.0
2025-06-25,0.1532,46.0,0.1318,30.0,0.1673,30.0,0.1814,39.0,0.1955,47.0,0.2334,72.0,0.2042,72.0,0.222,67.0,0.2152,60.0,0.2083,27.0
2025-06-24,0.1673,52.0,0.1414,37.0,0.1376,11.0,0.1661,26.0,0.1946,46.0,0.2329,72.0,0.2043,72.0,0.2156,64.0,0.2155,60.0,0.2154,36.0
2025-06-23,0.1729,54.0,0.1483,42.0,0.1986,53.0,0.2038,55.0,0.2091,57.0,0.233,72.0,0.2047,73.0,0.2248,69.0,0.2184,61.0,0.2119,32.0
2025-06-20,0.1544,47.0,0.1448,39.0,0.2025,56.0,0.1984,51.0,0.1942,46.0,0.232,72.0,0.2045,72.0,0.228,70.0,0.2246,64.0,0.2212,43.0
2025-06-18,0.14,39.0,0.1409,37.0,0.1733,35.0,0.2204,65.0,0.2676,79.0,0.2322,72.0,0.205,73.0,0.2359,73.0,0.2267,65.0,0.2175,39.0
2025-06-17,0.1569,48.0,0.1479,42.0,0.2141,63.0,0.2164,63.0,0.2188,62.0,0.2332,72.0,0.2054,73.0,0.2554,81.0,0.2376,69.0,0.2197,42.0
2025-06-16,0.1607,49.0,0.1541,46.0,0.1856,44.0,0.2168,63.0,0.2479,75.0,0.2334,72.0,0.2057,73.0,0.2352,73.0,0.2272,65.0,0.2192,41.0
2025-06-13,0.1704,53.0,0.1611,50.0,0.1586,23.0,0.1534,16.0,0.1483,12.0,0.2332,72.0,0.2054,73.0,0.2359,73.0,0.2303,66.0,0.2247,48.0
2025-06-12,0.1515,45.0,0.1504,43.0,0.1842,43.0,0.1755,34.0,0.1669,23.0,0.2325,72.0,0.2079,73.0,0.2408,75.0,0.233,67.0,0.2253,48.0
2025-06-11,0.1502,45.0,0.1459,40.0,0.1795,40.0,0.1772,35.0,0.1749,28.0,0.2323,72.0,0.2077,73.0,0.2439,76.0,0.2372,69.0,0.2306,54.0
2025-06-10,0.1201,28.0,0.1419,37.0,0.1776,38.0,0.1792,37.0,0.1807,34.0,0.2319,72.0,0.2077,73.0,0.2109,62.0,0.2128,57.0,0.2148,35.0
2025-06-09,0.1287,33.0,0.1719,56.0,0.1795,40.0,0.1751,33.0,0.1707,26.0,0.2319,72.0,0.2081,73.0,0.2263,69.0,0.2254,64.0,0.2244,47.0
2025-06-06,0.1269,32.0,0.1665,54.0,0.1703,32.0,0.2026,55.0,0.2348,70.0,0.2321,72.0,0.2084,73.0,0.2098,62.0,0.2144,59.0,0.2189,41.0
2025-06-05,0.1563,48.0,0.1769,59.0,0.1937,50.0,0.19,45.0,0.1864,40.0,0.233,72.0,0.209,73.0,0.2236,68.0,0.2274,65.0,0.2311,54.0
2025-06-04,0.1549,47.0,0.1646,52.0,0.1902,47.0,0.1749,33.0,0.1596,19.0,0.2329,72.0,0.2087,73.0,0.2294,70.0,0.2274,65.0,0.2253,48.0
2025-06-03,0.1457,42.0,0.1636,52.0,0.1876,45.0,0.1868,43.0,0.1859,39.0,0.2401,74.0,0.2115,74.0,0.2407,75.0,0.2293,66.0,0.2179,39.0
2025-06-02,0.1466,43.0,0.1639,52.0,0.1955,51.0,0.2094,59.0,0.2233,65.0,0.2403,74.0,0.2115,74.0,0.23,71.0,0.23,66.0,0.2299,53.0
2025-05-30,0.1979,64.0,0.174,57.0,0.1647,27.0,0.1768,35.0,0.1889,42.0,0.2405,74.0,0.2115,74.0,0.2405,75.0,0.2392,70.0,0.238,59.0
2025-05-29,0.1895,60.0,0.1524,45.0,0.1926,49.0,0.192,47.0,0.1914,44.0,0.2398,74.0,0.2102,74.0,0.2273,70.0,0.2257,65.0,0.2241,47.0
2025-05-28,0.1893,60.0,0.1543,46.0,0.2261,69.0,0.214,62.0,0.202,52.0,0.2396,74.0,0.2102,74.0,0.2362,73.0,0.2356,68.0,0.2351,57.0
2025-05-27,0.1791,57.0,0.1359,33.0,0.1807,40.0,0.1503,14.0,0.1199,3.0,0.2401,74.0,0.2099,74.0,0.2389,74.0,0.2401,70.0,0.2413,61.0
2025-05-23,0.1969,64.0,0.1491,43.0,0.18,40.0,0.1919,47.0,0.2038,53.0,0.2399,74.0,0.21,74.0,0.2621,83.0,0.2558,75.0,0.2494,66.0
2025-05-22,0.1898,60.0,0.1561,47.0,0.1921,49.0,0.1941,48.0,0.1961,47.0,0.2414,75.0,0.2107,74.0,0.2296,70.0,0.2456,72.0,0.2616,72.0
2025-05-21,0.2182,71.0,0.1607,50.0,0.1559,22.0,0.1739,32.0,0.1919,44.0,0.2418,75.0,0.2106,74.0,0.2458,77.0,0.2386,70.0,0.2314,55.0
2025-05-20,0.1776,56.0,0.1585,49.0,0.1868,45.0,0.1972,51.0,0.2075,56.0,0.2414,75.0,0.2103,74.0,0.2374,74.0,0.2306,67.0,0.2239,47.0
2025-05-19,0.2034,66.0,0.1549,47.0,0.181,41.0,0.1809,38.0,0.1808,34.0,0.2415,75.0,0.2105,74.0,0.2372,73.0,0.235,68.0,0.2327,56.0
2025-05-16,0.216,70.0,0.1788,60.0,0.22,66.0,0.1998,53.0,0.1796,34.0,0.2412,75.0,0.2105,74.0,0.2518,79.0,0.2483,72.0,0.2447,63.0
2025-05-15,0.2159,70.0,0.1835,62.0,0.1966,52.0,0.1612,22.0,0.1259,5.0,0.2433,75.0,0.2118,74.0,0.2454,77.0,0.2324,67.0,0.2193,41.0
2025-05-14,0.2095,68.0,0.1731,57.0,0.1937,50.0,0.2456,75.0,0.2975,84.0,0.2423,75.0,0.2119,74.0,0.2407,75.0,0.2347,68.0,0.2287,52.0
2025-05-13,0.2083,68.0,0.1684,54.0,0.1691,31.0,0.1925,47.0,0.2159,61.0,0.2424,75.0,0.2118,74.0,0.2413,75.0,0.2334,68.0,0.2256,49.0
2025-05-12,0.1793,57.0,0.1669,54.0,0.207,59.0,0.1639,24.0,0.1208,3.0,0.2417,75.0,0.2117,74.0,0.2363,73.0,0.2347,68.0,0.233,56.0
2025-05-09,0.1924,62.0,0.1608,50.0,0.2676,80.0,0.2552,77.0,0.2429,73.0,0.2406,74.0,0.2116,74.0,0.2563,81.0,0.2487,73.0,0.2412,61.0
2025-05-08,0.2015,65.0,0.1812,61.0,0.2147,64.0,0.2888,83.0,0.3628,93.0,0.2401,74.0,0.2116,74.0,0.2629,83.0,0.2446,71.0,0.2262,49.0
2025-05-07,0.1822,57.0,0.223,77.0,0.2251,68.0,0.2177,64.0,0.2103,57.0,0.2394,74.0,0.2116,74.0,0.2493,78.0,0.2406,70.0,0.2318,55.0
2025-05-06,0.1796,57.0,0.2292,79.0,0.211,61.0,0.2088,59.0,0.2065,55.0,0.2399,74.0,0.2117,74.0,0.2453,77.0,0.2476,72.0,0.2498,66.0
2025-05-05,0.2165,70.0,0.247,83.0,0.1787,39.0,0.2163,63.0,0.2539,76.0,0.2397,74.0,0.2116,74.0,0.2593,82.0,0.2509,73.0,0.2425,62.0
2025-05-02,0.215,70.0,0.2487,84.0,0.2125,62.0,0.215,62.0,0.2174,61.0,0.2397,74.0,0.2115,74.0,0.2602,82.0,0.254,74.0,0.2477,65.0
2025-05-01,0.1968,63.0,0.2615,86.0,0.2318,71.0,0.2348,72.0,0.2377,71.0,0.2428,75.0,0.2115,74.0,0.2692,85.0,0.2579,76.0,0.2465,64.0
2025-04-30,0.2541,78.0,0.269,87.0,0.225,68.0,0.248,75.0,0.2709,80.0,0.2416,75.0,0.2121,74.0,0.2517,79.0,0.25,73.0,0.2484,65.0
2025-04-29,0.2266,73.0,0.2553,85.0,0.2562,78.0,0.2777,81.0,0.2992,84.0,0.241,74.0,0.2136,74.0,0.2694,85.0,0.257,75.0,0.2446,63.0
2025-04-28,0.2506,77.0,0.2108,73.0,0.2945,84.0,0.2893,83.0,0.2841,82.0,0.2421,75.0,0.2104,74.0,0.2582,82.0,0.2466,72.0,0.2351,57.0
2025-04-25,0.2519,78.0,0.2114,73.0,0.3977,95.0,0.3809,94.0,0.3641,93.0,0.242,75.0,0.2099,74.0,0.247,77.0,0.2507,73.0,0.2544,69.0
2025-04-24,0.2109,68.0,0.1937,66.0,0.2486,76.0,0.2578,78.0,0.2669,79.0,0.24,74.0,0.2098,74.0,0.1771,37.0,0.2286,66.0,0.2801,79.0
2025-04-23,0.2313,74.0,0.2034,70.0,0.3766,94.0,0.3988,95.0,0.4211,96.0,0.2399,74.0,0.2096,74.0,0.1705,31.0,0.225,64.0,0.2794,79.0
2025-04-22,0.2209,71.0,0.1997,69.0,0.3522,92.0,0.3455,91.0,0.3388,90.0,0.2398,74.0,0.2083,73.0,0.1801,40.0,0.2281,66.0,0.2761,78.0
2025-04-21,0.23,74.0,0.2276,79.0,0.2903,84.0,0.2972,84.0,0.3041,85.0,0.2374,73.0,0.208,73.0,0.1895,48.0,0.2368,69.0,0.2842,81.0
2025-04-17,0.3421,89.0,0.3122,92.0,0.2832,83.0,0.3092,86.0,0.3352,89.0,0.2374,73.0,0.2078,73.0,0.1981,54.0,0.2417,70.0,0.2853,81.0
2025-04-16,0.3771,92.0,0.3584,94.0,0.285,83.0,0.2986,85.0,0.3122,86.0,0.2365,73.0,0.2071,73.0,0.2094,62.0,0.254,74.0,0.2987,86.0
2025-04-15,0.4175,93.0,0.3725,95.0,0.2467,76.0,0.2558,77.0,0.2648,79.0,0.2363,73.0,0.2067,73.0,0.1869,45.0,0.2348,68.0,0.2828,80.0
2025-04-14,0.5296,97.0,0.4065,97.0,0.2612,79.0,0.2807,82.0,0.3002,84.0,0.2361,73.0,0.2066,73.0,0.186,45.0,0.2368,69.0,0.2876,82.0
2025-04-11,0.5013,96.0,0.403,96.0,0.3269,89.0,0.2755,81.0,0.2241,65.0,0.2349,73.0,0.2065,73.0,0.1954,52.0,0.2525,74.0,0.3096,89.0
2025-04-10,0.4857,96.0,0.3957,96.0,0.3794,95.0,,,0.6201,99.0,0.2347,72.0,0.2059,73.0,0.1926,50.0,,,0.3116,89.0
2025-04-09,0.4903,96.0,0.3745,95.0,0.2626,79.0,,,0.3219,88.0,0.2335,72.0,0.2039,72.0,0.1871,46.0,,,0.2877,82.0
2025-04-08,0.3723,91.0,0.3071,91.0,0.4464,97.0,,,0.4693,98.0,0.2249,71.0,0.1975,70.0,0.2141,64.0,,,0.3031,87.0
2025-04-07,0.3735,91.0,0.2407,82.0,0.3849,95.0,,,0.3778,94.0,0.2233,70.0,0.1926,68.0,0.2076,60.0,,,0.2962,85.0
2025-04-04,0.3766,92.0,0.2152,75.0,0.3709,94.0,,,0.3563,92.0,0.2201,70.0,0.1906,68.0,0.2889,88.0,,,0.2351,57.0
2025-04-03,0.1953,63.0,0.1637,52.0,0.2086,60.0,,,0.3467,91.0,0.2062,63.0,0.1865,65.0,0.271,85.0,,,0.2256,49.0
2025-04-02,0.2426,76.0,0.1646,52.0,0.1617,26.0,,,0.2288,68.0,0.2075,64.0,0.1868,66.0,0.2504,79.0,,,0.2114,31.0
2025-04-01,0.2356,75.0,0.1602,50.0,0.175,36.0,,,0.2497,75.0,0.2076,64.0,0.1866,66.0,0.2446,76.0,,,0.2147,35.0
2025-03-31,0.2422,76.0,0.1625,51.0,0.2102,61.0,,,0.2027,52.0,0.2075,64.0,0.1869,66.0,0.2399,75.0,,,0.207,26.0
2025-03-28,0.2776,82.0,0.1713,56.0,0.1489,17.0,,,0.2249,66.0,0.2069,64.0,0.1871,66.0,0.2423,76.0,,,0.2226,45.0
2025-03-27,0.3324,89.0,0.2272,79.0,0.1547,21.0,,,0.2209,63.0,0.2069,64.0,0.1879,67.0,0.2333,72.0,,,0.2211,43.0
2025-03-26,0.3071,86.0,0.2207,76.0,0.1846,43.0,,,0.1851,39.0,0.2066,63.0,0.1878,66.0,0.2508,79.0,,,0.2362,57.0
