date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-08,0.1702,26.0,0.1264,53.0,,,,,,,0.2281,52.0,0.1335,51.0,,,,,,
2025-10-07,0.1492,15.0,0.1294,54.0,,,,,,,0.2273,51.0,0.137,52.0,,,,,,
2025-10-06,0.123,5.0,0.0904,27.0,,,,,,,0.2522,57.0,0.1701,57.0,,,,,,
2025-10-02,0.1421,11.0,0.0723,18.0,,,,,,,0.2573,59.0,0.1905,59.0,,,,,,
2025-10-01,0.144,12.0,0.0794,22.0,,,,,,,0.2831,62.0,0.2023,61.0,,,,,,
2025-09-30,0.1961,42.0,0.0781,21.0,,,,,,,0.2835,62.0,0.2036,61.0,,,,,,
2025-09-29,0.2047,47.0,0.0732,18.0,,,,,,,0.284,62.0,0.2038,61.0,,,,,,
2025-09-24,0.2766,69.0,0.1121,45.0,,,,,,,0.289,62.0,0.2072,61.0,,,,,,
2025-09-23,0.2313,59.0,0.1187,49.0,,,,,0.3452,,0.2876,62.0,0.2074,61.0,,,,,0.3452,
2025-09-22,0.2071,49.0,0.1113,44.0,,,,,,,0.2905,62.0,0.2098,62.0,,,,,,
2025-09-19,0.234,59.0,0.1118,44.0,,,,,,,0.2907,62.0,0.2105,62.0,,,,,,
2025-09-18,0.2526,64.0,0.132,56.0,,,,,,,0.2909,62.0,0.211,62.0,,,,,,
2025-09-16,0.2361,60.0,0.1254,52.0,,,,,,,0.2904,62.0,0.2171,63.0,,,,,,
2025-09-15,0.2302,59.0,0.1283,54.0,,,,,,,0.2902,62.0,0.2174,63.0,,,,,,
2025-09-12,0.1847,35.0,0.0969,33.0,0.7604,99.0,,,,,0.29,62.0,0.217,63.0,0.7604,100.0,,,,
2025-09-10,0.1456,13.0,0.1069,41.0,,,,,,,0.2926,62.0,0.2188,63.0,,,,,,
2025-09-09,0.0912,1.0,0.0,1.0,,,,,,,0.2913,62.0,0.0,1.0,,,,,,
2025-09-08,0.1413,10.0,0.0763,20.0,,,,,0.3521,,0.2987,64.0,0.2196,63.0,,,,,0.3521,
