date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-25,0.3089,33.0,0.2403,24.0,0.3623,22.0,0.3641,12.0,0.366,12.0,0.3771,42.0,0.2538,19.0,0.2668,22.0,0.3947,22.0,0.5226,28.0
2025-11-20,0.284,26.0,0.2649,35.0,0.4121,40.0,0.3815,18.0,0.3509,9.0,0.3817,46.0,0.2561,20.0,0.3637,57.0,0.3777,17.0,0.3917,4.0
2025-11-18,0.2587,21.0,0.2493,28.0,0.2115,2.0,0.3444,7.0,0.4774,44.0,0.3762,41.0,0.2557,20.0,0.3425,50.0,0.399,24.0,0.4555,12.0
2025-11-17,0.2738,24.0,0.2343,22.0,0.3473,18.0,0.5064,57.0,0.6654,79.0,0.388,46.0,0.2568,20.0,0.3584,57.0,0.459,49.0,0.5597,39.0
2025-11-14,0.356,46.0,0.3055,56.0,0.2796,7.0,0.3078,4.0,0.3361,6.0,0.3879,46.0,0.2577,21.0,0.377,63.0,0.438,38.0,0.4991,24.0
2025-11-13,0.3473,44.0,0.283,45.0,0.2995,11.0,0.451,44.0,0.6024,72.0,0.3879,46.0,0.2563,20.0,0.3656,59.0,0.4558,48.0,0.5459,34.0
2025-11-12,0.3826,54.0,0.2649,35.0,0.2859,8.0,0.4304,37.0,0.575,66.0,0.3866,46.0,0.2559,20.0,0.3361,48.0,0.3926,22.0,0.4491,11.0
2025-11-10,0.3779,53.0,0.2722,39.0,0.2997,11.0,0.4436,43.0,0.5876,69.0,0.3867,46.0,0.2563,20.0,0.3361,48.0,0.418,30.0,0.5,24.0
2025-11-07,0.3635,49.0,0.2556,31.0,0.3423,17.0,0.4583,46.0,0.5743,66.0,0.3867,46.0,0.2556,20.0,0.3624,57.0,0.4292,33.0,0.4961,23.0
2025-11-06,0.3506,45.0,0.2639,35.0,0.273,6.0,0.3674,13.0,0.4619,41.0,0.3861,46.0,0.2557,20.0,0.3709,61.0,0.4409,40.0,0.5109,26.0
2025-11-05,0.2831,26.0,0.1821,7.0,0.4267,44.0,0.5898,76.0,0.7528,88.0,0.384,46.0,0.2531,19.0,0.3137,38.0,0.4558,48.0,0.598,55.0
2025-11-04,0.279,25.0,0.2019,12.0,0.5422,74.0,0.6314,83.0,0.7206,85.0,0.3844,46.0,0.2541,19.0,0.3278,45.0,0.4434,41.0,0.5591,39.0
2025-11-03,0.2914,28.0,0.2258,19.0,0.5189,70.0,0.5243,62.0,0.5297,56.0,0.3836,46.0,0.2561,20.0,0.2642,21.0,0.4103,28.0,0.5564,38.0
2025-10-31,0.3629,48.0,0.229,20.0,0.4264,44.0,0.461,46.0,0.4957,47.0,0.3855,46.0,0.2561,20.0,0.3235,43.0,0.469,55.0,0.6146,60.0
2025-10-30,0.3719,52.0,0.2353,23.0,0.5311,72.0,0.5174,61.0,0.5038,49.0,0.3854,46.0,0.2564,20.0,0.3203,42.0,0.4379,38.0,0.5556,38.0
2025-10-29,0.4233,62.0,0.2385,23.0,0.4284,44.0,0.4368,40.0,0.4452,36.0,0.3863,46.0,0.2569,20.0,0.3228,43.0,0.461,51.0,0.5992,55.0
2025-10-28,0.4263,63.0,0.2303,21.0,0.5063,66.0,0.5106,59.0,0.5149,52.0,0.3869,46.0,0.2567,20.0,0.3171,40.0,0.4618,51.0,0.6065,57.0
2025-10-27,0.4017,57.0,0.2465,27.0,0.6358,88.0,0.4963,55.0,0.3568,9.0,0.3855,46.0,0.2578,21.0,0.2757,25.0,0.401,25.0,0.5262,30.0
2025-10-24,0.4213,61.0,0.237,23.0,0.4796,59.0,0.4413,42.0,0.403,24.0,0.3854,46.0,0.2574,20.0,0.2944,30.0,0.4164,30.0,0.5383,32.0
2025-10-23,0.333,40.0,0.2161,17.0,0.4139,40.0,0.602,78.0,0.79,93.0,0.384,46.0,0.2567,20.0,0.2529,17.0,0.4428,41.0,0.6327,66.0
2025-10-22,0.3359,41.0,0.2085,14.0,0.5061,66.0,0.5738,74.0,0.6415,77.0,0.3812,46.0,0.2564,20.0,0.316,39.0,0.412,28.0,0.5079,26.0
2025-10-21,0.3232,36.0,0.1918,9.0,0.3254,14.0,0.4833,52.0,0.6412,77.0,0.3821,46.0,0.2576,21.0,0.295,30.0,0.405,27.0,0.5149,27.0
2025-10-20,0.3489,44.0,0.2332,22.0,0.4155,41.0,0.4184,32.0,0.4214,30.0,0.3807,46.0,0.2575,20.0,0.2749,25.0,0.4632,52.0,0.6515,70.0
2025-10-15,0.3777,53.0,0.2252,19.0,0.3157,13.0,0.3796,18.0,0.4435,36.0,0.3798,45.0,0.2566,20.0,0.3448,51.0,0.4806,59.0,0.6164,61.0
2025-10-14,0.3197,35.0,0.2331,22.0,0.4581,52.0,0.4684,48.0,0.4787,44.0,0.38,45.0,0.2571,20.0,0.4545,82.0,0.5742,83.0,0.694,79.0
2025-10-13,0.4224,62.0,0.2532,30.0,0.5866,82.0,0.542,67.0,0.4975,48.0,0.3794,45.0,0.2581,21.0,0.2956,31.0,0.3867,20.0,0.4778,19.0
2025-10-10,0.422,61.0,0.2532,30.0,0.451,50.0,0.4602,46.0,0.4694,43.0,0.3817,46.0,0.2595,21.0,0.4266,76.0,0.4652,53.0,0.5039,25.0
2025-10-09,0.4637,73.0,0.2449,26.0,0.3889,32.0,0.3822,18.0,0.3755,15.0,0.3809,46.0,0.2594,21.0,0.3911,66.0,0.3952,22.0,0.3992,4.0
2025-10-08,0.4549,71.0,0.2449,26.0,0.6426,88.0,0.5054,57.0,0.3682,12.0,0.3843,46.0,0.2609,21.0,0.377,63.0,0.4262,33.0,0.4754,18.0
2025-10-07,0.4752,75.0,0.2465,27.0,0.3537,20.0,0.372,15.0,0.3903,20.0,0.3849,46.0,0.2622,22.0,0.2239,8.0,0.2743,1.0,0.3247,1.0
2025-10-06,0.3835,54.0,0.2365,23.0,0.4198,42.0,0.4185,32.0,0.4172,28.0,0.3886,46.0,0.2752,28.0,0.367,59.0,0.4126,28.0,0.4583,12.0
