date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-11,0.5585,64.0,0.3796,12.0,,,,,,,0.9551,95.0,0.9206,94.0,,,,,,
2025-07-09,0.6529,74.0,0.419,22.0,0.7599,59.0,0.7563,60.0,0.7526,62.0,0.9548,95.0,0.9215,94.0,0.7599,66.0,0.7563,66.0,0.7526,67.0
2025-07-08,0.3715,31.0,0.4304,25.0,0.7535,57.0,0.8196,74.0,0.8856,84.0,0.9468,95.0,0.9226,94.0,0.7535,66.0,0.8196,74.0,0.8856,82.0
2025-07-07,0.545,62.0,0.4604,32.0,,,,,,,0.9514,95.0,0.9234,94.0,,,,,,
2025-07-03,0.5419,62.0,0.5119,45.0,0.566,13.0,0.6538,31.0,0.7415,59.0,0.9493,95.0,0.9229,94.0,0.566,13.0,0.6538,33.0,0.7415,64.0
2025-07-02,0.5382,61.0,0.5222,47.0,0.8078,69.0,,,,,0.9492,95.0,0.9232,94.0,0.9198,82.0,,,,
2025-07-01,0.5322,60.0,0.5201,46.0,0.6793,41.0,,,,,0.9528,95.0,0.9246,94.0,0.6793,48.0,,,,
2025-06-30,0.5043,55.0,0.5352,50.0,0.7349,55.0,,,,,0.9524,95.0,0.9253,94.0,0.7399,63.0,,,,
2025-06-27,0.3782,33.0,0.5054,43.0,,,,,0.7209,54.0,0.9509,95.0,0.926,94.0,,,,,0.7209,60.0
2025-06-26,0.3825,34.0,0.5007,42.0,0.7309,54.0,,,,,0.9502,95.0,0.926,94.0,0.7283,61.0,,,,
2025-06-25,0.3737,32.0,0.495,41.0,,,,,,,0.9502,95.0,0.9251,94.0,,,,,,
2025-06-24,0.2193,7.0,0.4042,17.0,0.7333,54.0,,,,,0.9462,95.0,0.9236,94.0,0.7333,63.0,,,,
2025-06-23,0.2209,7.0,0.3972,16.0,0.7963,67.0,,,,,0.9468,95.0,0.9243,94.0,0.6498,34.0,,,,
2025-06-20,0.2213,7.0,0.373,11.0,0.7095,49.0,,,,,0.9466,95.0,0.9375,94.0,0.7095,57.0,,,,
2025-06-18,0.2409,9.0,0.3843,13.0,,,,,,,0.9466,95.0,0.9372,94.0,,,,,,
2025-06-17,0.5067,56.0,0.4742,36.0,0.7817,64.0,,,,,0.9531,95.0,0.9397,94.0,0.642,31.0,,,,
2025-06-16,0.521,57.0,0.4783,37.0,0.8424,76.0,,,,,0.9532,95.0,0.9419,94.0,0.7267,61.0,,,,
2025-06-13,0.5842,67.0,0.4959,41.0,,,,,,,0.9537,95.0,0.9426,94.0,,,,,,
2025-06-12,0.5829,67.0,0.4853,39.0,0.7524,57.0,0.7638,62.0,0.7753,68.0,0.9534,95.0,0.9423,94.0,0.7746,69.0,0.775,68.0,0.7753,71.0
2025-06-11,0.5428,62.0,0.4914,40.0,0.7033,47.0,0.7412,56.0,0.779,69.0,0.954,95.0,0.9426,94.0,0.7377,63.0,0.7584,66.0,0.779,71.0
2025-06-10,0.6155,71.0,0.5497,53.0,0.8083,69.0,,,,,0.9539,95.0,0.9435,95.0,0.7361,63.0,,,,
2025-06-09,0.6175,71.0,0.5227,47.0,0.6493,31.0,,,,,0.9543,95.0,0.9436,95.0,0.71,57.0,,,,
2025-06-06,0.538,61.0,0.4813,38.0,0.8093,69.0,0.7998,70.0,0.7903,71.0,0.9518,95.0,0.9416,94.0,0.587,16.0,0.6886,51.0,0.7903,73.0
2025-06-05,0.5238,57.0,0.494,41.0,0.7562,59.0,,,,,0.9572,95.0,0.9428,94.0,0.7562,66.0,,,,
2025-06-04,0.4837,52.0,0.4905,40.0,0.8294,74.0,,,,,0.9546,95.0,0.9429,94.0,0.7572,66.0,,,,
2025-06-03,0.4809,51.0,0.5877,60.0,0.6895,43.0,0.7473,57.0,0.8051,73.0,0.9787,95.0,0.9548,95.0,0.6895,52.0,0.7441,64.0,0.7987,74.0
2025-06-02,0.4854,52.0,0.6637,71.0,2.1038,100.0,,,,,0.9787,95.0,0.9544,95.0,1.2299,92.0,,,,
2025-05-30,0.3739,32.0,0.6426,69.0,0.722,52.0,,,,,0.9764,95.0,0.9534,95.0,0.722,60.0,,,,
2025-05-29,0.3527,28.0,0.6372,68.0,0.866,79.0,0.831,77.0,0.7959,72.0,0.986,95.0,0.9569,95.0,0.7681,68.0,0.782,69.0,0.7959,73.0
2025-05-28,0.4023,37.0,0.6234,66.0,0.838,75.0,0.825,75.0,0.8119,74.0,0.9926,95.0,0.9639,95.0,0.5968,18.0,0.7044,56.0,0.8119,76.0
2025-05-27,0.3941,36.0,0.6211,66.0,0.6928,44.0,0.7552,60.0,0.8176,75.0,0.9947,95.0,0.9647,95.0,0.7803,70.0,0.799,72.0,0.8176,76.0
2025-05-23,0.3366,26.0,0.6115,65.0,,,,,,,0.9948,95.0,0.9634,95.0,,,,,,
2025-05-22,0.3333,25.0,0.5797,59.0,0.7188,51.0,0.7648,62.0,0.8108,74.0,0.9939,95.0,0.9603,95.0,0.7294,62.0,0.7617,66.0,0.7939,73.0
2025-05-21,0.3333,25.0,0.5466,52.0,0.8517,77.0,0.8242,75.0,0.7966,72.0,0.9934,95.0,0.957,95.0,0.7886,71.0,0.7926,71.0,0.7966,73.0
2025-05-20,0.1969,5.0,0.6091,64.0,0.7365,55.0,,,,,0.9896,95.0,0.9558,95.0,0.6134,22.0,,,,
2025-05-19,0.2227,7.0,0.619,66.0,0.77,61.0,,,,,0.989,95.0,0.9557,95.0,0.7092,57.0,,,,
2025-05-16,0.3931,35.0,0.6923,75.0,0.6762,40.0,,,,,0.989,95.0,0.955,95.0,0.9302,84.0,,,,
2025-05-15,0.4158,39.0,0.725,78.0,0.7425,56.0,0.7554,60.0,0.7684,66.0,0.9883,95.0,0.9541,95.0,0.7384,63.0,0.7534,65.0,0.7684,69.0
2025-05-14,0.5322,60.0,0.7453,80.0,0.7145,50.0,0.7418,56.0,0.7691,66.0,0.9884,95.0,0.9532,95.0,1.0722,89.0,0.9206,83.0,0.7691,69.0
2025-05-13,0.5539,63.0,0.7888,83.0,0.7512,57.0,,,,,0.9879,95.0,0.9513,95.0,0.778,70.0,,,,
2025-05-12,0.5582,64.0,0.853,88.0,0.7991,67.0,0.7649,62.0,0.7307,56.0,0.9884,95.0,0.9491,95.0,0.7592,66.0,0.745,64.0,0.7307,62.0
2025-05-09,1.5053,98.0,1.328,99.0,0.7537,57.0,0.758,61.0,0.7624,64.0,0.9882,95.0,0.9459,95.0,0.7537,66.0,0.758,66.0,0.7624,68.0
2025-05-08,1.5344,98.0,1.4068,99.0,0.8005,68.0,,,,,0.9887,95.0,0.9458,95.0,0.7572,66.0,,,,
2025-05-07,1.6381,99.0,1.4091,99.0,0.7777,63.0,,,,,0.9891,95.0,0.9432,95.0,0.7156,59.0,,,,
2025-05-06,1.7183,99.0,1.4551,99.0,0.8061,69.0,,,,,0.9916,95.0,0.9445,95.0,0.7947,72.0,,,,
2025-05-05,1.6346,99.0,1.4562,99.0,0.8274,73.0,0.8474,80.0,0.8675,82.0,0.9872,95.0,0.9426,94.0,1.0811,89.0,0.9126,82.0,0.7441,65.0
2025-05-02,1.6498,99.0,1.4251,99.0,0.8103,69.0,0.8774,83.0,0.9446,88.0,0.9852,95.0,0.9384,94.0,0.7695,68.0,0.7525,65.0,0.7355,63.0
2025-05-01,1.6508,99.0,1.3749,99.0,0.802,68.0,0.8686,83.0,0.9351,88.0,0.9861,95.0,0.9331,94.0,0.6819,49.0,0.7353,64.0,0.7887,73.0
2025-04-30,1.1968,95.0,0.953,92.0,0.7229,52.0,,,,,0.9371,95.0,0.8984,94.0,0.7229,60.0,,,,
2025-04-29,1.3044,97.0,0.9287,91.0,1.3495,96.0,1.0892,95.0,0.8288,77.0,0.9318,94.0,0.8914,93.0,0.893,80.0,0.8609,78.0,0.8288,78.0
2025-04-28,1.219,95.0,0.8715,88.0,1.3337,96.0,1.1267,95.0,0.9196,87.0,0.9257,94.0,0.8877,93.0,1.3052,94.0,1.1124,91.0,0.9196,85.0
2025-04-25,0.9853,91.0,0.7687,82.0,0.9177,84.0,0.9062,86.0,0.8948,84.0,0.9107,94.0,0.8812,92.0,0.8149,74.0,0.8476,77.0,0.8803,82.0
2025-04-24,1.0465,92.0,0.7807,83.0,0.9875,89.0,0.9291,87.0,0.8707,82.0,0.9113,94.0,0.8792,92.0,0.8542,78.0,0.8538,77.0,0.8533,80.0
2025-04-23,1.0529,92.0,0.9339,91.0,0.8592,78.0,0.8571,81.0,0.855,80.0,0.9092,94.0,0.8777,92.0,0.8005,73.0,0.8278,75.0,0.855,80.0
2025-04-22,0.8375,86.0,0.9484,92.0,0.8223,72.0,0.838,78.0,0.8537,80.0,0.8991,94.0,0.8768,92.0,0.8656,78.0,0.8596,78.0,0.8537,80.0
2025-04-21,0.7185,80.0,0.9512,92.0,0.898,82.0,0.86,82.0,0.8219,76.0,0.8947,94.0,0.8715,91.0,0.898,81.0,0.8829,80.0,0.8678,81.0
2025-04-17,1.1275,94.0,1.2385,97.0,0.9235,84.0,0.926,87.0,0.9285,87.0,0.8881,94.0,0.8653,91.0,0.834,76.0,0.878,80.0,0.9221,85.0
2025-04-16,1.187,95.0,1.3877,99.0,0.8359,75.0,0.8628,82.0,0.8897,84.0,0.8868,94.0,0.8645,91.0,0.8168,74.0,0.9989,88.0,1.181,94.0
2025-04-15,1.2767,97.0,1.4552,99.0,0.8852,81.0,0.8491,80.0,0.813,74.0,0.8861,94.0,0.8634,91.0,0.8063,73.0,0.8415,76.0,0.8767,82.0
2025-04-14,1.2694,96.0,1.4605,99.0,1.0421,92.0,0.9252,87.0,0.8083,74.0,0.8827,94.0,0.8607,91.0,0.847,77.0,0.846,77.0,0.8449,79.0
