date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-08,0.217,18.0,0.303,24.0,,,,,,,0.3663,15.0,0.3607,14.0,,,,,,
2025-10-07,0.172,9.0,0.2897,19.0,,,,,,,0.3713,18.0,0.3637,15.0,,,,,,
2025-10-06,0.1141,3.0,0.2524,10.0,,,,,,,0.3772,21.0,0.3709,23.0,,,,,,
2025-10-02,0.2462,25.0,0.2722,14.0,,,,,,,0.3832,23.0,0.3879,36.0,,,,,,
2025-10-01,0.2389,23.0,0.2888,19.0,,,,,,,0.3878,24.0,0.3912,38.0,,,,,,
2025-09-30,0.2639,28.0,0.3293,33.0,,,,,,,0.3982,27.0,0.3924,40.0,,,,,,
2025-09-29,0.3125,39.0,0.344,39.0,,,,,,,0.4009,28.0,0.3938,41.0,,,,,,
2025-09-24,0.2687,28.0,0.3218,30.0,1.1332,98.0,,,,,0.4017,28.0,0.3951,43.0,1.1332,99.0,,,,
2025-09-23,0.2422,24.0,0.333,34.0,0.5967,70.0,,,,,0.4009,28.0,0.3957,43.0,0.8458,96.0,,,,
2025-09-22,0.2431,24.0,0.3151,28.0,0.7509,85.0,,,,,0.4024,30.0,0.3955,43.0,1.2682,99.0,,,,
2025-09-19,0.1914,13.0,0.2588,11.0,,,,,,,0.401,28.0,0.3934,41.0,,,,,,
2025-09-18,0.1423,5.0,0.2201,4.0,,,,,,,0.4009,28.0,0.3923,39.0,,,,,,
2025-09-16,0.2214,19.0,0.2352,6.0,,,,,,,0.402,28.0,0.3921,39.0,,,,,,
2025-09-15,0.2235,20.0,0.2356,6.0,,,,,,,0.402,28.0,0.3947,42.0,,,,,,
2025-09-12,0.225,20.0,0.2361,6.0,,,,,,,0.4019,28.0,0.3949,42.0,,,,,,
2025-09-10,0.272,30.0,0.2587,11.0,,,,,,,0.4084,33.0,0.4006,47.0,,,,,,
2025-09-09,0.2182,19.0,0.2542,10.0,0.8067,89.0,,,,,0.411,35.0,0.4016,47.0,0.8067,95.0,,,,
2025-09-08,0.1622,7.0,0.2331,6.0,0.7746,87.0,,,,,0.4126,36.0,0.4026,48.0,0.7746,93.0,,,,
2025-09-05,0.1757,10.0,0.2274,5.0,0.7169,83.0,,,,,0.4137,37.0,0.4037,49.0,0.7169,89.0,,,,
2025-09-04,0.2107,17.0,0.2397,7.0,0.8103,89.0,,,,,0.4139,37.0,0.405,50.0,0.8103,95.0,,,,
2025-08-26,0.1973,14.0,0.2554,10.0,0.6385,75.0,,,,,0.4151,37.0,0.4074,51.0,0.6385,82.0,,,,
2025-08-25,0.2239,20.0,0.2954,21.0,,,,,,,0.4161,38.0,0.4077,51.0,,,,,,
2025-08-22,0.2983,35.0,0.3503,42.0,,,,,,,0.4162,38.0,0.4084,52.0,,,,,,
2025-08-21,0.2483,26.0,0.3637,47.0,1.2443,99.0,,,,,0.4149,37.0,0.4079,51.0,1.2443,99.0,,,,
2025-08-20,0.381,55.0,0.4135,62.0,0.6449,76.0,,,,,0.4147,37.0,0.4079,51.0,0.822,95.0,,,,
2025-08-19,0.3685,52.0,0.4172,63.0,,,,,,,0.4155,38.0,0.408,51.0,,,,,,
2025-08-18,0.3751,53.0,0.4125,62.0,0.6881,80.0,,,,,0.4156,38.0,0.4075,51.0,0.6881,86.0,,,,
2025-08-15,0.3731,53.0,0.4408,69.0,0.8639,91.0,,,,,0.4153,37.0,0.408,51.0,0.8639,96.0,,,,
2025-08-13,0.3423,46.0,0.4117,61.0,,,,,,,0.4126,34.0,0.404,47.0,,,,,,
