date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-29,0.2717,43.0,0.2929,50.0,0.251,9.0,0.2456,6.0,0.2403,5.0,0.3219,39.0,0.3007,39.0,0.2518,3.0,0.2528,1.0,0.2538,1.0
2025-07-28,0.2535,37.0,0.2135,15.0,0.3737,53.0,0.408,62.0,0.4423,71.0,0.321,38.0,0.2961,36.0,0.2447,2.0,0.2572,2.0,0.2697,3.0
2025-07-25,0.2472,36.0,0.2098,14.0,0.3161,32.0,0.3052,24.0,0.2943,19.0,0.3217,39.0,0.296,36.0,0.2548,3.0,0.2666,4.0,0.2784,6.0
2025-07-24,0.2438,34.0,0.2612,36.0,0.3687,51.0,0.332,35.0,0.2952,19.0,0.3222,39.0,0.2973,37.0,0.2582,4.0,0.2664,4.0,0.2746,4.0
2025-07-22,0.3467,62.0,0.3117,56.0,0.3258,36.0,0.304,23.0,0.2822,15.0,0.3218,39.0,0.2976,37.0,0.3025,23.0,0.2901,12.0,0.2776,5.0
2025-07-21,0.2341,32.0,0.3075,55.0,0.3411,41.0,0.3224,31.0,0.3036,23.0,0.3181,36.0,0.2965,36.0,0.2628,5.0,0.2703,5.0,0.2778,5.0
2025-07-18,0.2806,45.0,0.3195,57.0,0.2689,15.0,0.2962,20.0,0.3236,31.0,0.3187,37.0,0.2964,36.0,0.2538,3.0,0.2667,4.0,0.2795,6.0
2025-07-17,0.3306,59.0,0.311,56.0,0.3219,34.0,0.3194,30.0,0.317,28.0,0.3183,36.0,0.2958,36.0,0.2632,5.0,0.273,6.0,0.2827,7.0
2025-07-16,0.3468,62.0,0.3332,62.0,0.3183,33.0,0.3096,26.0,0.301,21.0,0.3182,36.0,0.2958,36.0,0.2607,5.0,0.2849,9.0,0.3091,20.0
2025-07-15,0.3771,68.0,0.3182,57.0,0.2815,19.0,0.2931,19.0,0.3047,23.0,0.3203,38.0,0.2939,35.0,0.2747,8.0,0.2774,6.0,0.2802,6.0
2025-07-14,0.3212,56.0,0.2752,42.0,0.4631,77.0,0.3722,51.0,0.2812,15.0,0.3172,36.0,0.2913,34.0,0.2645,5.0,0.2754,6.0,0.2862,9.0
2025-07-11,0.3013,51.0,0.2858,47.0,0.3019,26.0,0.3048,24.0,0.3077,25.0,0.3202,38.0,0.2933,35.0,0.2569,4.0,0.2688,4.0,0.2806,6.0
2025-07-09,0.4414,78.0,0.3834,73.0,0.3076,28.0,0.3022,23.0,0.2969,20.0,0.319,37.0,0.2922,35.0,0.266,5.0,0.2749,6.0,0.2838,7.0
2025-07-08,0.3866,69.0,0.4465,83.0,0.3027,26.0,0.2972,21.0,0.2918,18.0,0.3163,35.0,0.2917,34.0,0.2673,6.0,0.2736,6.0,0.28,6.0
2025-07-07,0.4302,76.0,0.447,83.0,0.4043,62.0,0.369,49.0,0.3337,36.0,0.3184,36.0,0.2918,34.0,0.2674,6.0,0.2771,6.0,0.2868,9.0
2025-07-03,0.3805,68.0,0.4201,79.0,0.2953,23.0,0.2936,19.0,0.2918,18.0,0.3159,35.0,0.29,34.0,0.2695,6.0,0.2815,8.0,0.2935,12.0
2025-07-02,0.3788,68.0,0.4307,80.0,0.296,24.0,0.3116,27.0,0.3271,33.0,0.3162,35.0,0.2909,34.0,0.2691,6.0,0.2788,7.0,0.2885,9.0
