date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-12-02,0.5102,88.0,0.4204,89.0,0.4161,77.0,0.455,85.0,0.494,90.0,0.5953,96.0,0.3819,89.0,0.3667,74.0,0.4443,88.0,0.5219,95.0
2025-11-26,0.4966,87.0,0.493,94.0,0.426,80.0,0.3932,71.0,0.3605,61.0,0.5961,96.0,0.383,89.0,0.3691,75.0,0.4412,88.0,0.5133,94.0
2025-11-25,0.4808,86.0,0.5075,94.0,0.3835,69.0,0.4294,80.0,0.4754,87.0,0.5967,96.0,0.3836,89.0,0.3725,77.0,0.452,89.0,0.5314,95.0
2025-11-20,0.2602,46.0,0.4078,87.0,0.458,85.0,0.4978,91.0,0.5377,93.0,0.5802,96.0,0.3739,87.0,0.3587,70.0,0.4508,89.0,0.543,95.0
2025-11-18,0.6543,95.0,0.459,92.0,0.6891,98.0,0.6475,98.0,0.6059,96.0,0.5821,96.0,0.3717,87.0,0.3665,74.0,0.449,89.0,0.5316,95.0
2025-11-17,0.702,96.0,0.5024,94.0,0.6432,97.0,0.5974,96.0,0.5517,94.0,0.5823,96.0,0.3693,86.0,0.3294,57.0,0.4288,86.0,0.5283,95.0
2025-11-14,1.8827,100.0,0.821,99.0,0.4746,88.0,0.5586,95.0,0.6426,97.0,0.5862,96.0,0.3693,86.0,0.3833,80.0,0.458,90.0,0.5328,95.0
2025-11-13,1.9144,100.0,0.8242,99.0,0.7072,98.0,0.651,98.0,0.5949,96.0,0.5861,96.0,0.3685,86.0,0.337,61.0,0.4133,84.0,0.4896,92.0
2025-11-12,1.9352,100.0,0.7904,99.0,0.3508,60.0,0.512,92.0,0.6733,98.0,0.5834,96.0,0.3622,85.0,0.3488,66.0,0.443,88.0,0.5371,95.0
2025-11-10,1.9592,100.0,0.7936,99.0,0.4663,87.0,0.4682,87.0,0.4701,87.0,0.5774,96.0,0.3617,85.0,0.3666,74.0,0.454,90.0,0.5414,95.0
2025-11-07,1.8417,100.0,0.7731,99.0,0.5176,92.0,0.535,93.0,0.5523,94.0,0.5696,96.0,0.3588,84.0,0.3151,49.0,0.398,79.0,0.4809,91.0
2025-11-06,1.8463,100.0,0.731,99.0,0.605,96.0,0.5673,95.0,0.5296,93.0,0.5682,96.0,0.3543,84.0,0.3406,63.0,0.4002,80.0,0.4599,87.0
2025-11-05,0.3417,67.0,0.3288,75.0,0.5767,96.0,0.5152,93.0,0.4536,83.0,0.3803,68.0,0.3195,68.0,0.3392,62.0,0.399,80.0,0.4589,87.0
2025-11-04,0.316,60.0,0.3156,72.0,0.5599,95.0,0.5376,94.0,0.5153,92.0,0.3799,68.0,0.3187,68.0,0.356,69.0,0.4104,83.0,0.4649,88.0
2025-11-03,0.3234,62.0,0.3097,70.0,0.4742,88.0,0.55,94.0,0.6259,97.0,0.4047,75.0,0.3251,71.0,0.3373,61.0,0.4042,81.0,0.471,89.0
2025-10-31,0.2797,51.0,0.2843,62.0,0.4796,89.0,0.4762,88.0,0.4727,87.0,0.4035,75.0,0.3232,70.0,0.3353,60.0,0.4067,82.0,0.4781,90.0
2025-10-30,0.4026,78.0,0.3386,77.0,0.4925,90.0,0.4781,89.0,0.4637,85.0,0.4036,75.0,0.3226,70.0,0.3423,63.0,0.4034,81.0,0.4646,88.0
2025-10-29,0.4286,81.0,0.3461,78.0,0.5452,94.0,0.5532,95.0,0.5612,94.0,0.4038,75.0,0.3229,70.0,0.3407,63.0,0.4051,82.0,0.4695,89.0
2025-10-28,0.3986,77.0,0.3293,75.0,0.4445,83.0,0.465,87.0,0.4854,89.0,0.4058,75.0,0.3225,70.0,0.3542,68.0,0.4032,81.0,0.4522,86.0
2025-10-27,0.323,62.0,0.3121,71.0,0.4587,85.0,0.4535,85.0,0.4483,82.0,0.4071,76.0,0.3241,71.0,0.3445,64.0,0.3976,79.0,0.4508,86.0
2025-10-24,0.3205,61.0,0.3018,68.0,0.4453,83.0,0.4399,82.0,0.4345,80.0,0.4083,76.0,0.3254,71.0,0.3405,62.0,0.3944,79.0,0.4483,85.0
2025-10-23,0.3275,63.0,0.3131,72.0,0.4283,80.0,0.4418,82.0,0.4554,84.0,0.4082,76.0,0.3261,72.0,0.3264,56.0,0.3924,78.0,0.4584,87.0
2025-10-22,0.229,38.0,0.3483,79.0,0.4486,84.0,0.4474,83.0,0.4461,82.0,0.4061,75.0,0.3262,72.0,0.3382,61.0,0.3986,80.0,0.459,87.0
