date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-22,0.8984,,0.6342,,0.7383,,0.7393,,0.7403,,0.0,,0.0,,0.708,,0.7552,,0.8024,
2025-09-19,0.6113,,0.4305,,0.7148,,0.7186,,0.7224,,0.0,,0.0,,0.7221,,0.763,,0.8039,
2025-09-18,0.5821,,0.4349,,0.7771,,0.7528,,0.7286,,0.0,,0.0,,0.6741,,0.7282,,0.7823,
2025-09-16,0.5701,,0.4662,,0.9629,,0.959,,0.9551,,0.0,,0.0,,0.6853,,0.7335,,0.7817,
2025-09-15,0.5558,,0.4871,,0.7645,,0.7665,,0.7686,,0.0,,0.0,,0.7032,,0.7528,,0.8025,
2025-09-12,0.6248,,0.57,,0.7081,,0.7,,0.692,,0.0,,0.0,,0.7358,,0.7495,,0.7632,
2025-09-10,0.5768,,0.5999,,0.818,,0.7318,,0.6456,,0.0,,0.0,,0.7475,,0.749,,0.7505,
2025-09-09,0.5735,,0.5821,,0.6866,,0.7164,,0.7462,,0.0,,0.0,,0.7315,,0.7512,,0.7708,
2025-09-08,0.5775,,0.5809,,0.5916,,0.6376,,0.6836,,0.0,,0.0,,0.7423,,0.7668,,0.7914,
2025-09-05,0.6001,,0.5852,,0.7006,,0.7081,,0.7155,,0.0,,0.0,,0.7253,,0.7644,,0.8035,
2025-09-04,0.4882,,0.5551,,0.7097,,0.7073,,0.7049,,0.0,,0.0,,0.7372,,0.7514,,0.7655,
2025-08-26,1.0958,,0.7615,,0.6736,,0.6971,,0.7206,,0.0,,0.0,,0.7258,,0.7484,,0.771,
2025-08-25,1.1161,,0.7669,,0.6923,,0.6806,,0.6689,,0.0,,0.0,,0.7166,,0.7444,,0.7722,
2025-08-22,1.1167,,0.7671,,0.6892,,0.7,,0.7107,,0.0,,0.0,,0.7227,,0.7332,,0.7437,
2025-08-21,1.1424,,0.7795,,0.7058,,0.7252,,0.7447,,0.0,,0.0,,0.7322,,0.7546,,0.7771,
2025-08-20,1.1437,,0.7819,,0.7505,,0.7628,,0.7752,,0.0,,0.0,,0.7266,,0.7586,,0.7905,
2025-08-19,1.1782,,0.8014,,0.7291,,0.7208,,0.7124,,0.0,,0.0,,0.7406,,0.7514,,0.7622,
2025-08-18,1.2554,,0.8939,,0.7029,,0.7236,,0.7443,,0.0,,0.0,,0.736,,0.7567,,0.7774,
2025-08-15,0.8543,,0.7832,,0.7216,,0.7111,,0.7007,,0.0,,0.0,,0.7363,,0.7544,,0.7724,
2025-08-13,1.2639,,1.0561,,0.6863,,0.7674,,0.8486,,0.0,,0.0,,0.7273,,0.765,,0.8027,
2025-08-12,1.2254,,1.0478,,0.8469,,0.76,,0.673,,0.0,,0.0,,0.7419,,0.765,,0.788,
2025-08-08,1.1807,,1.0432,,0.7245,,0.7199,,0.7153,,0.0,,0.0,,0.7444,,0.759,,0.7736,
2025-08-07,1.1218,,0.9018,,0.7592,,0.7518,,0.7444,,0.0,,0.0,,0.762,,0.782,,0.802,
2025-08-05,1.0715,,0.8842,,0.9159,,0.8766,,0.8373,,0.0,,0.0,,0.729,,0.7434,,0.7577,
