date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-24,0.2529,83.0,0.1783,65.0,0.1508,28.0,0.1496,24.0,0.1484,22.0,0.2406,83.0,0.2043,80.0,0.1023,8.0,0.1927,27.0,0.2831,74.0
2025-07-22,0.2646,85.0,0.1659,57.0,0.1655,43.0,0.1682,41.0,0.1708,41.0,0.2417,84.0,0.2053,80.0,0.1025,8.0,0.1956,31.0,0.2887,76.0
2025-07-21,0.2726,86.0,0.1533,49.0,0.1723,49.0,0.1708,44.0,0.1694,40.0,0.2413,83.0,0.2051,80.0,0.1104,13.0,0.209,48.0,0.3076,82.0
2025-07-18,0.0788,9.0,0.1086,13.0,0.2736,88.0,0.2658,87.0,0.258,84.0,0.2349,81.0,0.2039,80.0,0.1105,13.0,0.2082,47.0,0.3058,82.0
2025-07-17,0.0787,9.0,0.1135,16.0,0.3063,91.0,0.3031,90.0,0.2999,89.0,0.2354,82.0,0.2042,80.0,0.1153,16.0,0.2008,38.0,0.2863,75.0
2025-07-16,0.1117,24.0,0.1193,20.0,0.2866,89.0,0.2874,89.0,0.2881,88.0,0.2352,81.0,0.2041,80.0,0.1128,15.0,0.2019,40.0,0.291,77.0
2025-07-15,0.1258,32.0,0.1449,42.0,0.2908,89.0,0.2902,89.0,0.2896,88.0,0.2352,81.0,0.2043,80.0,0.1136,15.0,0.2081,47.0,0.3026,81.0
2025-07-14,0.1322,36.0,0.1406,38.0,0.2903,89.0,0.286,89.0,0.2816,87.0,0.235,81.0,0.2044,80.0,0.1137,15.0,0.2048,43.0,0.296,79.0
2025-07-11,0.1303,35.0,0.1457,43.0,0.2085,71.0,0.208,70.0,0.2076,66.0,0.2352,81.0,0.2044,80.0,0.114,16.0,0.1999,37.0,0.2858,75.0
2025-07-09,0.2089,72.0,0.1651,57.0,0.1882,61.0,0.1866,57.0,0.1851,53.0,0.2344,81.0,0.2047,80.0,0.2135,63.0,0.21,49.0,0.2065,14.0
2025-07-08,0.1691,55.0,0.1418,39.0,0.174,50.0,0.1768,49.0,0.1796,49.0,0.2357,82.0,0.2055,80.0,0.204,57.0,0.2082,47.0,0.2124,18.0
2025-07-07,0.1931,66.0,0.1552,50.0,0.1063,4.0,0.2115,71.0,0.3167,91.0,0.2365,82.0,0.206,80.0,0.218,66.0,0.2096,49.0,0.2011,11.0
2025-07-03,0.1717,57.0,0.1337,32.0,0.1382,20.0,0.1513,26.0,0.1644,36.0,0.2352,81.0,0.2053,80.0,0.2201,67.0,0.2211,59.0,0.2221,25.0
2025-07-02,0.1702,56.0,0.1394,37.0,0.1216,9.0,0.1495,24.0,0.1774,47.0,0.2352,81.0,0.2056,80.0,0.2223,68.0,0.2103,49.0,0.1983,10.0
2025-07-01,0.1765,59.0,0.1425,40.0,0.131,15.0,0.153,27.0,0.175,45.0,0.2354,82.0,0.2055,80.0,0.2341,74.0,0.2205,59.0,0.2069,14.0
2025-06-30,0.1784,59.0,0.1369,35.0,0.127,12.0,0.2048,68.0,0.2826,87.0,0.2355,82.0,0.2053,80.0,0.2141,64.0,0.2185,57.0,0.2229,26.0
2025-06-27,0.1388,40.0,0.1097,14.0,0.1218,9.0,0.1536,28.0,0.1853,53.0,0.2335,81.0,0.2045,80.0,0.2167,65.0,0.2027,41.0,0.1888,6.0
2025-06-26,0.1685,55.0,0.1335,32.0,0.1666,44.0,0.1628,36.0,0.159,31.0,0.2334,80.0,0.2045,80.0,0.2199,67.0,0.2248,63.0,0.2297,30.0
