date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-25,0.9154,88.0,0.8782,93.0,0.9636,83.0,1.0069,85.0,1.0502,86.0,0.9796,100.0,0.7053,100.0,0.8807,83.0,0.9468,82.0,1.0128,81.0
2025-11-20,0.76,82.0,0.7786,91.0,0.9219,78.0,0.9106,73.0,0.8994,71.0,0.9683,100.0,0.691,100.0,0.9978,88.0,0.9862,83.0,0.9747,81.0
2025-11-18,1.1616,96.0,0.6648,88.0,1.0329,86.0,1.0571,89.0,1.0813,90.0,0.9649,100.0,0.6807,100.0,1.2055,93.0,1.2469,92.0,1.2883,89.0
2025-11-17,1.2943,97.0,0.6706,88.0,0.9176,78.0,1.2517,99.0,1.5858,99.0,0.9614,100.0,0.6759,100.0,1.1476,91.0,1.1896,91.0,1.2315,88.0
2025-11-14,1.0919,94.0,0.6443,87.0,0.7428,36.0,1.2752,99.0,1.8076,100.0,0.9392,100.0,0.6703,100.0,1.0029,88.0,1.045,86.0,1.0872,83.0
2025-11-13,1.0013,92.0,0.6153,86.0,0.8158,64.0,1.1208,94.0,1.4257,98.0,0.9309,100.0,0.669,100.0,0.912,84.0,0.9442,81.0,0.9763,81.0
2025-11-12,1.0507,94.0,0.6292,87.0,0.9982,85.0,1.1313,94.0,1.2644,95.0,0.9342,100.0,0.6718,100.0,0.8553,81.0,0.896,76.0,0.9366,79.0
2025-11-10,0.8782,87.0,0.5507,83.0,1.6744,100.0,1.3259,99.0,0.9774,81.0,0.9263,100.0,0.6703,100.0,0.8775,82.0,0.9339,80.0,0.9903,81.0
2025-11-07,0.7058,79.0,0.5504,83.0,1.3081,96.0,1.1041,94.0,0.9001,71.0,0.921,100.0,0.6693,100.0,0.963,87.0,1.004,84.0,1.045,82.0
2025-11-06,0.5643,67.0,0.3292,44.0,1.0843,90.0,1.067,90.0,1.0497,86.0,0.9149,100.0,0.6611,100.0,0.985,87.0,0.9972,84.0,1.0094,81.0
2025-11-05,0.4497,42.0,0.3449,49.0,1.1347,92.0,1.092,93.0,1.0492,86.0,0.9117,100.0,0.661,100.0,0.9116,84.0,0.9428,81.0,0.9739,81.0
2025-11-04,0.3592,27.0,0.3611,52.0,0.9232,78.0,1.1991,98.0,1.4749,99.0,0.9126,100.0,0.6622,100.0,0.9444,86.0,1.0638,86.0,1.1833,86.0
2025-11-03,0.3704,28.0,0.329,44.0,1.0835,90.0,1.0596,89.0,1.0356,84.0,0.9125,100.0,0.6607,100.0,0.8852,83.0,0.8978,76.0,0.9104,76.0
2025-10-31,0.4787,48.0,0.4355,64.0,1.0708,89.0,0.989,82.0,0.9072,72.0,0.914,100.0,0.6626,100.0,0.8856,83.0,0.91,77.0,0.9343,78.0
2025-10-30,0.5469,65.0,0.4774,73.0,0.7155,28.0,0.8984,71.0,1.0813,90.0,0.9151,100.0,0.6613,100.0,0.8638,82.0,0.895,76.0,0.9261,78.0
2025-10-29,0.5941,69.0,0.4834,74.0,0.9276,79.0,0.9109,73.0,0.8942,70.0,0.9152,100.0,0.6609,100.0,0.8466,81.0,0.8768,75.0,0.907,75.0
2025-10-28,0.6478,74.0,0.4764,73.0,0.9474,81.0,0.9248,77.0,0.9022,71.0,0.9152,100.0,0.6604,100.0,0.881,83.0,0.8924,76.0,0.9038,75.0
