date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-08,0.461,79.0,0.3845,65.0,1.5975,100.0,,,,,0.3935,64.0,0.4488,71.0,0.4849,78.0,,,,
2025-08-07,0.3168,59.0,0.3958,68.0,0.3678,49.0,,,,,0.3828,63.0,0.4477,71.0,0.3891,61.0,,,,
2025-08-05,0.3654,68.0,0.4217,73.0,0.38,51.0,,,,,0.3837,63.0,0.4513,72.0,0.4423,70.0,,,,
2025-08-04,0.3487,65.0,0.4141,72.0,0.3944,55.0,,,,,0.3835,63.0,0.4522,72.0,0.3944,62.0,,,,
2025-08-01,0.3061,57.0,0.4021,69.0,0.4358,61.0,,,,,0.3849,63.0,0.4539,72.0,0.4493,72.0,,,,
2025-07-31,0.2704,47.0,0.3757,64.0,0.3913,54.0,,,,,0.3839,63.0,0.4531,72.0,0.4454,71.0,,,,
2025-07-30,0.4212,75.0,0.4084,70.0,,,,,,,0.3863,63.0,0.4528,72.0,,,,,,
2025-07-29,0.3788,70.0,0.3798,65.0,0.4433,62.0,0.4913,70.0,0.5393,78.0,0.3874,63.0,0.4497,71.0,0.4433,71.0,0.4913,79.0,0.5393,84.0
2025-07-28,0.3312,62.0,0.4042,70.0,0.4585,64.0,0.4996,71.0,0.5406,78.0,0.3869,63.0,0.4501,71.0,0.3878,61.0,0.4642,74.0,0.5406,84.0
2025-07-25,0.3297,62.0,0.4155,72.0,,,,,,,0.3878,63.0,0.4492,71.0,,,,,,
2025-07-24,0.3347,63.0,0.4351,75.0,,,,,,,0.3882,63.0,0.4493,71.0,,,,,,
2025-07-22,0.6889,94.0,0.519,85.0,,,,,0.5367,77.0,0.3897,63.0,0.4527,72.0,,,,,0.5367,84.0
2025-07-21,0.6213,92.0,0.4694,80.0,0.3793,51.0,,,,,0.3833,63.0,0.4504,72.0,0.3793,60.0,,,,
2025-07-18,0.5774,90.0,0.4741,80.0,0.4058,57.0,,,,,0.3802,62.0,0.449,71.0,0.4058,64.0,,,,
2025-07-17,0.5792,90.0,0.4644,79.0,0.3326,42.0,,,,,0.3949,64.0,0.4517,72.0,0.3326,50.0,,,,
2025-07-16,0.5928,90.0,0.4547,78.0,0.4001,56.0,,,,,0.3943,64.0,0.4513,72.0,0.4001,63.0,,,,
2025-07-15,0.5848,90.0,0.4614,79.0,0.5004,71.0,,,,,0.3907,63.0,0.45,71.0,0.5004,80.0,,,,
2025-07-14,0.2893,53.0,0.3713,63.0,0.3837,52.0,,,,,0.3758,61.0,0.4461,70.0,0.3837,61.0,,,,
2025-07-11,0.3028,56.0,0.3687,62.0,0.3491,46.0,,,,,0.3755,60.0,0.4455,70.0,0.3491,54.0,,,,
2025-07-09,0.2965,55.0,0.384,65.0,0.3891,53.0,,,,,0.3778,61.0,0.4447,70.0,0.3891,61.0,,,,
2025-07-08,0.4712,81.0,0.4197,73.0,0.3577,47.0,,,,,0.383,63.0,0.448,71.0,0.3577,55.0,,,,
2025-07-07,0.3557,67.0,0.4316,75.0,0.3808,52.0,,,,,0.3764,61.0,0.4486,71.0,0.3808,60.0,,,,
2025-07-03,0.2717,47.0,0.4068,70.0,0.3464,46.0,,,,,0.3754,60.0,0.4537,72.0,0.3464,53.0,,,,
2025-07-02,0.2717,47.0,0.4173,72.0,0.405,57.0,0.4702,66.0,0.5354,77.0,0.3754,60.0,0.4543,72.0,0.405,64.0,0.4702,75.0,0.5354,84.0
2025-07-01,0.2872,52.0,0.4143,72.0,0.3387,44.0,,,,,0.3791,62.0,0.4574,73.0,0.3387,51.0,,,,
2025-06-30,0.2723,47.0,0.3852,66.0,0.4354,61.0,,,,,0.3793,62.0,0.4572,73.0,0.4354,69.0,,,,
2025-06-27,0.3092,57.0,0.3827,65.0,0.4195,59.0,,,,,0.3797,62.0,0.4596,73.0,0.4195,67.0,,,,
2025-06-26,0.2217,32.0,0.3143,49.0,0.4074,57.0,,,,,0.3793,62.0,0.4558,72.0,0.4074,65.0,,,,
2025-06-25,0.2517,42.0,0.3198,51.0,0.4272,60.0,,,,,0.3806,62.0,0.4576,73.0,0.4272,68.0,,,,
2025-06-24,0.2576,43.0,0.3193,51.0,0.4085,57.0,,,,,0.3814,62.0,0.4594,73.0,0.4085,65.0,,,,
2025-06-23,0.2139,30.0,0.2993,45.0,0.3162,38.0,,,,,0.3806,62.0,0.4588,73.0,0.3162,46.0,,,,
2025-06-20,0.2228,32.0,0.2842,41.0,0.427,60.0,,,,,0.3823,63.0,0.4591,73.0,0.427,68.0,,,,
2025-06-18,0.2502,41.0,0.2638,32.0,0.402,56.0,,,,,0.3855,63.0,0.4603,73.0,0.402,64.0,,,,
2025-06-17,0.2257,33.0,0.2635,31.0,0.4192,59.0,,,,,0.3845,63.0,0.4601,73.0,0.4192,67.0,,,,
2025-06-16,0.2426,39.0,0.2453,25.0,0.3652,49.0,,,,,0.3843,63.0,0.4596,73.0,0.3652,57.0,,,,
2025-06-13,0.246,40.0,0.2401,22.0,0.3478,46.0,,,,,0.3829,63.0,0.4599,73.0,0.3478,53.0,,,,
2025-06-12,0.2354,37.0,0.2427,24.0,0.4501,63.0,,,,,0.3827,63.0,0.4599,73.0,0.4501,72.0,,,,
2025-06-11,0.2687,46.0,0.279,39.0,0.447,63.0,,,,,0.3827,63.0,0.46,73.0,0.447,71.0,,,,
2025-06-10,0.2746,48.0,0.2762,38.0,0.3556,47.0,,,,,0.3826,63.0,0.46,73.0,0.3556,55.0,,,,
2025-06-09,0.2883,53.0,0.3116,48.0,0.2984,32.0,,,,,0.384,63.0,0.4608,73.0,0.2984,40.0,,,,
2025-06-06,0.304,56.0,0.3085,47.0,0.3888,53.0,,,,,0.3853,63.0,0.461,73.0,0.3888,61.0,,,,
2025-06-05,0.287,52.0,0.2997,45.0,0.3507,46.0,,,,,0.385,63.0,0.4607,73.0,0.3507,54.0,,,,
2025-06-04,0.2739,48.0,0.2953,44.0,0.3255,40.0,,,,,0.3834,63.0,0.4616,73.0,0.3255,49.0,,,,
2025-06-03,0.2759,49.0,0.3268,53.0,0.3343,43.0,,,,,0.3839,63.0,0.4629,74.0,0.3343,50.0,,,,
2025-06-02,0.2211,32.0,0.3299,53.0,0.4195,59.0,,,,,0.3821,63.0,0.4621,73.0,0.4195,67.0,,,,
2025-05-30,0.2484,40.0,0.3308,54.0,0.412,57.0,,,,,0.3822,63.0,0.463,74.0,0.412,66.0,,,,
2025-05-29,0.2093,28.0,0.3344,55.0,0.5216,75.0,,,,,0.3814,62.0,0.462,73.0,0.5216,83.0,,,,
2025-05-28,0.1753,18.0,0.3252,52.0,0.4409,62.0,,,,,0.3827,63.0,0.4617,73.0,0.4409,70.0,,,,
2025-05-27,0.191,22.0,0.3482,57.0,0.4547,64.0,,,,,0.386,63.0,0.4635,74.0,0.4547,72.0,,,,
2025-05-23,0.1768,19.0,0.3502,57.0,0.4915,70.0,,,,,0.3874,63.0,0.4658,74.0,0.4915,79.0,,,,
2025-05-22,0.17,17.0,0.3114,48.0,0.4725,67.0,,,,,0.3872,63.0,0.4668,74.0,0.4725,76.0,,,,
2025-05-21,0.14,9.0,0.2661,33.0,0.5348,77.0,,,,,0.3913,64.0,0.4687,75.0,0.5348,86.0,,,,
2025-05-20,0.1645,15.0,0.2856,41.0,0.5814,82.0,,,,,0.3909,63.0,0.4691,75.0,0.5814,91.0,,,,
2025-05-19,0.1645,15.0,0.2435,24.0,0.4226,59.0,,,,,0.3909,63.0,0.4683,74.0,0.4226,67.0,,,,
2025-05-16,0.1518,12.0,0.2571,28.0,0.4328,60.0,,,,,0.3911,64.0,0.4687,75.0,0.4328,69.0,,,,
2025-05-15,0.1545,12.0,0.2484,25.0,0.4081,57.0,,,,,0.3923,64.0,0.4695,75.0,0.4081,65.0,,,,
2025-05-14,0.3384,63.0,0.4588,79.0,0.3945,55.0,,,,,0.3926,64.0,0.4692,75.0,0.3945,62.0,,,,
2025-05-13,0.4286,76.0,0.4976,83.0,0.6354,86.0,,,,,0.3925,64.0,0.4694,75.0,0.3809,60.0,,,,
2025-05-12,0.7804,96.0,0.5799,91.0,0.6699,89.0,,,,,0.3925,64.0,0.4702,75.0,0.574,91.0,,,,
2025-05-09,0.7861,96.0,0.5828,91.0,0.5011,71.0,,,,,0.391,63.0,0.4708,75.0,0.5011,80.0,,,,
2025-05-08,0.7874,96.0,0.6086,93.0,0.4918,70.0,,,,,0.391,63.0,0.4715,76.0,0.4918,79.0,,,,
2025-05-07,0.7988,96.0,0.6069,93.0,0.4085,57.0,,,,,0.3979,64.0,0.4771,76.0,0.4085,65.0,,,,
2025-05-06,0.8042,96.0,0.5985,93.0,0.4515,63.0,,,,,0.398,64.0,0.4773,76.0,0.4515,72.0,,,,
