date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-07,0.2228,,0.1483,,,,,,,,0.2095,,0.1478,,,,,,,
2025-07-03,0.273,,0.1614,,,,,,,,0.2077,,0.1476,,,,,,,
2025-07-02,0.2634,,0.1683,,,,,,,,0.2068,,0.148,,,,,,,
2025-07-01,0.2618,,0.1613,,,,,,,,0.2064,,0.1478,,,,,,,
2025-06-30,0.2627,,0.3319,,,,,,,,0.206,,0.1478,,,,,,,
2025-06-27,0.2601,,0.332,,,,,,,,0.2062,,0.1475,,,,,,,
2025-06-26,0.2702,,0.332,,,,,,,,0.2062,,0.1473,,,,,,,
2025-06-25,0.186,,0.3036,,,,,,,,0.2014,,0.1439,,,,,,,
2025-06-24,0.1419,,0.2971,,,,,,,,0.1984,,0.1432,,,,,,,
2025-06-23,0.1466,,0.2975,,,,,,,,0.1995,,0.1434,,,,,,,
2025-06-20,0.1414,,0.2988,,,,,,,,0.1998,,0.1439,,,,,,,
2025-06-18,0.1471,,0.068,,,,,,,,0.205,,0.1306,,,,,,,
2025-06-17,0.138,,0.0492,,,,,,,,0.2045,,0.1304,,,,,,,
2025-06-16,0.1545,,0.0449,,,,,,,,0.205,,0.1305,,,,,,,
2025-06-13,0.1302,,0.0487,,,,,,,,0.204,,0.1305,,,,,,,
2025-06-12,0.1667,,0.0668,,,,,,,,0.2038,,0.1304,,,,,,,
2025-06-11,0.1671,,0.07,,,,,,,,0.2037,,0.1305,,,,,,,
2025-06-10,0.1483,,0.0,,,,,,,,0.2042,,0.0,,,,,,,
2025-06-09,0.1501,,0.097,,,,,,,,0.2043,,0.131,,,,,,,
2025-06-06,0.1566,,0.0969,,,,,,,,0.2043,,0.131,,,,,,,
2025-06-05,0.1692,,0.0946,,,,,,,,0.2032,,0.131,,,,,,,
2025-06-04,0.1722,,0.0962,,,,,,,,0.2034,,0.131,,,,,,,
2025-06-03,0.1344,,0.0857,,,,,,,,0.2007,,0.1305,,,,,,,
2025-06-02,0.1385,,0.085,,,,,,,,0.2014,,0.1304,,,,,,,
2025-05-30,0.1627,,0.0,,,,,,,,0.2004,,0.0,,,,,,,
2025-05-29,0.1605,,0.0,,,,,,,,0.2007,,0.0,,,,,,,
2025-05-28,0.1636,,0.0708,,,,,,,,0.2007,,0.1292,,,,,,,
2025-05-27,0.1968,,0.0892,,,,,,,,0.202,,0.1294,,,,,,,
2025-05-23,0.1899,,0.0923,,,,,,,,0.2014,,0.1292,,,,,,,
2025-05-22,0.1953,,0.0947,,,,,,,,0.2012,,0.1291,,,,,,,
2025-05-21,0.1598,,0.0971,,,,,,,,0.1999,,0.1288,,,,,,,
2025-05-20,0.1549,,0.0994,,,,,,,,0.2001,,0.1292,,,,,,,
2025-05-19,0.1506,,0.0903,,,,,,,,0.2001,,0.1289,,,,,,,
2025-05-16,0.1019,,0.0698,,,,,,,,0.1983,,0.1282,,,,,,,
2025-05-15,0.104,,0.0754,,,,,,,,0.1983,,0.1283,,,,,,,
2025-05-14,0.0847,,0.0766,,,,,,,,0.1975,,0.1281,,,,,,,
2025-05-13,0.0595,,0.0673,,,,,,,,0.1984,,0.1277,,,,,,,
2025-05-12,0.1008,,0.059,,,,,,,,0.1987,,0.1279,,,,,,,
2025-05-09,0.1217,,0.0,,,,,,,,0.1984,,0.0,,,,,,,
2025-05-08,0.1247,,0.0639,,,,,,,,0.1989,,0.128,,,,,,,
2025-05-07,0.1409,,0.0639,,,,,,,,0.2022,,0.1282,,,,,,,
2025-05-06,0.1472,,0.0653,,,,,,,,0.2026,,0.128,,,,,,,
2025-05-05,0.1263,,0.0536,,,,,,,,0.2027,,0.1277,,,,,,,
2025-05-02,0.122,,0.0517,,,,,,,,0.2035,,0.1281,,,,,,,
2025-05-01,0.1171,,0.0697,,,,,,,,0.203,,0.1283,,,,,,,
2025-04-30,0.1495,,0.0717,,,,,,,,0.2021,,0.1284,,,,,,,
2025-04-29,0.2126,,0.2172,,,,,,,,0.2027,,0.1283,,,,,,,
2025-04-28,0.217,,0.2175,,,,,,,,0.2017,,0.1285,,,,,,,
2025-04-25,0.2083,,0.2212,,,,,,,,0.2017,,0.1287,,,,,,,
2025-04-24,0.2181,,0.2221,,,,,,,,0.2015,,0.1286,,,,,,,
2025-04-23,0.2263,,0.2221,,,,,,,,0.2009,,0.1286,,,,,,,
2025-04-22,0.2432,,0.2323,,,,,,,,0.2009,,0.1281,,,,,,,
2025-04-21,0.2784,,0.2388,,,,,,,,0.1993,,0.1282,,,,,,,
2025-04-17,0.3824,,0.2668,,,,,,,,0.1978,,0.1184,,,,,,,
2025-04-16,0.4351,,0.3101,,,,,,,,0.1966,,0.1185,,,,,,,
2025-04-15,0.4913,,0.3465,,,,,,,,0.1973,,0.1181,,,,,,,
2025-04-14,0.5816,,0.369,,,,,,,,0.1976,,0.1182,,,,,,,
2025-04-11,0.5675,,0.3732,,,,,,,,0.1964,,0.1185,,,,,,,
2025-04-10,0.5385,,0.3641,,,,,,,,0.1944,,0.1169,,,,,,,
2025-04-09,0.5409,,0.3613,,,,,,,,0.1924,,0.1161,,,,,,,
