date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-07,0.0558,,0.0276,,,,,,,,0.0767,,0.0558,,,,,,,
2025-08-05,0.0537,,0.0276,,,,,,,,0.0766,,0.0558,,,,,,,
2025-08-04,0.0469,,0.0203,,,,,,,,0.0765,,0.0557,,,,,,,
2025-08-01,0.017,,0.0175,,,,,,,,0.0759,,0.0556,,,,,,,
2025-07-31,0.0164,,0.0076,,,,,,,,0.0759,,0.0555,,,,,,,
2025-07-30,0.0066,,0.0,,,,,,,,0.0758,,0.0,,,,,,,
2025-07-29,0.0126,,0.0428,,,,,,,,0.0758,,0.0555,,,,,,,
2025-07-28,0.0132,,0.0,,,,,,,,0.0759,,0.0,,,,,,,
2025-07-25,0.0132,,0.0,,,,,,,,0.0759,,0.0,,,,,,,
2025-07-24,0.0225,,0.0425,,,,,,,,0.076,,0.0554,,,,,,,
2025-07-22,0.0193,,0.0433,,,,,,,,0.0761,,0.0554,,,,,,,
2025-07-21,0.0595,,0.0099,,,,,,,,0.0773,,0.0545,,,,,,,
2025-07-18,0.0216,,0.0109,,,,,,,,0.076,,0.0546,,,,,,,
2025-07-17,0.0206,,0.0,,,,,,,,0.076,,0.0,,,,,,,
2025-07-16,0.0202,,0.0106,,,,,,,,0.0761,,0.0546,,,,,,,
2025-07-15,0.0215,,0.0102,,,,,,,,0.0766,,0.0548,,,,,,,
2025-07-14,0.0209,,0.0102,,,,,,,,0.0775,,0.0548,,,,,,,
2025-07-11,0.0142,,0.0,,,,,,,,0.0774,,0.0,,,,,,,
2025-07-09,0.0746,,0.0244,,,,,,,,0.0776,,0.0547,,,,,,,
2025-07-08,0.0761,,0.0,,,,,,,,0.0777,,0.0,,,,,,,
2025-07-07,0.0761,,0.0,,,,,,,,0.0777,,0.0,,,,,,,
2025-07-03,0.0767,,0.0393,,,,,,,,0.0779,,0.0549,,,,,,,
2025-07-02,0.0775,,0.0393,,,,,,,,0.0778,,0.0549,,,,,,,
2025-07-01,0.1082,,0.0428,,,,,,,,0.079,,0.0548,,,,,,,
2025-06-30,0.0549,,0.0465,,,,,,,,0.0763,,0.0548,,,,,,,
2025-06-27,0.0509,,0.0419,,,,,,,,0.0761,,0.0545,,,,,,,
2025-06-26,0.0496,,0.0,,,,,,,,0.076,,0.0,,,,,,,
2025-06-25,0.0533,,0.0,,,,,,,,0.0761,,0.0,,,,,,,
2025-06-24,0.0506,,0.0,,,,,,,,0.0763,,0.0,,,,,,,
2025-06-23,0.0496,,0.05,,,,,,,,0.0769,,0.0542,,,,,,,
2025-06-20,0.0429,,0.0746,,,,,,,,0.0767,,0.0541,,,,,,,
2025-06-18,0.0321,,0.0709,,,,,,,,0.078,,0.0539,,,,,,,
2025-06-17,0.0305,,0.0709,,,,,,,,0.0779,,0.0539,,,,,,,
2025-06-16,0.0285,,0.0709,,,,,,,,0.0779,,0.0541,,,,,,,
2025-06-13,0.0612,,0.0608,,,,,,,,0.079,,0.0533,,,,,,,
2025-06-12,0.0209,,0.0,,,,,,,,0.0778,,0.0,,,,,,,
2025-06-11,0.0322,,0.072,,,,,,,,0.0778,,0.0534,,,,,,,
2025-06-10,0.0338,,0.0413,,,,,,,,0.0778,,0.0515,,,,,,,
2025-06-09,0.0478,,0.0,,,,,,,,0.0784,,0.0,,,,,,,
2025-06-06,0.0471,,0.0,,,,,,,,0.0785,,0.0,,,,,,,
2025-06-05,0.0546,,0.039,,,,,,,,0.0787,,0.0514,,,,,,,
2025-06-04,0.0643,,0.0247,,,,,,,,0.0788,,0.0509,,,,,,,
2025-06-03,0.0679,,0.0247,,,,,,,,0.0788,,0.0509,,,,,,,
2025-06-02,0.0632,,0.0151,,,,,,,,0.0785,,0.0506,,,,,,,
2025-05-30,0.0458,,0.1295,,,,,,,,0.0779,,0.0506,,,,,,,
2025-05-29,0.0439,,0.0,,,,,,,,0.0791,,0.0,,,,,,,
2025-05-28,0.0428,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-27,0.0249,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-23,0.0285,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-22,0.0463,,0.1287,,,,,,,,0.0808,,0.0505,,,,,,,
2025-05-21,0.028,,0.1287,,,,,,,,0.0804,,0.0505,,,,,,,
2025-05-20,0.0398,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-19,0.0382,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-16,0.0361,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-15,0.0364,,0.0044,,,,,,,,0.0805,,0.0404,,,,,,,
2025-05-14,0.0329,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-13,0.0331,,0.0,,,,,,,,0.0808,,0.0,,,,,,,
2025-05-12,0.0147,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-09,0.0181,,0.0,,,,,,,,0.0804,,0.0,,,,,,,
2025-05-08,0.0477,,0.0,,,,,,,,0.0805,,0.0404,,,,,,,
2025-05-07,0.0562,,0.0,,,,,,,,0.0807,,0.0,,,,,,,
2025-05-06,0.0565,,0.0068,,,,,,,,0.0807,,0.0404,,,,,,,
2025-05-05,0.0639,,0.0,,,,,,,,0.081,,0.0,,,,,,,
2025-05-02,0.0726,,0.0,,,,,,,,0.0809,,0.0,,,,,,,
2025-05-01,0.0728,,0.051,,,,,,,,0.0842,,0.0405,,,,,,,
2025-04-30,0.0845,,0.0529,,,,,,,,0.084,,0.0405,,,,,,,
2025-04-29,0.0795,,0.0546,,,,,,,,0.0836,,0.0405,,,,,,,
2025-04-28,0.0781,,0.0542,,,,,,,,0.0835,,0.0405,,,,,,,
2025-04-25,0.078,,0.0551,,,,,,,,0.0837,,0.0405,,,,,,,
2025-04-24,0.0782,,0.0551,,,,,,,,0.084,,0.0405,,,,,,,
2025-04-23,0.0844,,0.0551,,,,,,,,0.0839,,0.0406,,,,,,,
2025-04-22,0.0824,,0.0339,,,,,,,,0.0839,,0.0387,,,,,,,
2025-04-21,0.1553,,0.0401,,,,,,,,0.0827,,0.0387,,,,,,,
2025-04-17,0.2495,,0.132,,,,,,,,0.0826,,0.0385,,,,,,,
2025-04-16,0.2527,,0.1423,,,,,,,,0.0824,,0.0385,,,,,,,
2025-04-15,0.2612,,0.1431,,,,,,,,0.0827,,0.0385,,,,,,,
2025-04-14,0.2775,,0.1476,,,,,,,,0.0827,,0.0385,,,,,,,
2025-04-11,0.2758,,0.1477,,,,,,,,0.0818,,0.0385,,,,,,,
2025-04-10,0.2799,,0.1456,,,,,,,,0.0819,,0.0382,,,,,,,
2025-04-09,0.2504,,0.1435,,,,,,,,0.076,,0.0377,,,,,,,
