symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
AMED,127.0,,,95.96,3149368786.0,0.1358,11.0,0.0747,4.0,0.2678,12.0,0.2538,9.0,0.2399,8.0,0.085,3.0,0.1002,4.0,0.0853,3.0,0.1127,2.0,0.1401,2.0,20270115.0,35.0,609.0,0.4440504334121354
CM,126.0,,,71.71,66990834034.0,0.1436,44.0,0.1191,32.0,0.2826,83.0,0.2508,76.0,0.219,61.0,0.2023,56.0,0.1873,71.0,0.124,14.0,0.1835,39.0,0.243,60.0,20270115.0,35.0,609.0,0.7316586921850079
CWBC,161.0,,,20.81,396665643.0,0.2954,,0.2743,,0.403,,0.3338,,0.2646,,0.2736,,0.2828,,0.1901,,0.2274,,0.2646,,20270115.0,35.0,609.0,0.6812462552426602
FAST,167.0,,,42.68,48964200819.0,0.1684,27.0,0.1885,28.0,0.327,72.0,0.3331,73.0,0.3392,73.0,0.2608,46.0,0.2406,49.0,0.2162,21.0,0.2484,18.0,0.2805,24.0,20270115.0,35.0,609.0,0.7457220054037826
FL,120.0,,,24.75,2358120600.0,0.1422,10.0,0.2177,24.0,0.2523,18.0,0.2838,24.0,0.3152,33.0,1.0654,100.0,0.5141,93.0,0.0665,1.0,0.1685,1.0,0.2705,9.0,20270115.0,7.0,609.0,0.5937279774489077
IYR,,,,95.71,,0.165,57.0,0.1461,57.0,0.2928,84.0,0.2958,84.0,0.2989,83.0,0.2033,70.0,0.1918,73.0,0.1273,32.0,0.1834,40.0,0.2395,44.0,20270115.0,7.0,609.0,0.6200135226504395
NVS,153.0,,,123.81,245256456321.0,0.154,50.0,0.1051,51.0,0.2521,87.0,0.2672,89.0,0.2824,89.0,0.2321,86.0,0.1587,88.0,0.1672,51.0,0.1987,60.0,0.2303,57.0,20270115.0,35.0,609.0,0.7436377245508982
XLB,,,,91.43,,0.1827,57.0,0.1379,49.0,0.4041,94.0,0.3264,86.0,0.2488,70.0,0.2405,74.0,0.1931,74.0,0.1786,39.0,0.18,15.0,0.1815,5.0,20270115.0,7.0,608.0,0.551470588235294
XLC,,,,107.45,,0.1283,30.0,0.0869,8.0,0.3194,76.0,0.3114,73.0,0.3035,70.0,0.2335,69.0,0.1982,78.0,0.173,12.0,0.1918,7.0,0.2107,6.0,20270115.0,7.0,608.0,0.6159280667951188
XLI,7353.0,,,148.16,,0.1075,28.0,0.0973,26.0,0.2413,78.0,0.2507,78.0,0.2602,79.0,0.2357,82.0,0.1904,79.0,0.1723,45.0,0.1775,31.0,0.1827,14.0,20270115.0,7.0,608.0,0.7080175508575988
XME,,,,70.08,,0.3213,60.0,0.2025,30.0,0.3631,64.0,0.382,67.0,0.4009,71.0,0.3277,57.0,0.2822,57.0,0.2769,30.0,0.2772,22.0,0.2776,13.0,20270115.0,35.0,608.0,0.7256544502617801
